Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,EDbufferscreen.started,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
0,0,0,0,0,430.7048992,431.1454482000008,EDleftbutton,1,0,1.00,1.00,1,4,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
1,0,1,1,1,433.2245842000011,433.5645729000007,EDleftbutton,1,0,1.00,2.00,1,4,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
2,0,2,2,2,433.95803440000054,434.2980071000002,EDleftbutton,1,0,0.50,2.00,1,4,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
3,0,3,3,3,434.6271120000001,434.9698945,EDleftbutton,1,0,0.25,2.00,1,4,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
4,0,4,4,4,435.17774720000125,435.52041350000036,EDrightbutton,0,1,0.12,2.00,1,4,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
5,0,5,5,5,436.0930695999996,436.44748419999996,EDrightbutton,0,1,0.19,2.00,1,4,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
6,0,6,6,6,436.68543070000123,437.0201245999997,EDrightbutton,0,1,0.22,2.00,1,4,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
0,0,0,0,0,437.4500661000002,437.7882910999997,EDrightbutton,0,1,1.00,1.00,3,4,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
1,0,1,1,1,438.60876160000043,438.92390239999986,EDleftbutton,1,0,2.00,1.00,3,4,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
2,0,2,2,2,439.6694212000002,440.0028043000002,EDleftbutton,1,0,2.00,1.50,3,4,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
3,0,3,3,3,440.3966676,440.7496683999998,EDleftbutton,1,0,2.00,1.75,3,4,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
4,0,4,4,4,440.8901345000013,441.2495517999996,EDleftbutton,1,0,2.00,1.88,3,4,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
5,0,5,5,5,441.47812150000027,441.8318087000007,EDleftbutton,1,0,2.00,1.94,3,4,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
6,0,6,6,6,442.20787139999993,442.53698650000115,EDleftbutton,1,0,2.00,1.97,3,4,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
0,0,0,0,0,442.99129710000125,443.31944699999985,EDleftbutton,1,0,1.00,1.00,2,4,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
1,0,1,1,1,446.04514949999975,446.38721070000065,EDleftbutton,1,0,1.00,2.00,2,4,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
2,0,2,2,2,446.6441974999998,446.9858839999997,EDleftbutton,1,0,0.50,2.00,2,4,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
3,0,3,3,3,447.2257492000008,447.55169580000074,EDrightbutton,0,1,0.25,2.00,2,4,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
4,0,4,4,4,448.43662760000007,448.77507200000036,EDrightbutton,0,1,0.38,2.00,2,4,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
5,0,5,5,5,449.12077070000123,449.4526815999998,EDrightbutton,0,1,0.44,2.00,2,4,Danny,2021_Aug_17_1155,t1_Paradigm,2021.1.4,60.12112000851584,
