Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,24.61938259999988,26.60671899999943,left,1,1,0.29554230000030657,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
Q,left,Pretarget,0,1,1,1,28.099562199999127,30.106733299999178,left,1,1,0.32045950000065204,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
Q,right,Target,0,2,2,2,31.59902879999936,33.599270999999135,right,1,1,0.2971579999993992,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
T,left,Distractor,0,3,3,3,35.09890239999913,37.10286329999872,left,1,1,0.32348629999978584,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
Q,left,Lure,0,4,4,4,38.598915900000065,40.59863499999847,None,0,1,,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
L,left,Distractor,0,5,5,5,42.09881659999883,44.102603199999066,left,1,1,0.4258566999997129,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
V,left,Pretarget,0,6,6,6,45.59861479999927,47.60486609999862,left,1,1,0.5096441000005143,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
V,right,Target,0,7,7,7,49.09813219999887,51.098131900000226,left,0,1,0.4300807999989047,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
K,left,Distractor,0,8,8,8,52.59813049999866,54.60208489999968,left,1,1,0.5089511000005587,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
G,left,Pretarget,0,9,9,9,56.0978443999993,58.104474499999924,left,1,1,0.3098614999998972,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
G,right,Target,0,10,10,10,59.597530499999266,61.59757769999851,left,0,1,0.4979696000009426,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
G,right,Target,0,11,11,11,63.09753569999884,65.09748020000006,right,1,1,0.2913789000012912,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
P,left,Pretarget,0,12,12,12,66.59724639999877,68.60138459999871,left,1,1,0.6446632999995927,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
P,right,Target,0,13,13,13,70.09709099999964,72.09706039999946,right,1,1,0.25599700000020675,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
R,left,Distractor,0,0,0,0,74.26048269999956,76.25167559999863,left,1,1,0.31286790000012843,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
V,left,Distractor,0,1,1,1,77.74676550000004,79.74658149999959,left,1,1,0.48331249999864667,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
N,left,Pretarget,0,2,2,2,81.24649589999899,83.25204779999876,left,1,1,0.3837406999991799,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
N,right,Target,0,3,3,3,84.74623539999993,86.74622499999896,right,1,1,0.3178966000014043,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
S,left,Distractor,0,4,4,4,88.24612669999988,90.25061899999855,left,1,1,0.31117879999874276,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
N,left,Lure,0,5,5,5,91.74585979999938,93.74624649999896,left,1,1,0.6694470000002184,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
Z,left,Distractor,0,6,6,6,95.24584559999857,97.2501715999988,right,0,1,0.4542944000004354,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
L,left,Pretarget,0,7,7,7,98.74567949999982,100.74555639999926,left,1,1,0.5619730999987951,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
L,right,Target,0,8,8,8,102.24543559999984,104.24508789999891,right,1,1,0.5297425000007934,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
H,left,Distractor,0,9,9,9,105.74518739999985,107.74703090000003,left,1,1,0.7159386000002996,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
L,left,Lure,0,10,10,10,109.24488980000024,111.24491789999956,left,1,1,0.35264660000029835,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
X,left,Pretarget,0,11,11,11,112.7448190999985,114.75284159999865,left,1,1,0.5508124999996653,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
X,right,Target,0,12,12,12,116.24452409999867,118.24454019999939,left,0,1,0.5984958999997616,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
X,right,Target,0,13,13,13,119.74479809999866,121.74501769999915,right,1,1,0.6188507000006211,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
F,left,Distractor,0,0,0,0,126.59170069999891,128.58196849999877,left,1,2,0.47674780000124883,Jake,2021_Aug_17_1146,t1_Paradigm,2021.1.4,60.09886262926063,
