Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,472.10444859999916,474.0914183999994,left,1,1.0207245999990846,3,3.0,Sammy,2021_Aug_17_1203,t1_Paradigm,2021.1.4,60.02609934800978,
P,left,Pretarget,0,1,1,1,475.5917014000006,477.59141230000023,right,0,0.33511730000100215,3,3.0,Sammy,2021_Aug_17_1203,t1_Paradigm,2021.1.4,60.02609934800978,
B,left,Distractor,0,2,2,2,479.0915043999994,481.0911477999998,left,1,0.2997957999996288,3,3.0,Sammy,2021_Aug_17_1203,t1_Paradigm,2021.1.4,60.02609934800978,
K,left,Pretarget,0,3,3,3,482.5913175000005,484.59118189999936,left,1,0.2829216999998607,3,3.0,Sammy,2021_Aug_17_1203,t1_Paradigm,2021.1.4,60.02609934800978,
H,left,Distractor,0,4,4,4,486.0911655,488.0909759999995,None,0,,3,3.0,Sammy,2021_Aug_17_1203,t1_Paradigm,2021.1.4,60.02609934800978,
P,right,Target,0,5,5,5,489.5909809999994,491.59073200000057,None,0,,3,3.0,Sammy,2021_Aug_17_1203,t1_Paradigm,2021.1.4,60.02609934800978,
L,left,Distractor,0,6,6,6,493.0907888999991,495.0905898000001,None,0,,3,3.0,Sammy,2021_Aug_17_1203,t1_Paradigm,2021.1.4,60.02609934800978,
K,right,Target,0,7,7,7,496.5906567000002,498.59013159999995,left,0,1.0210225999999238,3,3.0,Sammy,2021_Aug_17_1203,t1_Paradigm,2021.1.4,60.02609934800978,
Z,left,Pretarget,0,8,8,8,500.090366299999,502.0899466999999,left,1,0.32062000000041735,3,3.0,Sammy,2021_Aug_17_1203,t1_Paradigm,2021.1.4,60.02609934800978,
S,left,Pretarget,0,9,9,9,503.5901859000005,505.58981029999995,right,0,0.3061751000004733,3,3.0,Sammy,2021_Aug_17_1203,t1_Paradigm,2021.1.4,60.02609934800978,
N,left,Distractor,0,10,10,10,507.09009530000003,509.08956579999904,right,0,0.2775273000006564,3,3.0,Sammy,2021_Aug_17_1203,t1_Paradigm,2021.1.4,60.02609934800978,
M,left,Distractor,0,11,11,11,510.58988490000047,512.5896668999994,right,0,0.40553559999898425,3,3.0,Sammy,2021_Aug_17_1203,t1_Paradigm,2021.1.4,60.02609934800978,
Z,right,Target,0,12,12,12,514.0896847999993,516.0894712999998,left,0,0.9434928000009677,3,3.0,Sammy,2021_Aug_17_1203,t1_Paradigm,2021.1.4,60.02609934800978,
S,right,Target,0,13,13,13,517.5895375,519.5890392000001,left,0,0.517798999999286,3,3.0,Sammy,2021_Aug_17_1203,t1_Paradigm,2021.1.4,60.02609934800978,
