vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,B01J08,2022-11-14_15h11.52.112,t1_Paradigm,2021.1.4,59.977295815848585,
0,0,0,0,0,2617.9100596434982,VS1rightbutton,0,1,3,2,B01J08,2022-11-14_15h11.52.112,t1_Paradigm,2021.1.4,59.977295815848585,
1,0,1,1,1,2623.740973916232,VS1rightbutton,0,1,1,4,B01J08,2022-11-14_15h11.52.112,t1_Paradigm,2021.1.4,59.977295815848585,
2,0,2,2,2,2649.2427325525423,VS1rightbutton,0,1,2,4,B01J08,2022-11-14_15h11.52.112,t1_Paradigm,2021.1.4,59.977295815848585,
3,0,3,3,3,2655.9032775693995,VS1leftbutton,1,0,4,2,B01J08,2022-11-14_15h11.52.112,t1_Paradigm,2021.1.4,59.977295815848585,
4,0,4,4,4,2657.906458320769,VS1leftbutton,1,0,4,1,B01J08,2022-11-14_15h11.52.112,t1_Paradigm,2021.1.4,59.977295815848585,
5,0,5,5,5,2660.0755071558087,VS1leftbutton,1,0,4,3,B01J08,2022-11-14_15h11.52.112,t1_Paradigm,2021.1.4,59.977295815848585,
6,0,6,6,6,2661.821429442174,VS1leftbutton,1,0,4,3,B01J08,2022-11-14_15h11.52.112,t1_Paradigm,2021.1.4,59.977295815848585,
7,0,7,7,7,2663.447127667627,VS1rightbutton,0,1,2,4,B01J08,2022-11-14_15h11.52.112,t1_Paradigm,2021.1.4,59.977295815848585,
8,0,8,8,8,2665.154773789709,VS1rightbutton,0,1,1,2,B01J08,2022-11-14_15h11.52.112,t1_Paradigm,2021.1.4,59.977295815848585,
9,0,9,9,9,2667.886910574529,VS1leftbutton,1,0,3,2,B01J08,2022-11-14_15h11.52.112,t1_Paradigm,2021.1.4,59.977295815848585,
10,0,10,10,10,2670.6307980141064,VS1rightbutton,0,1,1,3,B01J08,2022-11-14_15h11.52.112,t1_Paradigm,2021.1.4,59.977295815848585,
11,0,11,11,11,2672.5006284510273,VS1leftbutton,1,0,4,1,B01J08,2022-11-14_15h11.52.112,t1_Paradigm,2021.1.4,59.977295815848585,
12,0,12,12,12,2674.1545681556563,VS1leftbutton,1,0,4,3,B01J08,2022-11-14_15h11.52.112,t1_Paradigm,2021.1.4,59.977295815848585,
13,0,13,13,13,2675.7395206833826,VS1leftbutton,1,0,3,1,B01J08,2022-11-14_15h11.52.112,t1_Paradigm,2021.1.4,59.977295815848585,
14,0,14,14,14,2678.0039936635185,VS1rightbutton,0,1,2,3,B01J08,2022-11-14_15h11.52.112,t1_Paradigm,2021.1.4,59.977295815848585,
15,0,15,15,15,2680.242720362068,VS1leftbutton,1,0,3,1,B01J08,2022-11-14_15h11.52.112,t1_Paradigm,2021.1.4,59.977295815848585,
16,0,16,16,16,2681.9375138746836,VS1rightbutton,0,1,1,2,B01J08,2022-11-14_15h11.52.112,t1_Paradigm,2021.1.4,59.977295815848585,
17,0,17,17,17,2683.8754422254933,VS1rightbutton,0,1,1,2,B01J08,2022-11-14_15h11.52.112,t1_Paradigm,2021.1.4,59.977295815848585,
