Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,320.41412452509394,322.40690904756775,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
Q,left,Pretarget,0,1,1,1,323.9086792326998,325.9067810475826,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
Q,right,Target,0,2,2,2,327.40593798004556,329.40540512796724,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
T,left,Distractor,0,3,3,3,330.90522483730456,332.9069908520323,left,1,1,1.0611576844239607,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
Q,left,Lure,0,4,4,4,334.404556606838,336.40420532866847,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
L,left,Distractor,0,5,5,5,337.9040689878166,339.9041665116674,left,1,1,0.675139901752118,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
V,left,Pretarget,0,6,6,6,341.40355185512453,343.40608875692124,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
V,right,Target,0,7,7,7,344.9028165769996,346.9025682763313,right,1,1,0.9074717341572978,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
K,left,Distractor,0,8,8,8,348.4022513239761,350.4042393337004,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
G,left,Pretarget,0,9,9,9,351.9015988127794,353.9018981210538,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
G,right,Target,0,10,10,10,355.4011426324141,357.4008911236888,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
G,right,Target,0,11,11,11,358.90057673776755,360.900228667655,right,1,1,0.8127530325436965,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
P,left,Pretarget,0,12,12,12,362.39996913890354,364.40149070252664,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
P,right,Target,0,13,13,13,365.8994080562843,367.89907442225376,right,1,1,0.922227019967977,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
G,left,Lure,0,14,14,14,369.3986159962369,371.3983250288875,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
Y,left,Distractor,0,15,15,15,372.89808859780896,374.89823648752645,left,1,1,0.6035513418028131,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
B,left,Distractor,0,16,16,16,376.3979073447408,378.397810462513,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
T,left,Pretarget,0,17,17,17,379.89690580102615,381.8966706531937,left,1,1,0.49357914889696985,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
T,right,Target,0,18,18,18,383.39636140008224,385.3963280367316,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
S,left,Distractor,0,19,19,19,386.89576727489475,388.89566044782987,left,1,1,0.7903857579221949,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
T,left,Lure,0,20,20,20,390.39525976619916,392.3951869441662,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
J,left,Distractor,0,21,21,21,393.89470092917327,395.8945690795663,left,1,1,0.7775620206375606,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
P,left,Distractor,0,22,22,22,397.39406670373864,399.39356079907157,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
F,left,Distractor,0,23,23,23,400.8933866035659,402.89339045324596,left,1,1,0.9120303299278021,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
L,left,Distractor,0,24,24,24,404.39301768137375,406.3924302929663,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
W,left,Pretarget,0,25,25,25,407.89238088944694,409.8922323581646,left,1,1,0.8995620411587879,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
W,right,Target,0,26,26,26,411.3918021627469,413.39143163646804,right,1,1,0.9384451627265662,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
V,left,Distractor,0,27,27,27,414.8911903934204,416.89087889471557,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
W,left,Lure,0,28,28,28,418.3907120777294,420.39004673447926,left,1,1,0.7912714921403676,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
R,left,Pretarget,0,29,29,29,421.8900752858026,423.88988537108526,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
R,right,Target,0,30,30,30,425.3892331807292,427.389031075465,right,1,1,0.9456343345227651,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
G,left,Distractor,0,31,31,31,428.8888103637146,430.88909170706756,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
R,left,Lure,0,32,32,32,432.404829609266,434.40515137364855,left,1,1,1.0951344608911313,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
S,left,Distractor,0,33,33,33,435.9042524865363,437.90389222599333,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
R,left,Lure,0,34,34,34,439.4037154641119,441.40332889772253,left,1,1,1.352748695295304,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
P,left,Pretarget,0,35,35,35,442.90309439151315,444.9027841759962,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
P,right,Target,0,36,36,36,446.4024685068871,448.4022147525684,right,1,1,1.2993691749870777,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
Y,left,Pretarget,0,37,37,37,449.9022907826002,451.90162736416096,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
Y,right,Target,0,38,38,38,453.4015118754469,455.40105344948824,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
J,left,Distractor,0,39,39,39,456.9007916750852,458.9003694996936,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
Y,left,Lure,0,40,40,40,460.4002190436004,462.40010580053786,left,1,1,1.1105445035500452,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
T,left,Distractor,0,41,41,41,463.899617860734,465.8992627330008,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
V,left,Distractor,0,42,42,42,467.3989987129462,469.3986965175136,left,1,1,1.0167907743016258,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
N,left,Pretarget,0,43,43,43,470.8981386429514,472.8983279161039,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
N,right,Target,0,44,44,44,474.39771999639925,476.3973712846637,right,1,1,0.7680778316571377,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
N,right,Target,0,45,45,45,477.89726991124917,479.8969369188417,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
X,left,Distractor,0,46,46,46,481.396542973991,483.39661675848765,left,1,1,0.8163428063853644,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
Z,left,Distractor,0,47,47,47,484.8961012297077,486.8963344527292,None,0,1,,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
H,left,Pretarget,0,48,48,48,488.3956283676671,490.3951590344077,left,1,1,1.0940652280696668,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
H,right,Target,0,49,49,49,491.8949797060923,493.8945446986472,right,1,1,0.8147667063749395,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
K,left,Distractor,0,50,50,50,495.3942627137294,497.39426175132394,left,1,1,0.8854984043282457,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
V,left,Pretarget,0,51,51,51,498.89360763615696,500.89340039808303,left,1,1,0.9773744798148982,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
V,right,Target,0,52,52,52,502.39308986178366,504.39277868391946,right,1,1,0.6774487133952789,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
R,left,Distractor,0,53,53,53,505.89260256360285,507.89222562132636,left,1,1,1.2172958448063582,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
V,left,Lure,0,54,54,54,509.39197635819437,511.391610002378,left,1,1,0.9136494174017571,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
Y,left,Distractor,0,55,55,55,512.8914698119042,514.8918361677788,left,1,1,0.9101058390224352,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
Q,left,Distractor,0,56,56,56,516.3908227543579,518.390604288259,left,1,1,0.8027375955716707,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
Z,left,Pretarget,0,57,57,57,519.8900704737753,521.8899078271934,left,1,1,0.9598285377724096,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
Z,right,Target,0,58,58,58,523.3896890402539,525.3893281380879,right,1,1,0.9574732098262757,B02L10,2022-11-17_09h09.26.236,t1_Paradigm,2021.1.4,60.07948439223232,
