vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
0,0,0,0,0,2386.4911779293325,VS1rightbutton,0,1,1,2,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
1,0,1,1,1,2393.1636721885297,VS1leftbutton,1,0,2,3,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
2,0,2,2,2,2398.2003405640135,VS1rightbutton,0,1,4,1,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
3,0,3,3,3,2403.172832706012,VS1leftbutton,1,0,3,4,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
4,0,4,4,4,2408.0663179114927,VS1rightbutton,0,1,3,1,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
5,0,5,5,5,2411.7982591327745,VS1leftbutton,1,0,3,4,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
6,0,6,6,6,2416.764535083319,VS1rightbutton,0,1,4,3,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
7,0,7,7,7,2420.4638157156296,VS1rightbutton,0,1,3,2,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
8,0,8,8,8,2427.047072002897,VS1leftbutton,1,0,1,3,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
9,0,9,9,9,2431.307811350096,VS1rightbutton,0,1,3,2,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
10,0,10,10,10,2434.1739776503528,VS1leftbutton,1,0,1,3,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
11,0,11,11,11,2441.698605663725,VS1leftbutton,1,0,4,2,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
12,0,12,12,12,2455.065719293896,VS1leftbutton,1,0,2,4,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
13,0,13,13,13,2462.641034113476,VS1rightbutton,0,1,4,1,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
14,0,14,14,14,2471.39733772364,VS1rightbutton,0,1,4,2,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
15,0,15,15,15,2478.172944024438,VS1leftbutton,1,0,1,4,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
16,0,16,16,16,2480.8345383746782,VS1leftbutton,1,0,2,1,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
17,0,17,17,17,2484.4176717945375,VS1leftbutton,1,0,2,1,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
