Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
0,0,0,0,0,2494.621819322696,EDrightbutton,0,1,1.00,2.00,3,4,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
1,0,1,1,1,2501.7437377733877,EDrightbutton,0,1,1.50,2.00,3,4,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
2,0,2,2,2,2506.7067877332447,EDrightbutton,0,1,1.75,2.00,3,4,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
3,0,3,3,3,2511.972590628313,EDrightbutton,0,1,1.88,2.00,3,4,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
4,0,4,4,4,2519.251656464068,EDrightbutton,0,1,1.94,2.00,3,4,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
5,0,5,5,5,2525.0987680539256,EDleftbutton,1,0,1.97,2.00,3,4,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
0,0,0,0,0,2532.651229219162,EDleftbutton,1,0,2.00,1.00,1,2,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
1,0,1,1,1,2540.650546551333,EDleftbutton,1,0,2.00,1.50,1,2,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
2,0,2,2,2,2542.157425520825,EDleftbutton,1,0,2.00,1.75,1,2,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
3,0,3,3,3,2544.1002145527164,EDleftbutton,1,0,2.00,1.88,1,2,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
4,0,4,4,4,2545.1446505208733,EDleftbutton,1,0,2.00,1.94,1,2,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
5,0,5,5,5,2546.4297772796126,EDleftbutton,1,0,2.00,1.97,1,2,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
0,0,0,0,0,2547.9307582938345,EDrightbutton,0,1,1.00,2.00,2,3,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
1,0,1,1,1,2551.9507102889474,EDrightbutton,0,1,1.50,2.00,2,3,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
2,0,2,2,2,2553.0341988372384,EDrightbutton,0,1,1.75,2.00,2,3,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
3,0,3,3,3,2554.0503111464204,EDrightbutton,0,1,1.88,2.00,2,3,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
4,0,4,4,4,2555.3394662230276,EDrightbutton,0,1,1.94,2.00,2,3,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
5,0,5,5,5,2556.5807549896417,EDleftbutton,1,0,1.97,2.00,2,3,B02R06,2022-11-04_14h40.05.354,t1_Paradigm,2021.1.4,59.99530383357985,
