Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
0,0,0,0,0,2356.9539135913524,EDleftbutton,1,0,1.00,2.00,1,3,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
1,0,1,1,1,2361.645329701,EDrightbutton,0,1,0.50,2.00,1,3,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
2,0,2,2,2,2364.015173611601,EDrightbutton,0,1,0.75,2.00,1,3,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
3,0,3,3,3,2367.27409511393,EDleftbutton,1,0,0.88,2.00,1,3,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
4,0,4,4,4,2369.820416991211,EDleftbutton,1,0,0.82,2.00,1,3,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
5,0,5,5,5,2373.17769476849,EDrightbutton,0,1,0.79,2.00,1,3,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
0,0,0,0,0,2375.9505916871235,EDrightbutton,0,1,1.00,2.00,1,2,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
1,0,1,1,1,2378.3693979958857,EDrightbutton,0,1,1.50,2.00,1,2,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
2,0,2,2,2,2379.856279441599,EDrightbutton,0,1,1.75,2.00,1,2,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
3,0,3,3,3,2381.4368584762938,EDrightbutton,0,1,1.88,2.00,1,2,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
4,0,4,4,4,2382.913471051473,EDrightbutton,0,1,1.94,2.00,1,2,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
5,0,5,5,5,2384.6870775840275,EDrightbutton,0,1,1.97,2.00,1,2,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
0,0,0,0,0,2386.356472564375,EDleftbutton,1,0,1.00,2.00,2,4,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
1,0,1,1,1,2389.8856934519185,EDleftbutton,1,0,0.50,2.00,2,4,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
2,0,2,2,2,2392.421598248165,EDrightbutton,0,1,0.25,2.00,2,4,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
3,0,3,3,3,2393.921234458749,EDrightbutton,0,1,0.38,2.00,2,4,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
4,0,4,4,4,2395.220594972135,EDrightbutton,0,1,0.44,2.00,2,4,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
5,0,5,5,5,2396.602297006148,EDrightbutton,0,1,0.47,2.00,2,4,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
0,0,0,0,0,2398.046214729429,EDleftbutton,1,0,1.00,2.00,1,4,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
1,0,1,1,1,2400.6694302685623,EDleftbutton,1,0,0.50,2.00,1,4,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
2,0,2,2,2,2403.204177290558,EDrightbutton,0,1,0.25,2.00,1,4,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
3,0,3,3,3,2404.535554480513,EDrightbutton,0,1,0.38,2.00,1,4,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
4,0,4,4,4,2405.8230976123355,EDrightbutton,0,1,0.44,2.00,1,4,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
5,0,5,5,5,2406.9974865166937,EDrightbutton,0,1,0.47,2.00,1,4,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
0,0,0,0,0,2408.0130091608203,EDleftbutton,1,0,1.00,2.00,3,4,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
1,0,1,1,1,2410.636500910436,EDrightbutton,0,1,0.50,2.00,3,4,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
2,0,2,2,2,2411.9310731338633,EDrightbutton,0,1,0.75,2.00,3,4,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
3,0,3,3,3,2413.045812764581,EDrightbutton,0,1,0.88,2.00,3,4,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
4,0,4,4,4,2414.3542144394246,EDrightbutton,0,1,0.94,2.00,3,4,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
5,0,5,5,5,2418.836097790701,EDleftbutton,1,0,0.97,2.00,3,4,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
0,0,0,0,0,2420.997425243521,EDrightbutton,0,1,1.00,2.00,2,3,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
1,0,1,1,1,2425.915444625092,EDleftbutton,1,0,1.50,2.00,2,3,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
2,0,2,2,2,2428.3886188449337,EDleftbutton,1,0,1.25,2.00,2,3,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
3,0,3,3,3,2430.3728758098646,EDrightbutton,0,1,1.12,2.00,2,3,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
4,0,4,4,4,2431.636702694865,EDrightbutton,0,1,1.18,2.00,2,3,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
5,0,5,5,5,2433.046069726946,EDrightbutton,0,1,1.21,2.00,2,3,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
