Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,103.34533335814194,105.29738405255011,None,0,1,,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
Q,left,Pretarget,0,1,1,1,106.7969942781765,108.79671165165519,left,1,1,0.4615396953918207,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
Q,right,Target,0,2,2,2,110.29699491978045,112.297170398449,right,1,1,0.7369831399328177,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
T,left,Distractor,0,3,3,3,113.7971325438184,115.79704560648906,left,1,1,0.6771096257270983,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
Q,left,Lure,0,4,4,4,117.29703213280663,119.29677324563045,left,1,1,0.585428277023766,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
L,left,Distractor,0,5,5,5,120.7968534461188,122.79707223305104,left,1,1,0.5090706752366714,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
V,left,Pretarget,0,6,6,6,124.2969528947242,126.29721242350479,left,1,1,0.46525554441996064,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
V,right,Target,0,7,7,7,127.79716109519222,129.79697021802986,right,1,1,0.7091753849945235,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
K,left,Distractor,0,8,8,8,131.29712676938334,133.29690220801558,left,1,1,0.9052549926409483,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
G,left,Pretarget,0,9,9,9,134.7972489949275,136.79751846856834,left,1,1,0.5566122415457357,B03E01,2022-08-23_09h08.50.191,t1_Paradigm,2021.1.4,59.940851158681774,
