vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,B03I09,2022-09-22_12h02.58.993,t1_Paradigm,2021.1.4,59.97802666965467,
0,0,0,0,0,2607.6716799521237,VS1leftbutton,1,0,1,4,B03I09,2022-09-22_12h02.58.993,t1_Paradigm,2021.1.4,59.97802666965467,
1,0,1,1,1,2628.2445524550276,VS1leftbutton,1,0,2,3,B03I09,2022-09-22_12h02.58.993,t1_Paradigm,2021.1.4,59.97802666965467,
2,0,2,2,2,2652.497820468736,VS1leftbutton,1,0,1,2,B03I09,2022-09-22_12h02.58.993,t1_Paradigm,2021.1.4,59.97802666965467,
3,0,3,3,3,2654.9082543731784,VS1leftbutton,1,0,3,1,B03I09,2022-09-22_12h02.58.993,t1_Paradigm,2021.1.4,59.97802666965467,
4,0,4,4,4,2708.67119233252,VS1leftbutton,1,0,4,1,B03I09,2022-09-22_12h02.58.993,t1_Paradigm,2021.1.4,59.97802666965467,
5,0,5,5,5,2712.904011761886,VS1leftbutton,1,0,4,3,B03I09,2022-09-22_12h02.58.993,t1_Paradigm,2021.1.4,59.97802666965467,
6,0,6,6,6,2715.181866389641,VS1rightbutton,0,1,1,3,B03I09,2022-09-22_12h02.58.993,t1_Paradigm,2021.1.4,59.97802666965467,
7,0,7,7,7,2717.401230405376,VS1rightbutton,0,1,1,4,B03I09,2022-09-22_12h02.58.993,t1_Paradigm,2021.1.4,59.97802666965467,
8,0,8,8,8,2719.4202867074637,VS1rightbutton,0,1,3,4,B03I09,2022-09-22_12h02.58.993,t1_Paradigm,2021.1.4,59.97802666965467,
9,0,9,9,9,2723.005878382537,VS1rightbutton,0,1,2,4,B03I09,2022-09-22_12h02.58.993,t1_Paradigm,2021.1.4,59.97802666965467,
10,0,10,10,10,2725.377844875329,VS1leftbutton,1,0,2,1,B03I09,2022-09-22_12h02.58.993,t1_Paradigm,2021.1.4,59.97802666965467,
11,0,11,11,11,2728.4344026531326,VS1leftbutton,1,0,2,1,B03I09,2022-09-22_12h02.58.993,t1_Paradigm,2021.1.4,59.97802666965467,
12,0,12,12,12,2730.6225795461214,VS1leftbutton,1,0,4,2,B03I09,2022-09-22_12h02.58.993,t1_Paradigm,2021.1.4,59.97802666965467,
13,0,13,13,13,2732.5044200149714,VS1rightbutton,0,1,2,3,B03I09,2022-09-22_12h02.58.993,t1_Paradigm,2021.1.4,59.97802666965467,
14,0,14,14,14,2735.0572689966066,VS1rightbutton,0,1,2,3,B03I09,2022-09-22_12h02.58.993,t1_Paradigm,2021.1.4,59.97802666965467,
15,0,15,15,15,2737.5366337052546,VS1rightbutton,0,1,3,4,B03I09,2022-09-22_12h02.58.993,t1_Paradigm,2021.1.4,59.97802666965467,
16,0,16,16,16,2741.4191719192313,VS1rightbutton,0,1,2,4,B03I09,2022-09-22_12h02.58.993,t1_Paradigm,2021.1.4,59.97802666965467,
17,0,17,17,17,2745.0547041816753,VS1leftbutton,1,0,3,1,B03I09,2022-09-22_12h02.58.993,t1_Paradigm,2021.1.4,59.97802666965467,
