Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
D,left,Distractor,0,0,0,0,2970.6886594584794,2972.6901168617187,left,1,0.6063221083022654,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
M,left,Pretarget,0,1,1,1,2974.188269042468,2976.1897736036335,left,1,0.6516661812202074,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
T,left,Distractor,0,2,2,2,2977.6876925613615,2979.6897197089274,left,1,0.5415383993531577,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
G,left,Pretarget,0,3,3,3,2981.1869412431843,2983.1884057041025,left,1,0.7431967529701069,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
M,right,Target,0,4,4,4,2984.6862499149865,2986.68749462656,right,1,0.5444121432374232,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
P,left,Distractor,0,5,5,5,2988.1858681606827,2990.1869316191296,left,1,0.6920859441161156,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
G,right,Target,0,6,6,6,2991.6852887923014,2993.6869543960784,right,1,0.5859271240769885,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
J,left,Distractor,0,7,7,7,2995.1843559002737,2997.185633654415,left,1,0.6444994655321352,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
M,left,Lure,0,8,8,8,2998.684151549416,3000.685801433865,left,1,0.6033113819430582,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
F,left,Pretarget,0,9,9,9,3002.1835516497376,3004.185066797363,left,1,0.6489614999154583,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
R,left,Distractor,0,10,10,10,3005.6828070683987,3007.6848261959385,left,1,0.6652171764872037,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
G,left,Distractor,0,11,11,11,3009.1823970834957,3011.1816043818835,left,1,0.5540252945502289,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
F,right,Target,0,12,12,12,3012.681644802913,3014.6829392388463,right,1,0.7157617699122056,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
F,left,Lure,0,13,13,13,3016.1811023268383,3018.180905996065,left,1,0.8081033290363848,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
S,left,Distractor,0,14,14,14,3019.6804604021017,3021.6825234795106,left,1,0.5980954629485495,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
F,right,Target,0,15,15,15,3023.1802804322215,3025.1814115798916,right,1,0.5666241496801376,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
T,left,Pretarget,0,16,16,16,3026.6794944674475,3028.681064151402,left,1,0.6646730963839218,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
Z,left,Distractor,0,17,17,17,3030.17891606153,3032.1805473394343,left,1,0.7389740368234925,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
W,left,Distractor,0,18,18,18,3033.678044121829,3035.6794819561765,left,1,0.7728058108477853,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
T,right,Target,0,19,19,19,3037.1775805630023,3039.179229164205,right,1,0.4428536231862381,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
V,left,Distractor,0,20,20,20,3040.677077866334,3042.678558688145,left,1,0.5533737458172254,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
N,left,Distractor,0,21,21,21,3044.176528011798,3046.178658457531,left,1,0.9614540412439965,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
P,left,Pretarget,0,22,22,22,3047.675828663516,3049.6769405630766,left,1,0.6328495425987057,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
T,left,Lure,0,23,23,23,3051.1752261974616,3053.1769113701303,left,1,0.5350248364848085,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
L,left,Pretarget,0,24,24,24,3054.6739587089396,3056.67604648805,left,1,0.8053165224264376,2,3.0,B07R09,2022-11-17_10h36.48.995,t1_Paradigm,2021.1.4,60.00257936218466,
