vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
0,0,0,0,0,2359.192009334045,VS1leftbutton,1,0,2,3,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
1,0,1,1,1,2365.7019370348717,VS1leftbutton,1,0,1,2,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
2,0,2,2,2,2370.0979366973916,VS1rightbutton,0,1,3,2,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
3,0,3,3,3,2376.7951431851834,VS1leftbutton,1,0,3,4,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
4,0,4,4,4,2381.3830251441395,VS1leftbutton,1,0,3,4,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
5,0,5,5,5,2384.6179221843195,VS1leftbutton,1,0,3,4,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
6,0,6,6,6,2388.167169310007,VS1rightbutton,0,1,2,1,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
7,0,7,7,7,2393.3484513440926,VS1rightbutton,0,1,3,1,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
8,0,8,8,8,2395.9964596284844,VS1leftbutton,1,0,1,4,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
9,0,9,9,9,2399.18272532252,VS1rightbutton,0,1,4,2,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
10,0,10,10,10,2402.5337815793464,VS1leftbutton,1,0,1,3,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
11,0,11,11,11,2405.2669191806344,VS1rightbutton,0,1,4,2,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
12,0,12,12,12,2407.946659279667,VS1rightbutton,0,1,4,2,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
13,0,13,13,13,2409.9467920917086,VS1leftbutton,1,0,2,3,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
14,0,14,14,14,2413.3003621534444,VS1rightbutton,0,1,2,1,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
15,0,15,15,15,2416.216363022162,VS1rightbutton,0,1,3,1,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
16,0,16,16,16,2418.413299555017,VS1leftbutton,1,0,1,4,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
17,0,17,17,17,2420.699150548229,VS1leftbutton,1,0,1,4,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
