Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,205.27572583869915,207.22688853763975,None,0,1,,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
Q,left,Pretarget,0,1,1,1,208.72608893850702,210.72800316437497,left,1,1,0.6858388669206761,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
Q,right,Target,0,2,2,2,212.22626682324335,214.22591650739196,None,0,1,,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
T,left,Distractor,0,3,3,3,215.72623939468758,217.7271151843015,left,1,1,0.6628675148531329,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
Q,left,Lure,0,4,4,4,219.22622672299622,221.22615229690564,left,1,1,0.5237430413835682,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
L,left,Distractor,0,5,5,5,222.72605429188116,224.72668274311582,left,1,1,0.7190922456502449,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
V,left,Pretarget,0,6,6,6,226.22593671793584,228.2281954852224,left,1,1,0.5781029498903081,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
V,right,Target,0,7,7,7,229.725892286835,231.72623714906513,right,1,1,0.7115354324341752,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
K,left,Distractor,0,8,8,8,233.22644583080546,235.22693409153726,left,1,1,0.42718739685369655,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
G,left,Pretarget,0,9,9,9,236.72608316407423,238.72678251256002,left,1,1,0.799400549265556,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
G,right,Target,0,10,10,10,240.22611732949736,242.22618501872057,right,1,1,0.4196543229627423,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
G,right,Target,0,11,11,11,243.7262060312496,245.72601034201216,right,1,1,0.4718003764282912,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
P,left,Pretarget,0,12,12,12,247.22631269795238,249.22678716419614,left,1,1,0.427282675052993,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
P,right,Target,0,13,13,13,250.72616881821887,252.7260360061773,right,1,1,0.8158949078060687,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
G,left,Lure,0,14,14,14,254.22646026688744,256.2261593545554,left,1,1,0.531848426151555,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
Y,left,Distractor,0,15,15,15,257.7262262417935,259.7266532293288,left,1,1,0.50309429623303,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
B,left,Distractor,0,16,16,16,261.22619047237094,263.2265581115207,left,1,1,0.47544115895288996,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
T,left,Pretarget,0,17,17,17,264.7260988833732,266.7266182618914,left,1,1,0.4633475630253088,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
T,right,Target,0,18,18,18,268.2262956954364,270.22612438714714,right,1,1,0.4998917293269187,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
S,left,Distractor,0,19,19,19,271.7260164372565,273.7265377405856,left,1,1,0.4873012110183481,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
T,left,Lure,0,20,20,20,275.22631366035785,277.22604546984076,left,1,1,0.5238524348824285,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
J,left,Distractor,0,21,21,21,278.72613160518813,280.71182383346604,left,1,1,0.4301015627279412,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
P,left,Distractor,0,22,22,22,282.2264214498282,284.22623474305146,left,1,1,0.43551990945707075,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
F,left,Distractor,0,23,23,23,285.7261896703567,287.7282206681848,left,1,1,0.533631443977356,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
L,left,Distractor,0,24,24,24,289.2262735600816,291.2262267229962,left,1,1,0.4596775875252206,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
W,left,Pretarget,0,25,25,25,292.7261441164592,294.72650726439315,left,1,1,0.4475317008618731,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
W,right,Target,0,26,26,26,296.2262321766175,298.2263835952035,right,1,1,0.40341115242335945,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
V,left,Distractor,0,27,27,27,299.72600135955145,301.72618036708445,left,1,1,0.5997343117196579,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
