Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
T,left,Distractor,0,0,0,0,2556.450692884304,2558.442674757709,None,0,0,2.9699999999999998,,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
F,left,Distractor,0,1,1,1,2559.94297550965,2561.945050457347,left,1,0,2.9699999999999998,0.38163286322378553,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
G,left,Distractor,0,2,2,2,2563.4429214544944,2565.4428980359517,left,1,0,2.9699999999999998,0.3871692651300691,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
V,left,Distractor,0,3,3,3,2566.942939579807,2568.942655028397,left,1,0,2.9699999999999998,0.4076258498535026,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
H,left,Distractor,0,4,4,4,2570.4430048630165,2572.4428656349482,left,1,0,2.9699999999999998,0.3795393090113066,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
C,left,Pretarget,0,5,5,5,2573.9428285823087,2575.9438997403777,left,1,0,2.9699999999999998,0.3985853270860389,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
C,right,Target,0,6,6,6,2577.4429522514984,2579.4429256249277,right,1,0,2.9699999999999998,0.3871471297752578,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
C,right,Target,0,7,7,7,2580.9428443016077,2582.9429575447284,right,1,0,2.9699999999999998,0.39132621814496815,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
W,left,Distractor,0,8,8,8,2584.4431203517597,2586.4428178354283,left,1,0,2.9699999999999998,0.41126791559509,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
R,left,Pretarget,0,9,9,9,2587.9427759707614,2589.9449198908987,left,1,0,2.9699999999999998,0.41355010142433457,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
R,right,Target,0,10,10,10,2591.4428605021094,2593.442841253971,right,1,0,2.9699999999999998,0.5315269824932329,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
Z,left,Distractor,0,11,11,11,2594.9427695547056,2596.942599208822,left,1,0,2.9699999999999998,0.4556435016565956,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
R,left,Lure,0,12,12,12,2598.4425846123195,2600.4436172741407,left,1,0,2.9699999999999998,0.5064428281039,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
H,left,Pretarget,0,13,13,13,2601.942997965787,2603.9427859156276,left,1,0,2.9699999999999998,0.5754877715080511,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
H,right,Target,0,14,14,14,2605.443088913162,2607.44295064747,right,1,0,2.9699999999999998,0.40315707720583305,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
K,left,Distractor,0,15,15,15,2608.9428074093594,2610.942887289071,left,1,0,2.9699999999999998,0.43937755416845903,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
J,left,Distractor,0,16,16,16,2612.4429753492295,2614.4433202114596,left,1,0,2.9699999999999998,0.4587437327427324,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
H,left,Lure,0,17,17,17,2615.943015609897,2617.943897494755,left,1,0,2.9699999999999998,0.5423485982755665,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
S,left,Distractor,0,18,18,18,2619.4428592188924,2621.4426080308913,left,1,0,2.9699999999999998,0.4195407590304967,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
T,left,Pretarget,0,19,19,19,2622.942824091064,2624.942670747696,left,1,0,2.9699999999999998,0.4076633836666588,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
T,right,Target,0,20,20,20,2626.442859539704,2628.4430613241857,right,1,0,2.9699999999999998,0.5232826904393733,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
X,left,Pretarget,0,21,21,21,2629.942986737704,2631.943303369335,left,1,0,2.9699999999999998,0.38300717921811156,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
X,right,Target,0,22,22,22,2633.4428409331886,2635.442890336679,right,1,0,2.9699999999999998,0.41923760107601993,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
W,left,Distractor,0,23,23,23,2636.9430210635182,2638.9447630186914,left,1,0,2.9699999999999998,0.48542868939694017,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
K,left,Distractor,0,24,24,24,2640.443137675087,2642.4428364419437,left,1,0,2.9699999999999998,0.42732117130071856,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
F,left,Pretarget,0,25,25,25,2643.9428876098827,2645.942693203833,left,1,0,2.9699999999999998,0.6075833756476641,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
F,right,Target,0,26,26,26,2647.442870767758,2649.4430433592643,right,1,0,2.9699999999999998,0.5312921553850174,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
Z,left,Distractor,0,27,27,27,2650.94281639182,2652.9426489331527,left,1,0,2.9699999999999998,0.3916219976672437,B08A08,2022-11-28_10h37.27.119,t1_Paradigm,2021.1.4,59.96008671990067,
