Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,B10L08,2023-01-25_16h26.01.542,t1_Paradigm,2021.1.4,59.972314730904046,
0,0,0,0,0,2541.06086513257,EDleftbutton,1,0,2.00,1.00,1,4,B10L08,2023-01-25_16h26.01.542,t1_Paradigm,2021.1.4,59.972314730904046,
1,0,1,1,1,2552.688081273277,EDleftbutton,1,0,2.00,1.50,1,4,B10L08,2023-01-25_16h26.01.542,t1_Paradigm,2021.1.4,59.972314730904046,
2,0,2,2,2,2555.618294956318,EDleftbutton,1,0,2.00,1.75,1,4,B10L08,2023-01-25_16h26.01.542,t1_Paradigm,2021.1.4,59.972314730904046,
3,0,3,3,3,2562.6719298521393,EDrightbutton,0,1,2.00,1.88,1,4,B10L08,2023-01-25_16h26.01.542,t1_Paradigm,2021.1.4,59.972314730904046,
4,0,4,4,4,2576.949287290111,EDleftbutton,1,0,2.00,1.82,1,4,B10L08,2023-01-25_16h26.01.542,t1_Paradigm,2021.1.4,59.972314730904046,
5,0,5,5,5,2580.709558329353,EDrightbutton,0,1,2.00,1.85,1,4,B10L08,2023-01-25_16h26.01.542,t1_Paradigm,2021.1.4,59.972314730904046,
0,0,0,0,0,2582.627453534228,EDleftbutton,1,0,2.00,1.00,1,3,B10L08,2023-01-25_16h26.01.542,t1_Paradigm,2021.1.4,59.972314730904046,
1,0,1,1,1,2586.465412565881,EDleftbutton,1,0,2.00,1.50,1,3,B10L08,2023-01-25_16h26.01.542,t1_Paradigm,2021.1.4,59.972314730904046,
2,0,2,2,2,2587.8541733299926,EDleftbutton,1,0,2.00,1.75,1,3,B10L08,2023-01-25_16h26.01.542,t1_Paradigm,2021.1.4,59.972314730904046,
3,0,3,3,3,2589.678152449628,EDrightbutton,0,1,2.00,1.88,1,3,B10L08,2023-01-25_16h26.01.542,t1_Paradigm,2021.1.4,59.972314730904046,
