Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,1040.3494496646017,1042.2816215886742,None,0,1,,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
Q,left,Pretarget,0,1,1,1,1043.7819298791542,1045.7851054956545,left,1,1,0.8672843169649695,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
Q,right,Target,0,2,2,2,1047.280421469336,1049.2804346222078,right,1,1,0.7000734636003472,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
T,left,Distractor,0,3,3,3,1050.7804002964208,1052.7803865019455,left,1,1,0.8640695626509114,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
Q,left,Lure,0,4,4,4,1054.28049557454,1056.2823122748373,left,1,1,0.9940314834836954,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
L,left,Distractor,0,5,5,5,1057.780658221026,1059.7834495170328,left,1,1,0.8849142978131113,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
V,left,Pretarget,0,6,6,6,1061.2802604268586,1063.2820966960626,left,1,1,0.9542498211530983,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
V,right,Target,0,7,7,7,1064.7806691282854,1066.7807451582994,right,1,1,0.5917037460021675,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
K,left,Distractor,0,8,8,8,1068.2806858099761,1070.2832977778062,left,1,1,0.7370987973142746,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
G,left,Pretarget,0,9,9,9,1071.780144296626,1073.7821364754795,left,1,1,0.630342391705426,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
G,right,Target,0,10,10,10,1075.2802158354157,1077.2807214189702,right,1,1,0.6035317064406627,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
G,right,Target,0,11,11,11,1078.7807101909093,1080.7803146423544,right,1,1,0.6879683304514401,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
P,left,Pretarget,0,12,12,12,1082.280144296626,1084.2829885249216,left,1,1,0.4974704782191566,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
P,right,Target,0,13,13,13,1085.7804057500507,1087.7804182613186,right,1,1,0.8080072116231349,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
G,left,Lure,0,14,14,14,1089.2804564367266,1091.2827546604472,left,1,1,0.9855289539618752,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
Y,left,Distractor,0,15,15,15,1092.780374632281,1094.7821136985553,left,1,1,0.7661105033701006,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
B,left,Distractor,0,16,16,16,1096.280222893054,1098.2828143295724,left,1,1,0.7535212803841205,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
T,left,Pretarget,0,17,17,17,1099.7806572586205,1101.7825634626056,left,1,1,0.6937892781638766,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
T,right,Target,0,18,18,18,1103.2805549228633,1105.2806864515796,right,1,1,1.4354983173948312,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
S,left,Distractor,0,19,19,19,1106.7802116649932,1108.7840125241,left,1,1,0.6043940215386101,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
T,left,Lure,0,20,20,20,1110.2802758253429,1112.282654891104,left,1,1,0.7217346392103536,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
J,left,Distractor,0,21,21,21,1113.7806691282854,1115.7843881829467,left,1,1,0.7239911587039387,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
P,left,Distractor,0,22,22,22,1117.2805732085626,1119.2826462294565,left,1,1,0.4576878534833213,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
F,left,Distractor,0,23,23,23,1120.7805260507057,1122.782379001601,left,1,1,0.4460523740933695,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
L,left,Distractor,0,24,24,24,1124.2802431035643,1126.2822214879425,left,1,1,0.5142577128760877,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
W,left,Pretarget,0,25,25,25,1127.7806774691308,1129.7833025898326,left,1,1,0.5170271943641183,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
W,right,Target,0,26,26,26,1131.2802447075733,1133.2807095493058,right,1,1,0.6515002293731413,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
V,left,Distractor,0,27,27,27,1134.7806277448599,1136.782836464893,left,1,1,0.4616179956949509,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
W,left,Lure,0,28,28,28,1138.2806094591601,1140.2824534276065,left,1,1,0.6579451364850684,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
R,left,Pretarget,0,29,29,29,1141.7806303112739,1143.783981406331,left,1,1,0.5322107410840999,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
R,right,Target,0,30,30,30,1145.2806710530958,1147.28031207594,right,1,1,0.539960028102314,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
G,left,Distractor,0,31,31,31,1148.7802860909987,1150.780509369015,left,1,1,0.7036715760027619,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
R,left,Lure,0,32,32,32,1152.2805132186359,1154.2817688366767,left,1,1,0.9147543139815753,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
S,left,Distractor,0,33,33,33,1155.7804923665226,1157.782379964006,left,1,1,0.5338141082193033,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
R,left,Lure,0,34,34,34,1159.2806020807202,1161.2807509327313,left,1,1,0.507587282135546,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
P,left,Pretarget,0,35,35,35,1162.7804869128927,1164.7804144116976,left,1,1,0.543890811916981,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
P,right,Target,0,36,36,36,1166.280505519394,1168.2804907625136,right,1,1,0.46760640191951097,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
Y,left,Pretarget,0,37,37,37,1169.780118953288,1171.7805513940439,left,1,1,0.5036334005947083,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
Y,right,Target,0,38,38,38,1173.280499424161,1175.280259785255,right,1,1,0.5879891825650247,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
J,left,Distractor,0,39,39,39,1176.7804496998901,1178.7934200353525,left,1,1,0.5309647470958225,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
Y,left,Lure,0,40,40,40,1180.2799348130848,1182.2806091383586,left,1,1,0.46755058241569714,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
T,left,Distractor,0,41,41,41,1183.7806287072654,1185.7817637038488,left,1,1,0.5826898584944047,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
V,left,Distractor,0,42,42,42,1187.2806524465946,1189.2820761647508,left,1,1,0.4742758702550418,B15D10,2023-01-10_10h44.51.208,t1_Paradigm,2021.1.4,59.99268661172605,
