Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
0,0,0,0,0,2475.8744701553037,EDleftbutton,1,0,1.00,2.00,2,3,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
1,0,1,1,1,2482.520327782709,EDrightbutton,0,1,0.50,2.00,2,3,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
2,0,2,2,2,2485.2975788747995,EDrightbutton,0,1,0.75,2.00,2,3,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
3,0,3,3,3,2488.973401659894,EDrightbutton,0,1,0.88,2.00,2,3,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
4,0,4,4,4,2494.4982344658824,EDrightbutton,0,1,0.94,2.00,2,3,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
5,0,5,5,5,2496.9868050906152,EDrightbutton,0,1,0.97,2.00,2,3,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
0,0,0,0,0,2499.666157339935,EDleftbutton,1,0,2.00,1.00,1,2,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
1,0,1,1,1,2502.700986498404,EDleftbutton,1,0,2.00,1.50,1,2,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
2,0,2,2,2,2505.683336610861,EDleftbutton,1,0,2.00,1.75,1,2,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
3,0,3,3,3,2507.4769771592146,EDleftbutton,1,0,2.00,1.88,1,2,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
4,0,4,4,4,2508.934591027102,EDleftbutton,1,0,2.00,1.94,1,2,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
5,0,5,5,5,2510.3065542747354,EDleftbutton,1,0,2.00,1.97,1,2,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
0,0,0,0,0,2511.969868025242,EDleftbutton,1,0,1.00,2.00,1,3,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
1,0,1,1,1,2515.9822769695884,EDrightbutton,0,1,0.50,2.00,1,3,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
2,0,2,2,2,2519.2340234961844,EDrightbutton,0,1,0.75,2.00,1,3,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
3,0,3,3,3,2522.953167070182,EDrightbutton,0,1,0.88,2.00,1,3,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
4,0,4,4,4,2525.588543131997,EDleftbutton,1,0,0.94,2.00,1,3,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
5,0,5,5,5,2527.5866956329537,EDrightbutton,0,1,0.91,2.00,1,3,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
0,0,0,0,0,2529.6309842816618,EDleftbutton,1,0,1.00,2.00,2,4,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
1,0,1,1,1,2532.2673002935016,EDleftbutton,1,0,0.50,2.00,2,4,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
2,0,2,2,2,2534.4596198431473,EDleftbutton,1,0,0.25,2.00,2,4,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
3,0,3,3,3,2536.363578444283,EDleftbutton,1,0,0.12,2.00,2,4,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
4,0,4,4,4,2538.7434379137344,EDrightbutton,0,1,0.06,2.00,2,4,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
5,0,5,5,5,2540.380137925636,EDrightbutton,0,1,0.09,2.00,2,4,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
0,0,0,0,0,2542.169871746546,EDleftbutton,1,0,1.00,2.00,3,4,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
1,0,1,1,1,2544.186813944752,EDleftbutton,1,0,0.50,2.00,3,4,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
2,0,2,2,2,2546.1380796211456,EDleftbutton,1,0,0.25,2.00,3,4,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
3,0,3,3,3,2547.781015383421,EDrightbutton,0,1,0.12,2.00,3,4,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
4,0,4,4,4,2551.0497406796576,EDrightbutton,0,1,0.18,2.00,3,4,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
5,0,5,5,5,2552.7701655370693,EDrightbutton,0,1,0.21,2.00,3,4,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
0,0,0,0,0,2554.6676298213742,EDleftbutton,1,0,1.00,2.00,1,4,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
1,0,1,1,1,2556.800976328979,EDleftbutton,1,0,0.50,2.00,1,4,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
2,0,2,2,2,2558.653232545882,EDleftbutton,1,0,0.25,2.00,1,4,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
3,0,3,3,3,2560.2955443481574,EDrightbutton,0,1,0.12,2.00,1,4,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
4,0,4,4,4,2561.8361789010414,EDrightbutton,0,1,0.18,2.00,1,4,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
5,0,5,5,5,2564.3565188742286,EDrightbutton,0,1,0.21,2.00,1,4,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
