Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2591.0507062938477,2593.0449668242554,None,0,3,3.0,,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
P,left,Pretarget,0,1,1,1,2594.543584327793,2596.5456040975405,None,0,3,3.0,,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
B,left,Distractor,0,2,2,2,2598.0438128992582,2600.045454122579,None,0,3,3.0,,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
K,left,Pretarget,0,3,3,3,2601.543804718806,2603.545533200286,None,0,3,3.0,,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
H,left,Distractor,0,4,4,4,2605.0435536911964,2607.056656209589,left,1,3,3.0,0.7100270211572024,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
P,right,Target,0,5,5,5,2608.543783866672,2610.5439173203276,left,0,3,3.0,0.6468623794467021,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
L,left,Distractor,0,6,6,6,2612.0435479167595,2614.0451625135097,left,1,3,3.0,0.7934823929394952,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
K,right,Target,0,7,7,7,2615.543630202487,2617.5453667040188,right,1,3,3.0,0.5893486659606424,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
Z,left,Pretarget,0,8,8,8,2619.043793009531,2621.045204859381,left,1,3,3.0,0.5934642355427968,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
S,left,Pretarget,0,9,9,9,2622.5435663628778,2624.5448652904047,left,1,3,3.0,0.6299727927771528,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
N,left,Distractor,0,10,10,10,2626.0435649192686,2628.0453030248104,left,1,3,3.0,0.5213800134547455,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
M,left,Distractor,0,11,11,11,2629.543561871649,2631.5456063431548,left,1,3,3.0,0.6370692550685817,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
Z,right,Target,0,12,12,12,2633.043794613541,2635.045328688975,right,1,3,3.0,0.7213705818739982,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
S,right,Target,0,13,13,13,2636.543821721315,2638.5444504933453,right,1,3,3.0,0.6941068983028345,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
Q,left,Distractor,0,14,14,14,2640.043952768955,2642.045777491052,left,1,3,3.0,0.5049324920191793,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
V,left,Lure,0,15,15,15,2643.5437354255614,2645.54528425789,left,1,3,3.0,0.7974760577408233,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
Z,right,Target,0,16,16,16,2647.043299295166,2649.045454443381,left,0,3,3.0,0.5619810425232572,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
X,left,Distractor,0,17,17,17,2650.5431733803584,2652.544053661202,left,1,3,3.0,0.5345880757236046,B19S05,2022-09-29_09h03.28.866,t1_Paradigm,2021.1.4,60.00752696042224,
