Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,209.05649044550955,210.99046863481635,None,0,1,,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
Q,left,Pretarget,0,1,1,1,212.49446070200065,214.47549453319516,left,1,1,0.812369633873459,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
Q,right,Target,0,2,2,2,215.9900368345552,217.98980649828445,right,1,1,0.8339727998245507,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
T,left,Distractor,0,3,3,3,219.490188894968,221.49120295187458,left,1,1,0.9163728649728,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
Q,left,Lure,0,4,4,4,222.98980746068992,224.99121546314564,left,1,1,1.049124818528071,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
L,left,Distractor,0,5,5,5,226.4897869293345,228.4903188199969,left,1,1,0.9414673252613284,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
V,left,Pretarget,0,6,6,6,229.9898103479063,231.99168800533516,left,1,1,0.9921021615155041,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
V,right,Target,0,7,7,7,233.48987996205688,235.490314328752,right,1,1,0.9495477004675195,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
K,left,Distractor,0,8,8,8,236.98994668899104,238.99201843200717,left,1,1,1.0157530102296732,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
G,left,Pretarget,0,9,9,9,240.49014109536074,242.49215381068643,left,1,1,1.0036616405122913,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
G,right,Target,0,10,10,10,243.9901683635544,245.99014109536074,right,1,1,1.0737207516795024,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
G,right,Target,0,11,11,11,247.47360917646438,249.473498499603,right,1,1,0.7263092113425955,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
P,left,Pretarget,0,12,12,12,250.97353025904158,252.97493794071488,left,1,1,1.2409740592702292,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
P,right,Target,0,13,13,13,254.47350363241276,256.47322421340505,right,1,1,0.9586183931678534,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
G,left,Lure,0,14,14,14,257.9732354414882,259.9734490959672,left,1,1,1.0105191163020208,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
Y,left,Distractor,0,15,15,15,261.4733056972618,263.49286021792796,left,1,1,0.9469662021729164,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
B,left,Distractor,0,16,16,16,264.9899011350353,266.9901741380454,left,1,1,0.8736932909232564,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
T,left,Pretarget,0,17,17,17,268.4735408455017,270.47350331163034,left,1,1,0.8624584641074762,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
T,right,Target,0,18,18,18,271.9735572064528,273.97339231392834,right,1,1,1.0744704672251828,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
S,left,Distractor,0,19,19,19,275.47314850398107,277.47511566535104,left,1,1,0.6607766245142557,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
T,left,Lure,0,20,20,20,278.98990434309235,280.9752805578755,None,0,1,,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
J,left,Distractor,0,21,21,21,282.490168042772,284.4910585907055,left,1,1,0.9728851250838488,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
P,left,Distractor,0,22,22,22,285.973697076377,287.97324923600536,left,1,1,1.170539929997176,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
F,left,Distractor,0,23,23,23,289.4732864490943,291.4751878459356,left,1,1,0.6128131112782285,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
L,left,Distractor,0,24,24,24,292.9899640123476,294.990311762318,left,1,1,1.0334911468089558,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
W,left,Pretarget,0,25,25,25,296.48989985184744,298.4922439561924,left,1,1,0.6196484516840428,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
W,right,Target,0,26,26,26,299.9899957717862,301.99005479947664,right,1,1,1.0738917394191958,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
V,left,Distractor,0,27,27,27,303.47371087089414,305.4735042740358,left,1,1,0.646500589326024,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
W,left,Lure,0,28,28,28,306.9732716921717,308.9749658505316,None,0,1,,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
R,left,Pretarget,0,29,29,29,310.4900631403434,312.49209863267606,left,1,1,0.7798123433603905,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
R,right,Target,0,30,30,30,313.9737233821652,315.97360757243587,right,1,1,0.46665128954919055,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
G,left,Distractor,0,31,31,31,317.47334868478356,319.4749568681,left,1,1,0.5328184238169342,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
R,left,Lure,0,32,32,32,320.9737115125172,322.9738144901348,left,1,1,0.9380895950016566,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
S,left,Distractor,0,33,33,33,324.47374327195575,326.4736605048529,left,1,1,0.8144080133643001,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
R,left,Lure,0,34,34,34,327.973296714772,329.9747557248338,left,1,1,0.9133204285171814,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
P,left,Pretarget,0,35,35,35,331.4902485642233,333.4734426799114,left,1,1,1.0783711057156324,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
P,right,Target,0,36,36,36,334.97339969238965,336.9736515224213,right,1,1,0.8263806861359626,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
Y,left,Pretarget,0,37,37,37,338.4736653169384,340.4754537912668,left,1,1,0.556565513368696,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
Y,right,Target,0,38,38,38,341.9737516128225,343.97311032848665,right,1,1,0.7548093117657118,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
J,left,Distractor,0,39,39,39,345.4735469407751,347.4748490783968,left,1,1,0.5652804359560832,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
Y,left,Lure,0,40,40,40,348.9736653169384,350.9750389935216,left,1,1,0.9527679166640155,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
T,left,Distractor,0,41,41,41,352.4898960022256,354.490442970593,left,1,1,0.6695666150189936,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
V,left,Distractor,0,42,42,42,355.97363804868655,357.97333200305,left,1,1,1.0427138999220915,B20S10,2022-11-02_12h55.25.283,t1_Paradigm,2021.1.4,60.05159088234339,
