vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
0,0,0,0,0,2737.607055140659,VS1rightbutton,0,1,2,1,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
1,0,1,1,1,2752.0445520129288,VS1rightbutton,0,1,3,2,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
2,0,2,2,2,2760.0763832658995,VS1leftbutton,1,0,1,4,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
3,0,3,3,3,2763.63847416325,VS1leftbutton,1,0,1,2,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
4,0,4,4,4,2767.362249565893,VS1rightbutton,0,1,2,1,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
5,0,5,5,5,2770.394365691114,VS1rightbutton,0,1,4,1,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
6,0,6,6,6,2773.5741440682905,VS1leftbutton,1,0,2,4,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
7,0,7,7,7,2780.0255236449884,VS1rightbutton,0,1,3,2,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
8,0,8,8,8,2783.191564961686,VS1leftbutton,1,0,3,4,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
9,0,9,9,9,2786.5056457935134,VS1rightbutton,0,1,4,2,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
10,0,10,10,10,2790.8165157185867,VS1leftbutton,1,0,2,4,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
11,0,11,11,11,2797.557123599807,VS1rightbutton,0,1,2,3,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
12,0,12,12,12,2800.7955221179873,VS1leftbutton,1,0,3,4,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
13,0,13,13,13,2803.8889056418557,VS1leftbutton,1,0,1,3,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
14,0,14,14,14,2808.4058526466833,VS1rightbutton,0,1,4,3,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
15,0,15,15,15,2811.9559099419275,VS1rightbutton,0,1,3,1,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
16,0,16,16,16,2814.764171426301,VS1leftbutton,1,0,1,4,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
17,0,17,17,17,2818.6617178687593,VS1leftbutton,1,0,1,3,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
