Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
D,left,Distractor,0,0,0,0,3017.48223013815,3019.4770790211624,left,1,1.085491795791313,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
M,left,Pretarget,0,1,1,1,3020.9752802846488,3022.9769099585246,left,1,0.47416453540790826,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
T,left,Distractor,0,2,2,2,3024.474530570442,3026.474780475255,left,1,0.5662959694163874,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
G,left,Pretarget,0,3,3,3,3027.9740105505334,3029.9758404048625,left,1,0.6714477919740602,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
M,right,Target,0,4,4,4,3031.473427653429,3033.4749087960226,right,1,0.7341786891920492,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
P,left,Distractor,0,5,5,5,3034.972938430379,3036.974411232164,left,1,0.9227377367205918,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
G,right,Target,0,6,6,6,3038.472086059628,3040.473863302381,left,0,1.343964496278204,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
J,left,Distractor,0,7,7,7,3041.971806641086,3043.97305327747,left,1,0.8639924828894436,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
M,left,Lure,0,8,8,8,3045.47128309228,3047.470066611306,right,0,0.6264553180662915,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
F,left,Pretarget,0,9,9,9,3048.9705702703213,3050.972103703767,left,1,0.8775713881477714,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
R,left,Distractor,0,10,10,10,3052.469676516135,3054.470921548549,left,1,0.7688413403229788,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
G,left,Distractor,0,11,11,11,3055.9692508119624,3057.9682300201384,left,1,0.853456384385936,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
F,right,Target,0,12,12,12,3059.4679788321955,3061.4702712829458,right,1,0.9168731562094763,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
F,left,Lure,0,13,13,13,3062.967891894863,3064.967851152993,None,0,,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
S,left,Distractor,0,14,14,14,3066.467698130524,3068.468875473598,left,1,1.3924081575823948,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
F,right,Target,0,15,15,15,3069.9668406269047,3071.968238360947,right,1,0.915874499711208,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
T,left,Pretarget,0,16,16,16,3073.465648847632,3075.468250872218,left,1,1.112050989526324,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
Z,left,Distractor,0,17,17,17,3076.965873088222,3078.967098551686,left,1,1.068752028979361,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
W,left,Distractor,0,18,18,18,3080.4652568276506,3082.4666994740255,left,1,0.718745228019543,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
T,right,Target,0,19,19,19,3083.9646944617853,3085.965735464124,right,1,0.5653893830021843,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
V,left,Distractor,0,20,20,20,3087.4639479556354,3089.465131073259,left,1,1.01926511968486,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
N,left,Distractor,0,21,21,21,3090.9635004369775,3092.96271896339,left,1,0.6631348510272801,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
P,left,Pretarget,0,22,22,22,3094.4630019107135,3096.464250792633,left,1,0.7724237357033417,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
T,left,Lure,0,23,23,23,3097.9623205272947,3099.9642864017515,right,0,0.8302675359882414,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
L,left,Pretarget,0,24,24,24,3101.4617353845388,3103.4618906526593,left,1,0.8611527440370992,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
P,right,Target,0,25,25,25,3104.9610392443137,3106.9608159661293,None,0,,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
G,left,Pretarget,0,26,26,26,3108.460430682986,3110.462281710352,left,1,0.6660150110255927,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
L,right,Target,0,27,27,27,3111.960189119098,3113.9616660913453,left,0,0.7730646979762241,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
F,left,Distractor,0,28,28,28,3115.475940495031,3117.4778245649068,left,1,1.4512814113404602,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
G,right,Target,0,29,29,29,3118.975447101635,3120.9770344297867,right,1,0.7872714125551283,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
R,left,Pretarget,0,30,30,30,3122.4749578787014,3124.475853878539,left,1,1.1437542425701395,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
X,left,Distractor,0,31,31,31,3125.974142720923,3127.976160885999,left,1,0.6217876495793462,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
W,left,Distractor,0,32,32,32,3129.473512986675,3131.4747102195397,left,1,0.5824945430504158,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
R,right,Target,0,33,33,33,3132.972956716083,3134.974678139435,right,1,1.084501159377396,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
S,left,Distractor,0,34,34,34,3136.4719327163184,3138.4726150620263,left,1,0.556394096231088,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
D,left,Distractor,0,35,35,35,3139.9721486159833,3141.9713947314303,left,1,0.6513752138707787,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
R,right,Target,0,36,36,36,3143.4711496386444,3145.4708076638635,right,1,0.4770334673812613,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
T,left,Distractor,0,37,37,37,3146.970788415754,3148.970191403292,left,1,0.5920614990172908,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
G,left,Distractor,0,38,38,38,3150.4700152829755,3152.4703075336292,left,1,0.8945177512941882,2,3.0,B21L11,2022-11-17_12h08.54.174,t1_Paradigm,2021.1.4,59.95929859226403,
