Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2574.6929534910596,2576.6864489127765,left,1,0.9077774879988283,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
P,left,Pretarget,0,1,1,1,2578.1842073098524,2580.186016632244,left,1,0.38398569996934384,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
B,left,Distractor,0,2,2,2,2581.683264954423,2583.6865525317844,left,1,0.3395556060131639,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
K,left,Pretarget,0,3,3,3,2585.183444763825,2587.185952151078,left,1,0.5681493807351217,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
H,left,Distractor,0,4,4,4,2588.6842758010025,2590.686111750023,left,1,0.9561159108416177,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
P,right,Target,0,5,5,5,2592.18420313939,2594.1859290533466,left,0,0.6562033935333602,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
L,left,Distractor,0,6,6,6,2595.684272913786,2597.6858705070335,left,1,0.8681392113212496,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
K,right,Target,0,7,7,7,2599.1840514001087,2601.186305995565,left,0,0.7921438193297945,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
Z,left,Pretarget,0,8,8,8,2602.6843155804672,2604.6860925019137,left,1,0.636013729032129,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
S,left,Pretarget,0,9,9,9,2606.1842692245846,2608.1858132439083,left,1,0.7682905977126211,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
N,left,Distractor,0,10,10,10,2609.684236663219,2611.68335221248,left,1,0.5670795065234415,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
M,left,Distractor,0,11,11,11,2613.1841806832817,2615.1858543065027,left,1,0.5682430548476987,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
Z,right,Target,0,12,12,12,2616.684247249679,2618.6865958400303,right,1,0.507630753214471,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
S,right,Target,0,13,13,13,2620.1841858160915,2622.185986476892,right,1,0.7361116057145409,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
Q,left,Distractor,0,14,14,14,2623.68417699408,2625.6864732936956,left,1,0.5957729865331203,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
V,left,Lure,0,15,15,15,2627.184189986554,2629.18630150432,None,0,,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
Z,right,Target,0,16,16,16,2630.6832877313136,2632.685845163651,None,0,,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
X,left,Distractor,0,17,17,17,2634.1841707384447,2636.185896973184,left,1,0.6243166519561782,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
V,left,Pretarget,0,18,18,18,2637.6842575152987,2639.6860774242086,right,0,0.9160006018355489,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
E,left,Distractor,0,19,19,19,2641.184181324905,2643.1858677802375,left,1,0.4882540006074123,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
R,left,Distractor,0,20,20,20,2644.6842632897315,2646.686184572056,left,1,0.6520082677016035,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
G,left,Distractor,0,21,21,21,2648.184251901286,2650.1833251047647,left,1,0.6428548285039142,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
V,right,Target,0,22,22,22,2651.6841766732396,2653.686450516747,right,1,0.48359146650182083,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
T,left,Pretarget,0,23,23,23,2655.184154056711,2657.186418917787,left,1,0.5676412305911072,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
B,left,Distractor,0,24,24,24,2658.68434766063,2660.68607421621,left,1,0.5721991832833737,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
S,left,Pretarget,0,25,25,25,2662.1841194101144,2664.185816451907,left,1,0.8483996318536811,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
G,left,Lure,0,26,26,26,2665.684263610572,2667.686059459287,right,0,0.8679406349547207,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
T,right,Target,0,27,27,27,2669.184247089259,2671.1856990384404,left,0,0.664726136252284,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
H,left,Distractor,0,28,28,28,2672.6833149995073,2674.6833493252634,left,1,0.41486063244519755,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
S,right,Target,0,29,29,29,2676.184127750981,2678.186243759992,right,1,0.5119708814891055,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
D,left,Distractor,0,30,30,30,2679.6841442722944,2681.686233333894,left,1,0.5641890818951651,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
Z,left,Distractor,0,31,31,31,2683.184331139317,2685.18655878742,left,1,0.5515494889696129,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
J,left,Pretarget,0,32,32,32,2686.6841904677567,2688.6848850037204,left,1,0.49347793794004247,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
C,left,Pretarget,0,33,33,33,2690.1842310491484,2692.186134045769,left,1,0.5922605270170607,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
H,left,Distractor,0,34,34,34,2693.6840846030973,2695.6863010231173,left,1,0.4677444967092015,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
B,left,Pretarget,0,35,35,35,2697.1841181269265,2699.186265574477,left,1,0.6477059940807521,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
J,right,Target,0,36,36,36,2700.6841574251303,2702.6863991884748,right,1,0.6356470525497571,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
C,right,Target,0,37,37,37,2704.1841620767955,2706.1856047227047,right,1,0.6725838568527251,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
H,left,Distractor,0,38,38,38,2707.6842934451415,2709.686453083181,right,0,0.563990184746217,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
B,right,Target,0,39,39,39,2711.1841996106086,2713.1862697449396,right,1,0.7438987498171628,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
F,left,Pretarget,0,40,40,40,2714.6841221369104,2716.6863568426343,left,1,1.1478367208619602,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
M,left,Distractor,0,41,41,41,2718.183465295122,2720.1861552186892,left,1,0.8159094620496035,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
W,left,Pretarget,0,42,42,42,2721.6841442722944,2723.6860065269866,left,1,0.6281611413578503,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
Z,left,Distractor,0,43,43,43,2725.184129675792,2727.186006687407,left,1,0.8881517931586131,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
F,right,Target,0,44,44,44,2728.684196562972,2730.6862493740045,left,0,0.41202346089994535,3,3.0,B27T02,2022-10-12_09h19.12.749,t1_Paradigm,2021.1.4,59.9856251001476,
