vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
0,0,0,0,0,3042.6563741703267,VS1rightbutton,0,1,3,1,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
1,0,1,1,1,3048.7450668711244,VS1leftbutton,1,0,1,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
2,0,2,2,2,3054.920889968209,VS1rightbutton,0,1,3,2,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
3,0,3,3,3,3058.733343171254,VS1leftbutton,1,0,1,2,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
4,0,4,4,4,3061.950619307774,VS1rightbutton,0,1,4,3,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
5,0,5,5,5,3069.7684427320764,VS1rightbutton,0,1,4,2,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
6,0,6,6,6,3075.7674652491514,VS1rightbutton,0,1,4,3,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
7,0,7,7,7,3119.9849232802626,VS1rightbutton,0,1,4,3,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
8,0,8,8,8,3123.095979712498,VS1rightbutton,0,1,2,1,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
9,0,9,9,9,3125.7863020861732,VS1leftbutton,1,0,2,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
10,0,10,10,10,3128.650107628986,VS1leftbutton,1,0,1,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
11,0,11,11,11,3131.7168003875286,VS1rightbutton,0,1,2,1,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
12,0,12,12,12,3135.057764845904,VS1rightbutton,0,1,3,2,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
13,0,13,13,13,3138.27351685332,VS1leftbutton,1,0,1,3,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
14,0,14,14,14,3141.0779083084453,VS1rightbutton,0,1,3,2,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
15,0,15,15,15,3144.8040228539176,VS1leftbutton,1,0,1,3,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
16,0,16,16,16,3150.768898591359,VS1rightbutton,0,1,4,2,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
17,0,17,17,17,3153.7162550245575,VS1leftbutton,1,0,1,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
