Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
0,0,0,0,0,3180.7414033151654,EDrightbutton,0,1,1.00,2.00,3,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
1,0,1,1,1,3186.0174808080355,EDrightbutton,0,1,1.50,2.00,3,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
2,0,2,2,2,3190.8919029638873,EDrightbutton,0,1,1.75,2.00,3,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
3,0,3,3,3,3193.6858154299225,EDrightbutton,0,1,1.88,2.00,3,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
4,0,4,4,4,3195.811886346357,EDrightbutton,0,1,1.94,2.00,3,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
5,0,5,5,5,3197.650065603957,EDrightbutton,0,1,1.97,2.00,3,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
0,0,0,0,0,3199.7000102656566,EDleftbutton,1,0,1.00,2.00,2,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
1,0,1,1,1,3205.4571967060074,EDrightbutton,0,1,0.50,2.00,2,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
2,0,2,2,2,3224.2583191913236,EDrightbutton,0,1,0.75,2.00,2,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
3,0,3,3,3,3225.7163454906513,EDrightbutton,0,1,0.88,2.00,2,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
4,0,4,4,4,3227.4606780465747,EDrightbutton,0,1,0.94,2.00,2,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
5,0,5,5,5,3228.837197925055,EDrightbutton,0,1,0.97,2.00,2,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
0,0,0,0,0,3230.149840401131,EDrightbutton,0,1,1.00,2.00,1,3,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
1,0,1,1,1,3232.633259121196,EDrightbutton,0,1,1.50,2.00,1,3,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
2,0,2,2,2,3234.6167599665077,EDrightbutton,0,1,1.75,2.00,1,3,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
3,0,3,3,3,3236.1414710043337,EDrightbutton,0,1,1.88,2.00,1,3,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
4,0,4,4,4,3237.9030845088055,EDrightbutton,0,1,1.94,2.00,1,3,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
5,0,5,5,5,3240.451680840757,EDrightbutton,0,1,1.97,2.00,1,3,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
0,0,0,0,0,3241.853710553416,EDrightbutton,0,1,1.00,2.00,1,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
1,0,1,1,1,3243.5829368758405,EDrightbutton,0,1,1.50,2.00,1,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
2,0,2,2,2,3245.277290444279,EDrightbutton,0,1,1.75,2.00,1,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
3,0,3,3,3,3246.549679679456,EDrightbutton,0,1,1.88,2.00,1,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
4,0,4,4,4,3248.3609305175505,EDrightbutton,0,1,1.94,2.00,1,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
5,0,5,5,5,3250.07348766036,EDleftbutton,1,0,1.97,2.00,1,4,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
0,0,0,0,0,3263.999611188283,EDrightbutton,0,1,1.00,2.00,1,2,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
1,0,1,1,1,3267.1787969292855,EDrightbutton,0,1,1.50,2.00,1,2,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
2,0,2,2,2,3269.5252432479247,EDrightbutton,0,1,1.75,2.00,1,2,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
3,0,3,3,3,3272.9029593961222,EDrightbutton,0,1,1.88,2.00,1,2,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
4,0,4,4,4,3274.5830655173413,EDrightbutton,0,1,1.94,2.00,1,2,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
5,0,5,5,5,3277.074391358885,EDleftbutton,1,0,1.97,2.00,1,2,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
0,0,0,0,0,3279.291784588042,EDleftbutton,1,0,1.00,2.00,2,3,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
1,0,1,1,1,3285.5830870110585,EDrightbutton,0,1,0.50,2.00,2,3,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
2,0,2,2,2,3288.6164131798196,EDrightbutton,0,1,0.75,2.00,2,3,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
3,0,3,3,3,3291.5495946669926,EDrightbutton,0,1,0.88,2.00,2,3,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
4,0,4,4,4,3293.1097963229713,EDrightbutton,0,1,0.94,2.00,2,3,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
5,0,5,5,5,3295.342672727682,EDrightbutton,0,1,0.97,2.00,2,3,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
