Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,494.6425078355833,496.5870168324682,None,0,1,,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
Q,left,Pretarget,0,1,1,1,498.086175690285,500.08882807913596,left,1,1,0.7411550146125592,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
Q,right,Target,0,2,2,2,501.585631610521,503.58612404120413,right,1,1,0.8599071599746821,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
T,left,Distractor,0,3,3,3,505.0860326127058,507.0878650322893,left,1,1,0.7982339863783636,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
Q,left,Lure,0,4,4,4,508.5859360513796,510.58698603550056,right,0,1,1.3153266242989048,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
L,left,Distractor,0,5,5,5,512.086015931015,514.0879885409622,left,1,1,1.2539546835450892,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
V,left,Pretarget,0,6,6,6,515.5857240014248,517.587422325877,left,1,1,0.8746172033152106,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
V,right,Target,0,7,7,7,519.0862590987399,521.0860849033907,None,0,1,,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
K,left,Distractor,0,8,8,8,522.585861304573,524.5879827665303,left,1,1,0.737932881857887,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
G,left,Pretarget,0,9,9,9,526.0862446626616,528.0876574735585,left,1,1,0.8702020088603604,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
G,right,Target,0,10,10,10,529.5856293649094,531.5858885727212,right,1,1,0.8119614139650366,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
G,right,Target,0,11,11,11,533.0857596104188,535.0860531440176,right,1,1,0.7198162447593859,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
P,left,Pretarget,0,12,12,12,536.5858520013217,538.5877229171147,left,1,1,0.7861920511750213,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
P,right,Target,0,13,13,13,540.0859341265696,542.0860903570201,right,1,1,0.9999082507001731,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
G,left,Lure,0,14,14,14,543.5858407732612,545.5883872975346,left,1,1,1.081491663966517,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
Y,left,Distractor,0,15,15,15,547.0859658859426,549.0877171426837,left,1,1,1.0542459715325094,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
B,left,Distractor,0,16,16,16,550.5858372444418,552.5879189269826,left,1,1,0.8339064991223495,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
T,left,Pretarget,0,17,17,17,554.0862222065389,556.0877431276249,left,1,1,1.0622727520621993,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
T,right,Target,0,18,18,18,557.5860342167143,559.5857480615559,right,1,1,0.7802976398616011,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
S,left,Distractor,0,19,19,19,561.08589755517,563.087658435963,left,1,1,0.9583621787569427,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
T,left,Lure,0,20,20,20,564.585898838377,566.5880337740082,left,1,1,0.9142124798290752,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
J,left,Distractor,0,21,21,21,568.0861067179094,570.0881983453046,left,1,1,0.7096862879716355,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
P,left,Distractor,0,22,22,22,571.5849515108157,573.5869340656172,left,1,1,0.6669359262668877,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
F,left,Distractor,0,23,23,23,575.0859065376189,577.0881576034826,left,1,1,0.6377291727485499,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
L,left,Distractor,0,24,24,24,578.5858542469341,580.5884402298225,left,1,1,0.7215100779867498,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
W,left,Pretarget,0,25,25,25,582.0859819260295,584.0885752873583,left,1,1,0.5974220371545016,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
W,right,Target,0,26,26,26,585.5858221667595,587.5859084624299,right,1,1,0.7162960871810355,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
V,left,Distractor,0,27,27,27,589.0861067179094,591.0877428068234,left,1,1,0.702084248954634,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
W,left,Lure,0,28,28,28,592.5858683622109,594.5880928015295,left,1,1,1.153770864143553,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
R,left,Pretarget,0,29,29,29,596.0859235401113,598.0890282594264,left,1,1,0.8210253465458663,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
R,right,Target,0,30,30,30,599.5859341265696,601.5857284926487,right,1,1,0.8121250228568897,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
G,left,Distractor,0,31,31,31,603.0859562618898,605.0870591782987,left,1,1,0.606897237576959,B31N11,2023-01-10_12h19.21.338,t1_Paradigm,2021.1.4,60.05683569694845,
