Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2513.66798110088,2515.6730908409663,left,1,1.1192396727274172,3,3.0,C05M05,2022-09-20_16h03.28.869,t1_Paradigm,2021.1.4,60.048158981468504,
P,left,Pretarget,0,1,1,1,2517.1715003028366,2519.17347708701,left,1,0.6427804710838245,3,3.0,C05M05,2022-09-20_16h03.28.869,t1_Paradigm,2021.1.4,60.048158981468504,
B,left,Distractor,0,2,2,2,2520.671490037159,2522.6706758407527,left,1,0.5216676333511714,3,3.0,C05M05,2022-09-20_16h03.28.869,t1_Paradigm,2021.1.4,60.048158981468504,
K,left,Pretarget,0,3,3,3,2524.1715073604864,2526.173131262054,left,1,0.5552209943416528,3,3.0,C05M05,2022-09-20_16h03.28.869,t1_Paradigm,2021.1.4,60.048158981468504,
H,left,Distractor,0,4,4,4,2527.671433575946,2529.6734533476265,left,1,0.5267809022479923,3,3.0,C05M05,2022-09-20_16h03.28.869,t1_Paradigm,2021.1.4,60.048158981468504,
P,right,Target,0,5,5,5,2531.171408232549,2533.1723157824454,left,0,0.45196626185497735,3,3.0,C05M05,2022-09-20_16h03.28.869,t1_Paradigm,2021.1.4,60.048158981468504,
L,left,Distractor,0,6,6,6,2534.6715294958412,2536.6728980387416,left,1,0.47141715086763725,3,3.0,C05M05,2022-09-20_16h03.28.869,t1_Paradigm,2021.1.4,60.048158981468504,
K,right,Target,0,7,7,7,2538.171499340431,2540.173002941112,right,1,0.7794560731708771,3,3.0,C05M05,2022-09-20_16h03.28.869,t1_Paradigm,2021.1.4,60.048158981468504,
Z,left,Pretarget,0,8,8,8,2541.6715256462194,2543.670622587568,left,1,0.4978451705101179,3,3.0,C05M05,2022-09-20_16h03.28.869,t1_Paradigm,2021.1.4,60.048158981468504,
S,left,Pretarget,0,9,9,9,2545.1715150597447,2547.1734578388714,left,1,0.5949841266992735,3,3.0,C05M05,2022-09-20_16h03.28.869,t1_Paradigm,2021.1.4,60.048158981468504,
N,left,Distractor,0,10,10,10,2548.6715795410128,2550.673656094732,left,1,0.6311148138920544,3,3.0,C05M05,2022-09-20_16h03.28.869,t1_Paradigm,2021.1.4,60.048158981468504,
M,left,Distractor,0,11,11,11,2552.1714990196197,2554.173808155043,left,1,0.522593468966079,3,3.0,C05M05,2022-09-20_16h03.28.869,t1_Paradigm,2021.1.4,60.048158981468504,
Z,right,Target,0,12,12,12,2555.671312312639,2557.6731594926678,right,1,0.6390062312566442,3,3.0,C05M05,2022-09-20_16h03.28.869,t1_Paradigm,2021.1.4,60.048158981468504,
S,right,Target,0,13,13,13,2559.1713581873773,2561.1734401947324,right,1,0.9149184007110307,3,3.0,C05M05,2022-09-20_16h03.28.869,t1_Paradigm,2021.1.4,60.048158981468504,
