vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
0,0,0,0,0,2635.643066351302,VS1rightbutton,0,1,4,1,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
1,0,1,1,1,2646.7578488958534,VS1rightbutton,0,1,1,2,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
2,0,2,2,2,2662.9426169081125,VS1leftbutton,1,0,1,3,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
3,0,3,3,3,2668.200269152643,VS1rightbutton,0,1,4,3,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
4,0,4,4,4,2683.3683477747254,VS1leftbutton,1,0,1,3,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
5,0,5,5,5,2688.5953631314915,VS1leftbutton,1,0,1,4,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
6,0,6,6,6,2692.6823533372954,VS1rightbutton,0,1,4,3,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
7,0,7,7,7,2696.2466641429346,VS1leftbutton,1,0,2,4,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
8,0,8,8,8,2700.0815032126848,VS1leftbutton,1,0,2,3,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
9,0,9,9,9,2709.2367998100817,VS1leftbutton,1,0,3,4,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
10,0,10,10,10,2715.2698706206866,VS1leftbutton,1,0,1,4,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
11,0,11,11,11,2717.585023049498,VS1leftbutton,1,0,1,3,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
12,0,12,12,12,2721.0502240799833,VS1leftbutton,1,0,2,3,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
13,0,13,13,13,2727.6147565594874,VS1rightbutton,0,1,3,2,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
14,0,14,14,14,2731.8358306679875,VS1rightbutton,0,1,4,2,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
15,0,15,15,15,2734.5951889362186,VS1rightbutton,0,1,2,1,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
16,0,16,16,16,2737.7977344980463,VS1rightbutton,0,1,4,2,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
17,0,17,17,17,2744.101699286839,VS1rightbutton,0,1,2,1,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
