Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
0,0,0,0,0,2784.6526275265496,EDleftbutton,1,0,1.00,2.00,1,3,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
1,0,1,1,1,2793.8248371127993,EDleftbutton,1,0,0.50,2.00,1,3,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
2,0,2,2,2,2799.5798507628497,EDleftbutton,1,0,0.25,2.00,1,3,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
3,0,3,3,3,2805.696694458835,EDrightbutton,0,1,0.12,2.00,1,3,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
4,0,4,4,4,2807.87226540572,EDrightbutton,0,1,0.18,2.00,1,3,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
5,0,5,5,5,2814.7836962135043,EDrightbutton,0,1,0.21,2.00,1,3,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
0,0,0,0,0,2819.4193340796046,EDrightbutton,0,1,1.00,2.00,1,4,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
1,0,1,1,1,2823.300562686287,EDrightbutton,0,1,1.50,2.00,1,4,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
2,0,2,2,2,2836.91057009669,EDrightbutton,0,1,1.75,2.00,1,4,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
3,0,3,3,3,2840.0193568565883,EDrightbutton,0,1,1.88,2.00,1,4,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
4,0,4,4,4,2844.342418973334,EDrightbutton,0,1,1.94,2.00,1,4,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
5,0,5,5,5,2849.297382257646,EDrightbutton,0,1,1.97,2.00,1,4,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
0,0,0,0,0,2851.164170615142,EDleftbutton,1,0,1.00,2.00,2,3,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
1,0,1,1,1,2862.248454216635,EDrightbutton,0,1,0.50,2.00,2,3,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
2,0,2,2,2,2867.5509580743965,EDrightbutton,0,1,0.75,2.00,2,3,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
3,0,3,3,3,2875.710941264406,EDleftbutton,1,0,0.88,2.00,2,3,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
4,0,4,4,4,2881.136794677237,EDleftbutton,1,0,0.82,2.00,2,3,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
5,0,5,5,5,2888.51694635232,EDrightbutton,0,1,0.79,2.00,2,3,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
0,0,0,0,0,2890.0350459867623,EDrightbutton,0,1,1.00,2.00,3,4,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
1,0,1,1,1,2899.1181692485698,EDleftbutton,1,0,1.50,2.00,3,4,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
