Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2994.868748456007,2996.8609844122548,None,0,1,3.0,,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
T,left,Pretarget,0,1,1,1,2998.361209294293,3000.361218597507,None,0,1,3.0,,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
B,left,Distractor,0,2,2,2,3001.8611178656574,3003.861628261395,left,1,1,3.0,0.8110978156328201,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
T,right,Target,0,3,3,3,3005.3611217152793,3007.361113374587,right,1,1,3.0,1.1355201320257038,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
Z,left,Distractor,0,4,4,4,3008.861128452234,3010.8613260660786,left,1,1,3.0,0.931566891958937,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
T,right,Target,0,5,5,5,3012.3609667681158,3014.3611149785575,right,1,1,3.0,0.9674097504466772,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
L,left,Distractor,0,6,6,6,3015.8609914698172,3017.8609872993547,left,1,1,3.0,1.0037213002797216,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
T,right,Target,0,7,7,7,3019.3610302868765,3021.361052422086,right,1,1,3.0,1.1195470918901265,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
Z,left,Lure,0,8,8,8,3022.861387339188,3024.8613260660786,left,1,1,3.0,0.7552000361029059,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
J,left,Distractor,0,9,9,9,3026.361258697696,3028.3616388477385,left,1,1,3.0,0.8390149460174143,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
D,left,Pretarget,0,10,10,10,3029.8610164923593,3031.860975750489,left,1,1,3.0,1.035599049180746,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
H,left,Distractor,0,11,11,11,3033.361147058662,3035.36095361528,left,1,1,3.0,0.7516134723555297,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
D,right,Target,0,12,12,12,3036.861108883284,3038.8615410032216,right,1,1,3.0,1.283096956089139,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
S,left,Distractor,0,13,13,13,3040.3609430287033,3042.3611242817715,left,1,1,3.0,0.727810945129022,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
R,left,Pretarget,0,14,14,14,3043.861329274019,3045.8609532944392,left,1,1,3.0,0.8437791729811579,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
Z,left,Distractor,0,15,15,15,3047.360908061266,3049.360931158997,left,1,1,3.0,0.6717238924466074,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
R,right,Target,0,16,16,16,3050.8611765725072,3052.861340822885,right,1,1,3.0,0.6594262782018632,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
T,left,Distractor,0,17,17,17,3054.361049214145,3056.361020662822,left,1,1,3.0,0.6797638258431107,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
M,left,Distractor,0,18,18,18,3057.861169514712,3059.860943991225,left,1,1,3.0,0.8917470541782677,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
R,left,Lure,0,19,19,19,3061.361077444628,3063.361918266164,left,1,1,3.0,0.9587849953677505,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
J,left,Distractor,0,20,20,20,3064.8611858757213,3066.8610444020014,left,1,1,3.0,0.7553591534961015,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
K,left,Distractor,0,21,21,21,3068.360874377191,3070.361716481857,left,1,1,3.0,0.6471376465633512,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
Z,left,Distractor,0,22,22,22,3071.8610267580952,3073.8610444020014,left,1,1,3.0,0.5395230962894857,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
W,left,Pretarget,0,23,23,23,3075.360982166603,3077.3610825776123,left,1,1,3.0,0.7195384304504842,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
Q,left,Distractor,0,24,24,24,3078.861130377045,3080.861568592256,left,1,1,3.0,0.8348798116203398,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
W,right,Target,0,25,25,25,3082.361179780448,3084.3777857620735,right,1,1,3.0,0.6630349769257009,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
D,left,Pretarget,0,26,26,26,3085.861194537254,3087.8610479310155,left,1,1,3.0,0.9075850364752114,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
W,right,Target,0,27,27,27,3089.360966447275,3091.3611845923588,right,1,1,3.0,0.6235548683907837,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
D,right,Target,0,28,28,28,3092.861122998642,3094.8615438903216,right,1,1,3.0,0.8828977381344885,C11R08,2023-01-06_12h13.24.154,t1_Paradigm,2021.1.4,60.03115960983038,
