vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
0,0,0,0,0,2832.4209810251923,VS1rightbutton,0,1,4,1,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
1,0,1,1,1,2837.4481253616977,VS1rightbutton,0,1,4,1,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
2,0,2,2,2,2841.264342092938,VS1rightbutton,0,1,4,1,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
3,0,3,3,3,2844.1155746782024,VS1rightbutton,0,1,4,2,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
4,0,4,4,4,2847.5719298932236,VS1rightbutton,0,1,3,2,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
5,0,5,5,5,2850.7817523357517,VS1leftbutton,1,0,3,4,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
6,0,6,6,6,2853.681863589867,VS1rightbutton,0,1,4,3,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
7,0,7,7,7,2855.963928065932,VS1leftbutton,1,0,2,3,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
8,0,8,8,8,2858.5794921576744,VS1leftbutton,1,0,2,4,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
9,0,9,9,9,2861.3494425103563,VS1rightbutton,0,1,4,3,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
10,0,10,10,10,2863.4324012539437,VS1leftbutton,1,0,1,2,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
11,0,11,11,11,2865.380649803599,VS1leftbutton,1,0,2,4,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
12,0,12,12,12,2867.7148179705546,VS1leftbutton,1,0,1,3,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
13,0,13,13,13,2872.1215172135853,VS1rightbutton,0,1,2,1,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
14,0,14,14,14,2876.5280127473816,VS1rightbutton,0,1,3,1,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
15,0,15,15,15,2879.8478080244095,VS1leftbutton,1,0,2,1,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
16,0,16,16,16,2882.6318759086716,VS1leftbutton,1,0,1,3,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
17,0,17,17,17,2885.7633976519865,VS1leftbutton,1,0,2,3,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
