Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,258.09257799015904,260.0407036726683,None,0,1,,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
Q,left,Pretarget,0,1,1,1,261.53981665526226,263.54193106094317,left,1,1,0.6579936789203202,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
Q,right,Target,0,2,2,2,265.0398705499829,267.03994433443586,right,1,1,0.6801270888972795,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
T,left,Distractor,0,3,3,3,268.53994080561097,270.54152043443173,left,1,1,1.06637424499786,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
Q,left,Lure,0,4,4,4,272.0397165650502,274.0401156426815,left,1,1,0.671809335850412,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
L,left,Distractor,0,5,5,5,275.5396787104255,277.5414723141439,left,1,1,0.6586920647678198,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
V,left,Pretarget,0,6,6,6,279.03982595851994,281.0422675821901,left,1,1,0.5335764156625373,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
V,right,Target,0,7,7,7,282.53987792842963,284.5398991013644,left,0,1,0.4278015955496812,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
K,left,Distractor,0,8,8,8,286.0397075825895,288.0416333567264,left,1,1,0.5902723865146982,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
G,left,Pretarget,0,9,9,9,289.53971175302286,291.53975153245847,left,1,1,0.6921789766929578,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
G,right,Target,0,10,10,10,293.0399035925948,295.0394798132038,right,1,1,0.4723949918989092,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
G,right,Target,0,11,11,11,296.53979548232746,298.53991321664944,right,1,1,0.4602202369569568,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
P,left,Pretarget,0,12,12,12,300.0398355825746,302.04147969259066,left,1,1,0.47854733176063746,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
P,right,Target,0,13,13,13,303.53956931695575,305.5396973169409,right,1,1,0.7881584299757378,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
G,left,Lure,0,14,14,14,307.0399292567454,309.03999245473824,left,1,1,0.6322573421930429,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
Y,left,Distractor,0,15,15,15,310.5395712417667,312.5416295071045,left,1,1,0.5063050415919861,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
B,left,Distractor,0,16,16,16,314.0396023595531,316.04138120639254,left,1,1,0.6225123412586981,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
T,left,Pretarget,0,17,17,17,317.5394910412724,319.5408124245296,left,1,1,0.4829914012225345,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
T,right,Target,0,18,18,18,321.03971688584716,323.03986926678044,right,1,1,0.6481517957872711,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
S,left,Distractor,0,19,19,19,324.5398618883337,326.5425704192312,left,1,1,0.7454776548693189,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
T,left,Lure,0,20,20,20,328.03987504121324,330.0416670409322,left,1,1,0.8468263704417041,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
J,left,Distractor,0,21,21,21,331.5397611565277,333.5414087953541,left,1,1,0.658512736481498,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
P,left,Distractor,0,22,22,22,335.039940164017,337.0399552417075,left,1,1,0.6800703069457086,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
F,left,Distractor,0,23,23,23,338.53969410891295,340.5413449557673,left,1,1,0.5225449988938635,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
L,left,Distractor,0,24,24,24,342.0394974573137,344.04027604365547,left,1,1,0.5916120554757072,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
W,left,Pretarget,0,25,25,25,345.5398057479906,347.5414171362063,left,1,1,0.5147151856072014,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
W,right,Target,0,26,26,26,349.03952600869525,351.03985643469787,right,1,1,0.4719891774147982,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
V,left,Distractor,0,27,27,27,352.539591773093,354.5414229106391,left,1,1,0.6984885095153004,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
W,left,Lure,0,28,28,28,356.03981376804586,358.04144087554596,left,1,1,0.830629721400328,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
R,left,Pretarget,0,29,29,29,359.539838469791,361.5414286850719,left,1,1,0.6264424859837163,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
R,right,Target,0,30,30,30,363.0398237128975,365.0400325549708,right,1,1,0.6479699010815239,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
G,left,Distractor,0,31,31,31,366.5398474522517,368.5411171863816,left,1,1,0.8429302307049511,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
R,left,Lure,0,32,32,32,370.0396729359927,372.04080344206886,left,1,1,1.3111515891941963,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
S,left,Distractor,0,33,33,33,373.5395526352513,375.53990744221664,left,1,1,0.6760795306472573,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
R,left,Lure,0,34,34,34,377.03985418908997,379.04180306095805,left,1,1,0.9341438501578523,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
P,left,Pretarget,0,35,35,35,380.53970565777854,382.5414777677797,left,1,1,0.8586748697853182,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
P,right,Target,0,36,36,36,384.03985130187357,386.0397775174206,right,1,1,0.448208449408412,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
Y,left,Pretarget,0,37,37,37,387.53980606880214,389.54069276539667,left,1,1,0.6271665359963663,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
Y,right,Target,0,38,38,38,391.03973741717346,393.0398070312076,right,1,1,0.7603003091207938,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
J,left,Distractor,0,39,39,39,394.5393784397893,396.54006078554085,left,1,1,0.4918378358852351,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
Y,left,Lure,0,40,40,40,398.039488154056,400.03977495100116,left,1,1,0.832161550730234,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
T,left,Distractor,0,41,41,41,401.5397197730781,403.5399639033567,left,1,1,0.7399649940925883,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
V,left,Distractor,0,42,42,42,405.0398063895991,407.0417876624706,left,1,1,0.6621987509279279,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
N,left,Pretarget,0,43,43,43,408.53960460517555,410.541454670034,left,1,1,0.5544054448982934,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
N,right,Target,0,44,44,44,412.0394162944285,414.03951478062663,left,0,1,0.5443681933975313,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
N,right,Target,0,45,45,45,415.5395792618219,417.5396694071678,left,0,1,0.7241956532670883,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
X,left,Distractor,0,46,46,46,419.03941982323886,421.04144504597934,left,1,1,0.5344698491098825,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
Z,left,Distractor,0,47,47,47,422.53983365776367,424.5413998129079,left,1,1,0.5704718483466422,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
H,left,Pretarget,0,48,48,48,426.0398461690347,428.05233049787057,left,1,1,0.7236945606127847,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
H,right,Target,0,49,49,49,429.5395051565574,431.53947500117647,right,1,1,0.40434776470647193,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
K,left,Distractor,0,50,50,50,433.03980253997725,435.0400431414455,left,1,1,0.6639371767087141,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
V,left,Pretarget,0,51,51,51,436.5395099685993,438.5410238330078,left,1,1,0.5549318809062243,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
V,right,Target,0,52,52,52,440.03957573299704,442.03975024925603,right,1,1,0.8321949141391087,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
R,left,Distractor,0,53,53,53,443.5395561640762,445.54108350217575,left,1,1,0.4827299476455664,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
V,left,Lure,0,54,54,54,447.03977270539326,449.04069789822097,left,1,1,0.5351977487443946,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
Y,left,Distractor,0,55,55,55,450.5395584096841,452.5411460585601,left,1,1,0.6027320135908667,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
Q,left,Distractor,0,56,56,56,454.03951381822117,456.04222266991565,left,1,1,0.685550566733582,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
Z,left,Pretarget,0,57,57,57,457.5398375073855,459.5418649757339,left,1,1,0.5145194964134134,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
Z,right,Target,0,58,58,58,461.03988626928185,463.03989332693163,right,1,1,0.6322063346888172,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
B,left,Distractor,0,59,59,59,464.53964181819174,466.53997481062834,left,1,1,0.5399776978447335,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
S,left,Pretarget,0,60,60,60,468.03943458013237,470.0411832715763,left,1,1,0.5746923188562505,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
S,right,Target,0,61,61,61,471.53968063523644,473.53993021915085,right,1,1,0.6601440144149819,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
T,left,Distractor,0,62,62,62,475.03978136704245,477.04171580282855,left,1,1,0.5340489569498459,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
D,left,Distractor,0,63,63,63,478.5393527756387,480.54166254970187,left,1,1,0.6341500737180468,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
R,left,Distractor,0,0,0,0,548.2356328845053,550.2417454449314,left,1,1,0.7101230339612812,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
V,left,Distractor,0,1,1,1,551.7398087635374,553.7420203721995,left,1,1,0.4577481370943133,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
N,left,Pretarget,0,2,2,2,555.2394331044488,557.2416889837768,left,1,1,0.6221694039704744,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
N,right,Target,0,3,3,3,558.7394979064411,560.7394863575755,right,1,1,0.6126778365724022,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
S,left,Distractor,0,4,4,4,562.2398437309457,564.2403194802464,left,1,1,0.5516016358305933,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
N,left,Lure,0,5,5,5,565.7394350292598,567.7399155905878,right,0,1,0.9559538917819737,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
Z,left,Distractor,0,6,6,6,569.239704182095,571.2419206027989,left,1,1,0.6059409955487354,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
L,left,Pretarget,0,7,7,7,572.7398472597706,574.7411638309859,left,1,1,0.5627934535878012,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
L,right,Target,0,8,8,8,576.2397259966237,578.2395627084334,right,1,1,0.7281344596558483,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
H,left,Distractor,0,9,9,9,579.7397965730634,581.7405414751993,left,1,1,0.5713373720209347,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
L,left,Lure,0,10,10,10,583.2396486833604,585.2398029891046,left,1,1,0.9921307280892506,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
X,left,Pretarget,0,11,11,11,586.7397266382322,588.7411426580511,left,1,1,0.5468540877191117,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
X,right,Target,0,12,12,12,590.2399178361957,592.2395399314992,right,1,1,1.160519673503586,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
X,right,Target,0,13,13,13,593.7398745279352,595.7396682522813,right,1,1,0.7482952584105078,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
R,left,Distractor,0,14,14,14,597.2397965730634,599.2405924827035,left,1,1,0.4793188604671741,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
T,left,Distractor,0,15,15,15,600.7398270492413,602.7414005828323,left,1,1,0.5148454312002286,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
V,left,Pretarget,0,16,16,16,604.2397397911118,606.2399698061199,left,1,1,0.5837508036202053,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
V,right,Target,0,17,17,17,607.7399130241683,609.7563961493433,left,0,1,0.8755067066813353,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
N,left,Distractor,0,18,18,18,611.2398411645263,613.2407265779184,left,1,1,0.70312570175156,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
B,left,Distractor,0,19,19,19,614.7393901169853,616.7393750392948,left,1,1,0.46862011530902237,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
V,left,Lure,0,20,20,20,618.2398315404716,620.2419376053003,left,1,1,0.6302106257353444,C13H11,2022-11-15_12h12.27.442,t1_Paradigm,2021.1.4,59.97071866349109,
