Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
0,0,0,0,0,2599.4816082695033,EDrightbutton,0,1,1.00,2.00,1,4,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
1,0,1,1,1,2612.9649985932847,EDrightbutton,0,1,1.50,2.00,1,4,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
2,0,2,2,2,2616.0731649572735,EDleftbutton,1,0,1.75,2.00,1,4,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
3,0,3,3,3,2620.020354556622,EDrightbutton,0,1,1.62,2.00,1,4,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
4,0,4,4,4,2624.180486329191,EDrightbutton,0,1,1.68,2.00,1,4,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
5,0,5,5,5,2630.018521494847,EDleftbutton,1,0,1.71,2.00,1,4,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
0,0,0,0,0,2632.5084417403014,EDrightbutton,0,1,1.00,2.00,2,3,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
1,0,1,1,1,2641.673693831206,EDrightbutton,0,1,1.50,2.00,2,3,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
2,0,2,2,2,2643.0515287972594,EDrightbutton,0,1,1.75,2.00,2,3,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
3,0,3,3,3,2644.9559805324607,EDrightbutton,0,1,1.88,2.00,2,3,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
4,0,4,4,4,2648.7502743657824,EDleftbutton,1,0,1.94,2.00,2,3,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
5,0,5,5,5,2653.6582837935093,EDrightbutton,0,1,1.91,2.00,2,3,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
0,0,0,0,0,2658.0343864295683,EDrightbutton,0,1,1.00,2.00,1,3,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
1,0,1,1,1,2663.424416357175,EDrightbutton,0,1,1.50,2.00,1,3,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
2,0,2,2,2,2665.104898034737,EDrightbutton,0,1,1.75,2.00,1,3,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
3,0,3,3,3,2667.5078572393286,EDrightbutton,0,1,1.88,2.00,1,3,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
4,0,4,4,4,2670.153529349682,EDleftbutton,1,0,1.94,2.00,1,3,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
5,0,5,5,5,2671.8555926509434,EDleftbutton,1,0,1.91,2.00,1,3,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
0,0,0,0,0,2674.658154510362,EDrightbutton,0,1,1.00,2.00,2,4,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
1,0,1,1,1,2679.7913835189356,EDrightbutton,0,1,1.50,2.00,2,4,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
2,0,2,2,2,2682.305774529552,EDleftbutton,1,0,1.75,2.00,2,4,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
3,0,3,3,3,2683.8570657730415,EDleftbutton,1,0,1.62,2.00,2,4,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
4,0,4,4,4,2686.7913963510073,EDrightbutton,0,1,1.56,2.00,2,4,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
5,0,5,5,5,2688.674000196974,EDrightbutton,0,1,1.59,2.00,2,4,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
0,0,0,0,0,2691.0875766596146,EDrightbutton,0,1,1.00,2.00,1,2,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
1,0,1,1,1,2694.7586360660207,EDrightbutton,0,1,1.50,2.00,1,2,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
2,0,2,2,2,2697.0520375889937,EDrightbutton,0,1,1.75,2.00,1,2,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
3,0,3,3,3,2698.4762624274626,EDleftbutton,1,0,1.88,2.00,1,2,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
4,0,4,4,4,2700.1735743325153,EDleftbutton,1,0,1.82,2.00,1,2,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
5,0,5,5,5,2704.0701962569474,EDleftbutton,1,0,1.79,2.00,1,2,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
0,0,0,0,0,2706.9559551891143,EDrightbutton,0,1,1.00,2.00,3,4,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
