Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,222.83016685866824,224.77093785458783,None,0,1,,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
Q,left,Pretarget,0,1,1,1,226.27149011497386,228.27199698189725,left,1,1,0.47116937728060293,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
Q,right,Target,0,2,2,2,229.76984905310746,231.7698673388113,right,1,1,0.49326460474185296,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
T,left,Distractor,0,3,3,3,233.26989123854946,235.27018894266803,left,1,1,0.4810401294234907,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
Q,left,Lure,0,4,4,4,236.7697342060419,238.76996774979125,left,1,1,0.7411446659170906,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
L,left,Distractor,0,5,5,5,240.2699117698685,242.2701363311644,left,1,1,0.5369129045429872,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
V,left,Pretarget,0,6,6,6,243.76991995031494,245.76967902812612,left,1,1,0.4774532439332688,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
V,right,Target,0,7,7,7,247.26988321850513,249.26980109322903,right,1,1,0.4654356858045503,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
K,left,Distractor,0,8,8,8,250.76981825612893,252.77142611500312,left,1,1,0.48355008310318226,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
G,left,Pretarget,0,9,9,9,254.26973789526528,256.2701841306407,left,1,1,0.48891613565865555,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
G,right,Target,0,10,10,10,257.76988241649815,259.7698596395676,right,1,1,0.6850797304869047,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
G,right,Target,0,11,11,11,261.2699002210029,263.26984311827255,right,1,1,0.5133891464392946,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
P,left,Pretarget,0,12,12,12,264.76975088773906,266.76992700795745,left,1,1,0.4211236469782307,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
P,right,Target,0,13,13,13,268.26979820601264,270.2697154391353,right,1,1,0.5533010670842486,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
G,left,Lure,0,14,14,14,271.7698381458431,273.7700463462461,left,1,1,0.4291289363609394,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
Y,left,Distractor,0,15,15,15,275.2698251533693,277.2719851122274,left,1,1,0.49518620783055667,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
B,left,Distractor,0,16,16,16,278.7700418550194,280.7710719497627,left,1,1,0.5322218190813146,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
T,left,Pretarget,0,17,17,17,282.26985177992174,284.2701045717804,left,1,1,0.44105699077044846,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
T,right,Target,0,18,18,18,285.7697945167929,287.76978810075525,right,1,1,0.4134157409098407,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
S,left,Distractor,0,19,19,19,289.2697914691744,291.27190619497196,left,1,1,0.46338864919380285,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
T,left,Lure,0,20,20,20,292.7697605117937,294.770436441293,left,1,1,0.5807966729007603,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
J,left,Distractor,0,21,21,21,296.2698877097282,298.27193795435596,left,1,1,0.6149235737721028,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
P,left,Distractor,0,22,22,22,299.7698121608919,301.7702019351418,left,1,1,0.5888038870907621,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
F,left,Distractor,0,23,23,23,303.2699034290199,305.27073558901975,left,1,1,0.5604190185476909,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
L,left,Distractor,0,24,24,24,306.76987503805503,308.7697181659496,left,1,1,0.4212718574308383,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
W,left,Pretarget,0,25,25,25,310.2699146570849,312.2717467564544,left,1,1,0.4073577187664341,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
W,right,Target,0,26,26,26,313.7698022160366,315.76988979494126,right,1,1,0.5571898271191458,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
V,left,Distractor,0,27,27,27,317.26994481245856,319.26966090282076,left,1,1,0.513473196522682,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
W,left,Lure,0,28,28,28,320.76976083259797,322.76971624113867,left,1,1,1.1253725712522282,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
R,left,Pretarget,0,29,29,29,324.26998266707596,326.2719610520908,left,1,1,0.45510650781943696,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
R,right,Target,0,30,30,30,327.7697614742028,329.7699003814014,right,1,1,0.509198191062751,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
G,left,Distractor,0,31,31,31,331.26978409073126,333.26962882263615,left,1,1,0.49751907888639835,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
R,left,Lure,0,32,32,32,334.7697492837324,336.77001298285177,left,1,1,0.4689616189461958,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
S,left,Distractor,0,33,33,33,338.25347324143877,340.2532188455698,left,1,1,0.44185097534864326,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
R,left,Lure,0,34,34,34,341.7532915071897,343.7531468255547,left,1,1,0.5579992101847893,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
P,left,Pretarget,0,35,35,35,345.25316463005584,347.2535996373663,left,1,1,0.49758291845500935,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
P,right,Target,0,36,36,36,348.75324306610855,350.75314875036565,right,1,1,0.5499551037792116,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
Y,left,Pretarget,0,37,37,37,352.2532971212204,354.25289259008787,left,1,1,0.4741563633142505,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
Y,right,Target,0,38,38,38,355.75295755246407,357.75312404862416,right,1,1,0.6059266858683259,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
J,left,Distractor,0,39,39,39,359.25319510623376,361.2535287401588,left,1,1,0.4496153425425291,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
Y,left,Lure,0,40,40,40,362.753431697598,364.753321983364,left,1,1,0.5335778485023184,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
T,left,Distractor,0,41,41,41,366.2530667854917,368.25297375295486,left,1,1,0.6179015773523133,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
