Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2766.2408012475353,2768.2348061025514,left,1,0.6029926321461971,1,3.0,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
T,left,Pretarget,0,1,1,1,2769.7348418719557,2771.7351931499834,left,1,1.2308137235195318,1,3.0,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
B,left,Distractor,0,2,2,2,2773.2350017916797,2775.2353992651733,left,1,0.7222584193623334,1,3.0,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
T,right,Target,0,3,3,3,2776.734910202751,2778.7349660222717,right,1,0.5831382056094299,1,3.0,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
Z,left,Distractor,0,4,4,4,2780.234821180238,2782.2349732403163,left,1,0.5547761139896465,1,3.0,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
T,right,Target,0,5,5,5,2783.735094022213,2785.7347677667276,right,1,0.5910976203231257,1,3.0,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
L,left,Distractor,0,6,6,6,2787.2348247090595,2789.2348574308453,left,1,0.7227476421867323,1,3.0,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
T,right,Target,0,7,7,7,2790.734838022334,2792.735361250154,right,1,0.45446105449445895,1,3.0,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
Z,left,Lure,0,8,8,8,2794.2348760373534,2796.2347778719886,left,1,0.5391110388227389,1,3.0,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
J,left,Distractor,0,9,9,9,2797.7349486989733,2799.734809791771,left,1,0.623090868084546,1,3.0,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
D,left,Pretarget,0,10,10,10,2801.234817651417,2803.2347573406696,left,1,0.8030260596970038,1,3.0,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
H,left,Distractor,0,11,11,11,2804.7349342628913,2806.735192829183,left,1,0.7906838500966842,1,3.0,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
D,right,Target,0,12,12,12,2808.2346328695494,2810.2349725987115,right,1,0.5868296725020627,1,3.0,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
S,left,Distractor,0,13,13,13,2811.7349188644002,2813.735369911803,left,1,0.7503372429455339,1,3.0,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
R,left,Pretarget,0,14,14,14,2815.2349414809323,2817.234856789244,left,1,0.5311326968003414,1,3.0,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
Z,left,Distractor,0,15,15,15,2818.734814282998,2820.734776107576,left,1,0.5188860861489957,1,3.0,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
R,right,Target,0,16,16,16,2822.234663666528,2824.2353591649407,right,1,0.6187363037643081,1,3.0,C15T02,2022-10-06_14h45.31.035,t1_Paradigm,2021.1.4,60.017732749276476,
