vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,C15T09,2022-12-02_13h11.45.580,t1_Paradigm,2021.1.4,59.96491195917922,
0,0,0,0,0,2689.4849983286113,VS1leftbutton,1,0,1,2,C15T09,2022-12-02_13h11.45.580,t1_Paradigm,2021.1.4,59.96491195917922,
1,0,1,1,1,2696.910737119906,VS1rightbutton,0,1,2,1,C15T09,2022-12-02_13h11.45.580,t1_Paradigm,2021.1.4,59.96491195917922,
2,0,2,2,2,2702.5396954175667,VS1rightbutton,0,1,4,2,C15T09,2022-12-02_13h11.45.580,t1_Paradigm,2021.1.4,59.96491195917922,
3,0,3,3,3,2707.5533176396857,VS1leftbutton,1,0,2,3,C15T09,2022-12-02_13h11.45.580,t1_Paradigm,2021.1.4,59.96491195917922,
4,0,4,4,4,2713.7913688820554,VS1leftbutton,1,0,1,3,C15T09,2022-12-02_13h11.45.580,t1_Paradigm,2021.1.4,59.96491195917922,
5,0,5,5,5,2715.9430402933504,VS1rightbutton,0,1,4,1,C15T09,2022-12-02_13h11.45.580,t1_Paradigm,2021.1.4,59.96491195917922,
6,0,6,6,6,2719.24899380398,VS1leftbutton,1,0,2,4,C15T09,2022-12-02_13h11.45.580,t1_Paradigm,2021.1.4,59.96491195917922,
7,0,7,7,7,2721.662035887479,VS1rightbutton,0,1,4,1,C15T09,2022-12-02_13h11.45.580,t1_Paradigm,2021.1.4,59.96491195917922,
8,0,8,8,8,2724.0415464460384,VS1leftbutton,1,0,2,4,C15T09,2022-12-02_13h11.45.580,t1_Paradigm,2021.1.4,59.96491195917922,
9,0,9,9,9,2725.9613468686002,VS1leftbutton,1,0,1,2,C15T09,2022-12-02_13h11.45.580,t1_Paradigm,2021.1.4,59.96491195917922,
10,0,10,10,10,2728.340647301753,VS1rightbutton,0,1,4,3,C15T09,2022-12-02_13h11.45.580,t1_Paradigm,2021.1.4,59.96491195917922,
11,0,11,11,11,2732.265898153011,VS1rightbutton,0,1,4,3,C15T09,2022-12-02_13h11.45.580,t1_Paradigm,2021.1.4,59.96491195917922,
12,0,12,12,12,2735.235055912577,VS1leftbutton,1,0,3,4,C15T09,2022-12-02_13h11.45.580,t1_Paradigm,2021.1.4,59.96491195917922,
13,0,13,13,13,2737.711762146966,VS1leftbutton,1,0,1,3,C15T09,2022-12-02_13h11.45.580,t1_Paradigm,2021.1.4,59.96491195917922,
14,0,14,14,14,2739.492099284369,VS1leftbutton,1,0,1,4,C15T09,2022-12-02_13h11.45.580,t1_Paradigm,2021.1.4,59.96491195917922,
15,0,15,15,15,2741.2822844064794,VS1leftbutton,1,0,2,3,C15T09,2022-12-02_13h11.45.580,t1_Paradigm,2021.1.4,59.96491195917922,
16,0,16,16,16,2743.1105920532136,VS1leftbutton,1,0,2,3,C15T09,2022-12-02_13h11.45.580,t1_Paradigm,2021.1.4,59.96491195917922,
17,0,17,17,17,2744.7285388167365,VS1rightbutton,0,1,3,1,C15T09,2022-12-02_13h11.45.580,t1_Paradigm,2021.1.4,59.96491195917922,
