vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
0,0,0,0,0,2925.8315863527823,VS1rightbutton,0,1,2,1,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
1,0,1,1,1,2930.5118860332295,VS1rightbutton,0,1,3,1,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
2,0,2,2,2,2935.0658612826373,VS1rightbutton,0,1,3,1,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
3,0,3,3,3,2939.083062683465,VS1rightbutton,0,1,3,1,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
4,0,4,4,4,2943.930352291907,VS1leftbutton,1,0,4,1,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
5,0,5,5,5,2945.568807527772,VS1rightbutton,0,1,3,4,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
6,0,6,6,6,2947.48560465395,VS1rightbutton,0,1,3,4,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
7,0,7,7,7,2949.067675738479,VS1rightbutton,0,1,3,4,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
8,0,8,8,8,2950.5826058614766,VS1rightbutton,0,1,1,4,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
9,0,9,9,9,2952.147873339709,VS1leftbutton,1,0,3,2,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
10,0,10,10,10,2955.835759986192,VS1rightbutton,0,1,2,3,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
11,0,11,11,11,2958.9338143866044,VS1leftbutton,1,0,4,2,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
12,0,12,12,12,2961.5367225203663,VS1rightbutton,0,1,2,1,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
13,0,13,13,13,2965.4659173588734,VS1leftbutton,1,0,4,2,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
14,0,14,14,14,2969.0954735486303,VS1leftbutton,1,0,1,2,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
15,0,15,15,15,2980.501239257981,VS1rightbutton,0,1,2,3,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
16,0,16,16,16,3006.7002612610813,VS1rightbutton,0,1,2,4,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
17,0,17,17,17,3010.018853210029,VS1rightbutton,0,1,1,4,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
