Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
0,0,0,0,0,3048.4676756743575,EDleftbutton,1,0,2.00,1.00,2,3,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
1,0,1,1,1,3080.0415156224044,EDleftbutton,1,0,2.00,1.50,2,3,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
2,0,2,2,2,3117.6106417066185,EDrightbutton,0,1,2.00,1.75,2,3,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
3,0,3,3,3,3120.8904236766975,EDleftbutton,1,0,2.00,1.62,2,3,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
4,0,4,4,4,3125.9753271217924,EDleftbutton,1,0,2.00,1.68,2,3,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
5,0,5,5,5,3134.665909146308,EDleftbutton,1,0,2.00,1.71,2,3,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
0,0,0,0,0,3136.919577195891,EDrightbutton,0,1,2.00,1.00,3,4,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
1,0,1,1,1,3148.399125750526,EDleftbutton,1,0,2.00,0.50,3,4,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
2,0,2,2,2,3152.5510992599884,EDleftbutton,1,0,2.00,0.75,3,4,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
3,0,3,3,3,3154.198379436857,EDleftbutton,1,0,2.00,0.88,3,4,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
4,0,4,4,4,3156.547047210508,EDleftbutton,1,0,2.00,0.94,3,4,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
