Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,277.8312661924865,279.7795333486283,None,0,1,,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
Q,left,Pretarget,0,1,1,1,281.2778924466693,283.279704336077,left,1,1,0.635219948249869,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
Q,right,Target,0,2,2,2,284.7781888676691,286.77782443666365,right,1,1,0.7850306109176017,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
T,left,Distractor,0,3,3,3,288.27768969984027,290.27976272202795,left,1,1,0.5952691977727227,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
Q,left,Lure,0,4,4,4,291.7778764065588,293.7776787925395,left,1,1,1.0973473527701572,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
L,left,Distractor,0,5,5,5,295.27784945920575,297.27886030613445,left,1,1,0.7962256366736256,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
V,left,Pretarget,0,6,6,6,298.77781160455197,300.77965589496307,left,1,1,0.7672809596406296,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
V,right,Target,0,7,7,7,302.2777487273561,304.277870632126,right,1,1,0.5652905760216527,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
K,left,Distractor,0,8,8,8,305.77786389528774,307.7797694588662,left,1,1,0.6151348587591201,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
G,left,Pretarget,0,9,9,9,309.2778343815007,311.27957922330825,right,0,1,0.5393787606153637,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
G,right,Target,0,10,10,10,312.7778167374199,314.77782443666365,right,1,1,0.6251567117287777,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
G,right,Target,0,11,11,11,316.27759827126283,318.2780002360814,right,1,1,0.5169393055257387,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
P,left,Pretarget,0,12,12,12,319.7777901108493,321.77869477233617,left,1,1,0.48825319489696994,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
P,right,Target,0,13,13,13,323.27816609072033,325.27766307326965,right,1,1,0.9573025432182476,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
G,left,Lure,0,14,14,14,326.77775674744043,328.7781490882044,left,1,1,0.8007790996343829,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
Y,left,Distractor,0,15,15,15,330.27814459695946,332.2795551631716,left,1,1,0.435361935175024,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
B,left,Distractor,0,16,16,16,333.7946864289115,335.7795888473629,left,1,1,0.5353536584880203,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
T,left,Pretarget,0,17,17,17,337.2781330480939,339.2782302511041,left,1,1,0.4927543670637533,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
T,right,Target,0,18,18,18,340.77821613580454,342.7778045469313,right,1,1,0.6252372330054641,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
S,left,Distractor,0,19,19,19,344.2782430832158,346.2794569977559,left,1,1,0.4673898398177698,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
T,left,Lure,0,20,20,20,347.7778459303663,349.77919041138375,left,1,1,0.5359230819740333,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
