Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
T,left,Distractor,0,0,0,0,3338.025141569902,3340.0266775696073,left,1,0.6078773561166599,0,3.0,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
F,left,Distractor,0,1,1,1,3341.5269393440103,3343.52670291299,left,1,0.691700660972856,0,3.0,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
G,left,Distractor,0,2,2,2,3345.0268979605753,3347.028182772454,left,1,0.5502440019045025,0,3.0,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
V,left,Distractor,0,3,3,3,3348.5268257801654,3350.527217158582,left,1,0.6351580334594473,0,3.0,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
H,left,Distractor,0,4,4,4,3352.0268437450286,3354.0286582008703,left,1,0.8139197892742231,0,3.0,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
C,left,Pretarget,0,5,5,5,3355.527051303885,3357.526959554525,left,1,0.5476464685052633,0,3.0,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
C,right,Target,0,6,6,6,3359.0269040558487,3361.0268854493042,right,1,1.0157510550925508,0,3.0,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
C,right,Target,0,7,7,7,3362.5271825119853,3364.5268305921927,right,1,0.9076013381127268,0,3.0,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
W,left,Distractor,0,8,8,8,3366.026754562161,3368.026935815229,left,1,0.7674609295791015,0,3.0,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
R,left,Pretarget,0,9,9,9,3369.5270378302084,3371.527059965534,left,1,0.6119268392212689,0,3.0,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
R,right,Target,0,10,10,10,3373.026806532056,3375.0272331986343,right,1,1.1111716714221984,0,3.0,C18D18,2022-10-20_12h22.58.609,t1_Paradigm,2021.1.4,60.28887402339225,
