vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
0,0,0,0,0,2635.004379275895,VS1leftbutton,1,0,3,2,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
1,0,1,1,1,2657.178284745605,VS1leftbutton,1,0,2,4,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
2,0,2,2,2,2666.279649054806,VS1rightbutton,0,1,4,3,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
3,0,3,3,3,2674.513597216981,VS1leftbutton,1,0,4,1,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
4,0,4,4,4,2681.908786525775,VS1leftbutton,1,0,2,1,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
5,0,5,5,5,2691.553409457614,VS1leftbutton,1,0,3,1,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
6,0,6,6,6,2696.512520924327,VS1leftbutton,1,0,4,3,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
7,0,7,7,7,2707.9143338438007,VS1rightbutton,0,1,1,4,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
8,0,8,8,8,2709.988473884412,VS1leftbutton,1,0,3,2,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
9,0,9,9,9,2715.347435279691,VS1rightbutton,0,1,3,4,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
10,0,10,10,10,2719.3800397281884,VS1leftbutton,1,0,3,1,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
11,0,11,11,11,2721.896312438592,VS1rightbutton,0,1,1,2,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
12,0,12,12,12,2726.927918870293,VS1rightbutton,0,1,2,3,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
13,0,13,13,13,2733.2304741910775,VS1rightbutton,0,1,2,4,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
14,0,14,14,14,2738.0278668361134,VS1leftbutton,1,0,1,2,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
15,0,15,15,15,2760.0431809884612,VS1rightbutton,0,1,3,1,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
16,0,16,16,16,2767.6520562482183,VS1rightbutton,0,1,4,1,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
17,0,17,17,17,2771.6637215921073,VS1rightbutton,0,1,4,2,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
