Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
T,left,Distractor,0,0,0,0,2952.8036579192267,2954.804291183478,None,0,0,3.0,,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
F,left,Distractor,0,1,1,1,2956.3022431798745,2958.3041144212475,left,1,0,3.0,0.6930050924420357,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
G,left,Distractor,0,2,2,2,2959.8022438214975,2961.8037872026325,left,1,0,3.0,0.45746510790195316,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
V,left,Distractor,0,3,3,3,2963.302369576064,2965.304503233987,left,1,0,3.0,0.4607510886271484,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
H,left,Distractor,0,4,4,4,2966.802357706416,2968.8028895970783,left,1,0,3.0,0.5941610082518309,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
C,left,Pretarget,0,5,5,5,2970.3020962523296,2972.3045975499554,left,1,0,3.0,0.4363877373980358,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
C,right,Target,0,6,6,6,2973.802291300264,2975.8021870394587,right,1,0,3.0,0.44297092693159357,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
C,right,Target,0,7,7,7,2977.3015287525486,2979.302114858874,right,1,0,3.0,0.5590911919716746,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
W,left,Distractor,0,8,8,8,2980.8023076612153,2982.8046238557436,left,1,0,3.0,0.41654289030702785,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
R,left,Pretarget,0,9,9,9,2984.3020988187054,2986.304087794677,left,1,0,3.0,0.6292452606139705,D02R08,2022-11-03_11h58.31.966,t1_Paradigm,2021.1.4,60.07936875168714,
