Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
0,0,0,0,0,2894.9960204594254,EDrightbutton,0,1,1.00,2.00,1,2,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
1,0,1,1,1,2911.748198860899,EDrightbutton,0,1,1.50,2.00,1,2,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
2,0,2,2,2,2916.873460554588,EDrightbutton,0,1,1.75,2.00,1,2,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
3,0,3,3,3,2922.697474716043,EDrightbutton,0,1,1.88,2.00,1,2,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
4,0,4,4,4,2925.653509534536,EDrightbutton,0,1,1.94,2.00,1,2,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
5,0,5,5,5,2930.6978301639238,EDrightbutton,0,1,1.97,2.00,1,2,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
0,0,0,0,0,2933.709686981304,EDrightbutton,0,1,1.00,2.00,1,4,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
1,0,1,1,1,2938.0672152583384,EDrightbutton,0,1,1.50,2.00,1,4,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
2,0,2,2,2,2946.2624421194187,EDrightbutton,0,1,1.75,2.00,1,4,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
3,0,3,3,3,2948.6765039327047,EDrightbutton,0,1,1.88,2.00,1,4,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
4,0,4,4,4,2953.4120353112457,EDrightbutton,0,1,1.94,2.00,1,4,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
5,0,5,5,5,2956.575843210271,EDrightbutton,0,1,1.97,2.00,1,4,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
0,0,0,0,0,2959.1766255164102,EDrightbutton,0,1,1.00,2.00,2,3,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
1,0,1,1,1,2964.6976883697325,EDrightbutton,0,1,1.50,2.00,2,3,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
2,0,2,2,2,2967.7094107713538,EDrightbutton,0,1,1.75,2.00,2,3,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
3,0,3,3,3,2970.7914714323206,EDrightbutton,0,1,1.88,2.00,2,3,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
4,0,4,4,4,2974.0470682928308,EDrightbutton,0,1,1.94,2.00,2,3,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
5,0,5,5,5,2977.031153017747,EDrightbutton,0,1,1.97,2.00,2,3,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
0,0,0,0,0,2979.969711541854,EDrightbutton,0,1,1.00,2.00,3,4,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
1,0,1,1,1,2985.2613055202846,EDrightbutton,0,1,1.50,2.00,3,4,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
2,0,2,2,2,2987.5145544358156,EDrightbutton,0,1,1.75,2.00,3,4,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
3,0,3,3,3,2989.0098736235223,EDrightbutton,0,1,1.88,2.00,3,4,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
4,0,4,4,4,2990.6767326640556,EDrightbutton,0,1,1.94,2.00,3,4,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
5,0,5,5,5,2992.5281297859556,EDrightbutton,0,1,1.97,2.00,3,4,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
0,0,0,0,0,2994.197666555242,EDrightbutton,0,1,1.00,2.00,2,4,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
1,0,1,1,1,2997.2289228710188,EDrightbutton,0,1,1.50,2.00,2,4,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
2,0,2,2,2,2999.6929527004095,EDrightbutton,0,1,1.75,2.00,2,4,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
3,0,3,3,3,3002.819633940012,EDrightbutton,0,1,1.88,2.00,2,4,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
4,0,4,4,4,3005.5280835905623,EDrightbutton,0,1,1.94,2.00,2,4,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
5,0,5,5,5,3007.920178853162,EDrightbutton,0,1,1.97,2.00,2,4,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
0,0,0,0,0,3010.44276551283,EDrightbutton,0,1,1.00,2.00,1,3,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
1,0,1,1,1,3013.662307190377,EDrightbutton,0,1,1.50,2.00,1,3,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
2,0,2,2,2,3016.292657114059,EDrightbutton,0,1,1.75,2.00,1,3,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
3,0,3,3,3,3017.62626548107,EDrightbutton,0,1,1.88,2.00,1,3,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
4,0,4,4,4,3019.2941603891186,EDrightbutton,0,1,1.94,2.00,1,3,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
5,0,5,5,5,3020.5291855431524,EDrightbutton,0,1,1.97,2.00,1,3,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
