Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,3077.8344440544925,3079.837899405683,left,1,0.8814687183403294,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
T,left,Pretarget,0,1,1,1,3081.3348469809707,3083.338005911727,left,1,0.7575919240189251,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
B,left,Distractor,0,2,2,2,3084.835745866315,3086.8377377218103,left,1,1.2418793953784188,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
T,right,Target,0,3,3,3,3088.33556236795,3090.3373290209083,right,1,1.0701294176760712,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
Z,left,Distractor,0,4,4,4,3091.8355132853458,3093.8374146748656,left,1,0.9142969606637052,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
T,right,Target,0,5,5,5,3095.3357712096195,3097.3378512854824,left,0,0.8535718341572647,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
L,left,Distractor,0,6,6,6,3098.8355411950624,3100.837543957804,left,1,1.3378766287878534,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
T,right,Target,0,7,7,7,3102.33580970578,3104.3376219125284,right,1,0.8779915526592958,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
Z,left,Lure,0,8,8,8,3105.8357044829418,3107.83744483019,left,1,0.882026271063296,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
J,left,Distractor,0,9,9,9,3109.3352835915894,3111.335622678601,left,1,0.9517864464014565,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
D,left,Pretarget,0,10,10,10,3112.835745224712,3114.8380678263848,left,1,0.8734628001984674,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
H,left,Distractor,0,11,11,11,3116.3356188289863,3118.3376004188385,left,1,0.637875602224085,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
D,right,Target,0,12,12,12,3119.835739771089,3121.837255236601,right,1,0.5942026707343757,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
S,left,Distractor,0,13,13,13,3123.3356910092853,3125.3372584446142,left,1,0.8381178713934787,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
R,left,Pretarget,0,14,14,14,3126.8356477011066,3128.837375537102,left,1,0.8740970244380151,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
Z,left,Distractor,0,15,15,15,3130.3356823476506,3132.3377422130297,left,1,0.8777477436433401,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
R,right,Target,0,16,16,16,3133.8354491250784,3135.837622874932,right,1,0.801691521284738,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
T,left,Distractor,0,17,17,17,3137.3355504983,3139.337824658972,left,1,1.013751790873357,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
M,left,Distractor,0,18,18,18,3140.835436934628,3142.837734513797,left,1,0.7937170416716981,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
R,left,Lure,0,19,19,19,3144.3356486635103,3146.3378634759347,None,0,,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
J,left,Distractor,0,20,20,20,3147.8356242826076,3149.837573150725,left,1,1.0898596622464538,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
K,left,Distractor,0,21,21,21,3151.335350318267,3153.337530804948,left,1,0.693904197170923,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
Z,left,Distractor,0,22,22,22,3154.835569104779,3156.8374230156996,left,1,0.31414663315808866,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
W,left,Pretarget,0,23,23,23,3158.335710578168,3160.3365757793717,left,1,0.5109906537745701,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
Q,left,Distractor,0,24,24,24,3161.8355411950624,3163.8376626542968,left,1,0.5777240685038123,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
W,right,Target,0,25,25,25,3165.3356845932585,3167.337499045617,right,1,0.5976384530458745,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
D,left,Pretarget,0,26,26,26,3168.8355633303536,3170.837543957804,left,1,0.7458971113137522,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
W,right,Target,0,27,27,27,3172.335585786447,3174.337282183914,right,1,0.7339623392053909,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
D,right,Target,0,28,28,28,3175.835227772156,3177.836917753596,right,1,0.7863703702751081,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
L,left,Pretarget,0,29,29,29,3179.3355504983,3181.3368959391037,left,1,0.8384608080214093,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
P,left,Distractor,0,30,30,30,3182.8352280929585,3184.8367878290546,left,1,0.7625823096022941,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
L,right,Target,0,31,31,31,3186.3355004532923,3188.337525992928,right,1,0.7017378449963871,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
R,left,Distractor,0,32,32,32,3189.8355309294193,3191.8373206800725,left,1,0.9143059431025904,1,2.9699999999999998,D07I03,2023-01-25_12h11.39.756,t1_Paradigm,2021.1.4,59.97544949926295,
