Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,223.3355141422153,225.2738804667788,None,0,1,,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
Q,left,Pretarget,0,1,1,1,226.7718651914929,228.77436070668773,left,1,1,0.5755519711328816,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
Q,right,Target,0,2,2,2,230.27153861552324,232.27154086113387,right,1,1,0.8063635477055868,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
T,left,Distractor,0,3,3,3,233.7715617132344,235.7733039864088,left,1,1,0.7127196528153945,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
Q,left,Lure,0,4,4,4,237.27154021953083,239.27201179779786,left,1,1,0.9579762812172703,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
L,left,Distractor,0,5,5,5,240.77186775790506,242.77325779098646,left,1,1,0.8485425344351825,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
V,left,Pretarget,0,6,6,6,244.27177408385523,246.27326292381076,left,1,1,0.7567012234085269,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
V,right,Target,0,7,7,7,247.77155786361618,249.77181739206299,right,1,1,0.953974602784001,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
K,left,Distractor,0,8,8,8,251.2715767909067,253.27451661623672,left,1,1,0.907481156117683,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
G,left,Pretarget,0,9,9,9,254.77175387335774,256.77317983621197,left,1,1,1.0566458530629461,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
G,right,Target,0,10,10,10,258.27151648021663,260.2716143246871,right,1,1,0.9181583938361655,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
G,right,Target,0,11,11,11,261.7717853119093,263.77187609874545,right,1,1,0.8740943772472747,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
P,left,Pretarget,0,12,12,12,265.27156556285263,267.27288951081664,left,1,1,0.6849026303161736,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
P,right,Target,0,13,13,13,268.77175772297596,270.77158416934253,right,1,1,0.7382528891384936,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
G,left,Lure,0,14,14,14,272.2712720294421,274.2735125074105,left,1,1,0.804341214786291,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
Y,left,Distractor,0,15,15,15,275.77178467030626,277.7732131995717,left,1,1,0.7446795064270191,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
B,left,Distractor,0,16,16,16,279.27136281627827,281.2730467035717,left,1,1,0.9249006798427217,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
T,left,Pretarget,0,17,17,17,282.77184209378174,284.77266270412656,left,1,1,0.6572658982831854,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
T,right,Target,0,18,18,18,286.27188636439496,288.27179333194726,right,1,1,0.998168864798572,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
S,left,Distractor,0,19,19,19,289.7717310964481,291.77301205700496,left,1,1,0.8408837184233562,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
T,left,Lure,0,20,20,20,293.2717971815664,295.27295110471186,left,1,1,0.9249568201121292,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
J,left,Distractor,0,21,21,21,296.7716399888104,298.77440529810156,left,1,1,0.8312603137701444,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
P,left,Distractor,0,22,22,22,300.2717923695427,302.2734804272568,left,1,1,0.6603382146495278,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
F,left,Distractor,0,23,23,23,303.7717262844253,305.77359463260564,left,1,1,1.1761996052855466,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
L,left,Distractor,0,24,24,24,307.2716265151457,309.2731342823927,left,1,1,1.452658674858867,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
W,left,Pretarget,0,25,25,25,310.77178274549624,312.774326060121,left,1,1,0.9914153507388619,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
W,right,Target,0,26,26,26,314.27139104681373,316.2717179435849,right,1,1,0.7101535612819134,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
V,left,Distractor,0,27,27,27,317.77174392850975,319.7732228236182,left,1,1,0.584466404379782,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
W,left,Lure,0,28,28,28,321.27166789854437,323.27163710159675,left,1,1,0.8941544184635859,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
R,left,Pretarget,0,29,29,29,324.7715174426212,326.77381566486747,left,1,1,0.896287748717441,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
R,right,Target,0,30,30,30,328.27140355807387,330.2717394372885,right,1,1,0.6620224227444851,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
G,left,Distractor,0,31,31,31,331.77165731209425,333.7732122371672,left,1,1,0.8085982512466217,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
R,left,Lure,0,32,32,32,335.27144526227494,337.2738092488371,left,1,1,1.435905776736945,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
S,left,Distractor,0,33,33,33,338.7714619439548,340.77345957515627,left,1,1,0.9604021824770825,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
R,left,Lure,0,34,34,34,342.27130635520734,344.27224598292287,left,1,1,0.6136676855321639,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
P,left,Pretarget,0,35,35,35,345.77137789395056,347.77378454711834,left,1,1,0.8400980754468037,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
P,right,Target,0,36,36,36,349.27140612448693,351.2716582744988,right,1,1,0.8941640425100559,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
Y,left,Pretarget,0,37,37,37,352.77160309663304,354.77156941247176,left,1,1,0.7860991559064132,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
Y,right,Target,0,38,38,38,356.2716986954929,358.2713993876541,right,1,1,0.5984799781344918,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
J,left,Distractor,0,39,39,39,359.77159443499113,361.7736825322281,left,1,1,0.7441809808315156,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
Y,left,Lure,0,40,40,40,363.271260159785,365.27317149537157,left,1,1,0.972567297747446,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
T,left,Distractor,0,41,41,41,366.7715020441474,368.7735503619924,left,1,1,0.9283383891652193,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
V,left,Distractor,0,42,42,42,370.27157582850214,372.27319491388425,left,1,1,0.9004328254404754,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
N,left,Pretarget,0,43,43,43,373.7716175327023,375.78455513808603,left,1,1,0.7497962910210845,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
N,right,Target,0,44,44,44,377.2715597884253,379.2714722096043,right,1,1,0.6541730506178283,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
N,right,Target,0,45,45,45,380.77145713193204,382.77164255522257,right,1,1,0.7380344232888092,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
X,left,Distractor,0,46,46,46,384.27171666037884,386.2730450995641,left,1,1,0.836630210779731,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
Z,left,Distractor,0,47,47,47,387.77158481094557,389.77327318946027,None,0,1,,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
H,left,Pretarget,0,48,48,48,391.2713089216195,393.2721770105918,left,1,1,0.8774849287437974,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
H,right,Target,0,49,49,49,394.77163710159675,396.7715886605638,right,1,1,0.9621547213000667,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
K,left,Distractor,0,50,50,50,398.27129320234417,400.2717808206871,left,1,1,0.7739536095305084,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
V,left,Pretarget,0,51,51,51,401.7712566309683,403.77289688925157,left,1,1,0.5207905063271028,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
V,right,Target,0,52,52,52,405.27157262048695,407.27140163326476,left,0,1,1.0062841814042258,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
R,left,Distractor,0,53,53,53,408.77160149262545,410.7714189565486,left,1,1,0.7543077231048301,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
V,left,Lure,0,54,54,54,412.27146258555786,414.27314037762244,left,1,1,0.7245617209327975,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
Y,left,Distractor,0,55,55,55,415.7711956786752,417.7728943228394,left,1,1,0.7766011846561014,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
Q,left,Distractor,0,56,56,56,419.27110489183906,421.27363377039364,left,1,1,0.7478557624945097,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
Z,left,Pretarget,0,57,57,57,422.7715957181981,424.77153669071413,left,1,1,0.6900941616686396,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
Z,right,Target,0,58,58,58,426.2715325202944,428.27156556285263,right,1,1,0.7740841757586168,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
B,left,Distractor,0,59,59,59,429.77157614930366,431.772229942846,left,1,1,0.5533342187454764,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
S,left,Pretarget,0,60,60,60,433.2717718382446,435.2719399382522,left,1,1,0.9257937913353089,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
S,right,Target,0,61,61,61,436.7714975529261,438.77121653077484,right,1,1,0.7384646181562857,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
T,left,Distractor,0,62,62,62,440.27159122697594,442.2731570593023,left,1,1,0.6125933211678785,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
D,left,Distractor,0,63,63,63,443.7714324302133,445.7728769995565,left,1,1,0.7128482942334813,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
R,left,Distractor,0,0,0,0,456.8280612807939,458.82362074585035,None,0,1,,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
V,left,Distractor,0,1,1,1,460.32139855356945,462.32347317714084,left,1,1,0.8180487438694399,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
N,left,Pretarget,0,2,2,2,463.8214399369699,465.82355818954966,left,1,1,0.5978088613082946,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
N,right,Target,0,3,3,3,467.3213741726522,469.3215098717046,right,1,1,0.6359053276155464,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
S,left,Distractor,0,4,4,4,470.8214604682671,472.8214623930762,left,1,1,0.7360226768196299,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
N,left,Lure,0,5,5,5,474.32152911979756,476.3235588311527,left,1,1,0.7380308944721037,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
Z,left,Distractor,0,6,6,6,477.8215047388803,479.82387482067134,left,1,1,0.5656058401291375,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
L,left,Pretarget,0,7,7,7,481.3214229344867,483.3228556341728,left,1,1,0.5547861665254459,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
L,right,Target,0,8,8,8,484.821400799181,486.8214822827722,left,0,1,0.5761323011211061,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
H,left,Distractor,0,9,9,9,488.32111015298324,490.32181399156616,left,1,1,0.6117832972740871,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
L,left,Lure,0,10,10,10,491.82122852875364,493.82126798734316,left,1,1,0.4882050897085719,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
X,left,Pretarget,0,11,11,11,495.32144763620636,497.32209822173354,left,1,1,0.6194074667200766,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
X,right,Target,0,12,12,12,498.82113774191566,500.8213773806692,right,1,1,0.4642736154837621,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
X,right,Target,0,13,13,13,502.3211114361893,504.3214056112047,right,1,1,0.4679698908494174,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
R,left,Distractor,0,14,14,14,505.8211210602367,507.8227468824516,left,1,1,0.7266273620607535,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
T,left,Distractor,0,15,15,15,509.3210193661471,511.32304619028946,left,1,1,0.8108518820790778,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
V,left,Pretarget,0,16,16,16,512.8214739419327,514.8220180213484,left,1,1,0.8796699080448889,D08E08,2022-11-24_10h52.59.157,t1_Paradigm,2021.1.4,60.01501726997434,
