vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
0,0,0,0,0,2576.8195370048634,VS1leftbutton,1,0,4,2,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
1,0,1,1,1,2595.545472160389,VS1rightbutton,0,1,4,3,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
2,0,2,2,2,2607.8455454317154,VS1leftbutton,1,0,4,2,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
3,0,3,3,3,2616.4664209532784,VS1leftbutton,1,0,2,1,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
4,0,4,4,4,2621.762095700542,VS1leftbutton,1,0,3,2,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
5,0,5,5,5,2625.103919501649,VS1leftbutton,1,0,3,1,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
6,0,6,6,6,2627.431831057649,VS1rightbutton,0,1,1,4,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
7,0,7,7,7,2630.796818087576,VS1leftbutton,1,0,3,1,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
8,0,8,8,8,2636.477358396107,VS1leftbutton,1,0,2,4,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
9,0,9,9,9,2648.244455729553,VS1rightbutton,0,1,3,4,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
10,0,10,10,10,2650.615042689198,VS1rightbutton,0,1,1,2,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
11,0,11,11,11,2652.680965051113,VS1leftbutton,1,0,4,1,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
12,0,12,12,12,2655.3001335821464,VS1rightbutton,0,1,3,4,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
13,0,13,13,13,2657.329303518345,VS1leftbutton,1,0,3,1,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
14,0,14,14,14,2665.749362725648,VS1rightbutton,0,1,1,4,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
15,0,15,15,15,2667.665252782812,VS1rightbutton,0,1,2,3,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
16,0,16,16,16,2671.0914393191924,VS1rightbutton,0,1,1,2,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
17,0,17,17,17,2675.2811552228522,VS1rightbutton,0,1,2,3,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
