Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
0,0,0,0,0,2713.3010003907257,EDleftbutton,1,0,2.00,1.00,1,3,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
1,0,1,1,1,2722.854904846754,EDleftbutton,1,0,2.00,1.50,1,3,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
2,0,2,2,2,2725.6551317824633,EDleftbutton,1,0,2.00,1.75,1,3,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
3,0,3,3,3,2727.123228287557,EDleftbutton,1,0,2.00,1.88,1,3,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
4,0,4,4,4,2730.542283382849,EDleftbutton,1,0,2.00,1.94,1,3,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
5,0,5,5,5,2733.765666874766,EDleftbutton,1,0,2.00,1.97,1,3,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
0,0,0,0,0,2735.215474425291,EDleftbutton,1,0,2.00,1.00,2,4,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
1,0,1,1,1,2739.6493656770326,EDleftbutton,1,0,2.00,1.50,2,4,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
2,0,2,2,2,2742.4127314349753,EDleftbutton,1,0,2.00,1.75,2,4,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
3,0,3,3,3,2743.6644344154047,EDleftbutton,1,0,2.00,1.88,2,4,D11D08,2022-11-01_14h49.02.287,t1_Paradigm,2021.1.4,59.9844515277031,
