Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,247.01664255326614,248.96274818014354,None,0,1,,D12T04,2023-01-09_14h40.32.959,t1_Paradigm,2021.1.4,60.06076999175848,
Q,left,Pretarget,0,1,1,1,250.45409551542252,252.45330762630329,left,1,1,0.3063358347862959,D12T04,2023-01-09_14h40.32.959,t1_Paradigm,2021.1.4,60.06076999175848,
Q,right,Target,0,2,2,2,253.95008741877973,255.95009383466095,right,1,1,0.6335523338057101,D12T04,2023-01-09_14h40.32.959,t1_Paradigm,2021.1.4,60.06076999175848,
T,left,Distractor,0,3,3,3,257.44995268201455,259.45163368294016,left,1,1,0.46021416736766696,D12T04,2023-01-09_14h40.32.959,t1_Paradigm,2021.1.4,60.06076999175848,
Q,left,Lure,0,4,4,4,260.95009158877656,262.95114478096366,left,1,1,0.9924605172127485,D12T04,2023-01-09_14h40.32.959,t1_Paradigm,2021.1.4,60.06076999175848,
L,left,Distractor,0,5,5,5,264.45011596987024,266.4516702545807,left,1,1,0.6282552555203438,D12T04,2023-01-09_14h40.32.959,t1_Paradigm,2021.1.4,60.06076999175848,
V,left,Pretarget,0,6,6,6,267.9493928826414,269.95202377811074,left,1,1,0.43967002304270864,D12T04,2023-01-09_14h40.32.959,t1_Paradigm,2021.1.4,60.06076999175848,
V,right,Target,0,7,7,7,271.4500569421798,273.4502603309229,right,1,1,0.47732412861660123,D12T04,2023-01-09_14h40.32.959,t1_Paradigm,2021.1.4,60.06076999175848,
K,left,Distractor,0,8,8,8,274.9500303156674,276.9525668951683,left,1,1,0.41493171732872725,D12T04,2023-01-09_14h40.32.959,t1_Paradigm,2021.1.4,60.06076999175848,
G,left,Pretarget,0,9,9,9,278.45026257634163,280.45158684579656,left,1,1,0.43607511883601546,D12T04,2023-01-09_14h40.32.959,t1_Paradigm,2021.1.4,60.06076999175848,
G,right,Target,0,10,10,10,281.9501817342825,283.95008196495473,right,1,1,0.6174381412565708,D12T04,2023-01-09_14h40.32.959,t1_Paradigm,2021.1.4,60.06076999175848,
G,right,Target,0,11,11,11,285.45013329340145,287.4501239899546,right,1,1,0.4462708402425051,D12T04,2023-01-09_14h40.32.959,t1_Paradigm,2021.1.4,60.06076999175848,
P,left,Pretarget,0,12,12,12,288.9501964910887,290.9517183746211,left,1,1,0.3358973949216306,D12T04,2023-01-09_14h40.32.959,t1_Paradigm,2021.1.4,60.06076999175848,
P,right,Target,0,13,13,13,292.45012591499835,294.4501060252078,right,1,1,0.5017900737002492,D12T04,2023-01-09_14h40.32.959,t1_Paradigm,2021.1.4,60.06076999175848,
G,left,Lure,0,14,14,14,295.95005020545796,297.9507319093682,left,1,1,0.4409391153603792,D12T04,2023-01-09_14h40.32.959,t1_Paradigm,2021.1.4,60.06076999175848,
Y,left,Distractor,0,15,15,15,299.45006720814854,301.4516137931496,left,1,1,0.5400026943534613,D12T04,2023-01-09_14h40.32.959,t1_Paradigm,2021.1.4,60.06076999175848,
