Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,248.65678393475537,250.64597740014142,None,0,1,,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
Q,left,Pretarget,0,1,1,1,252.14152114020544,254.1429724482441,left,1,1,0.6181263369362568,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
Q,right,Target,0,2,2,2,255.6406876967376,257.6405410902371,right,1,1,0.8909902129671536,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
T,left,Distractor,0,3,3,3,259.1397881680605,261.14286915001867,left,1,1,0.5435446947667515,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
Q,left,Lure,0,4,4,4,262.63959697009705,264.6397455013939,left,1,1,0.5317449573049089,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
L,left,Distractor,0,5,5,5,266.1403736316279,268.1409574911813,left,1,1,0.5194049893616466,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
V,left,Pretarget,0,6,6,6,269.6388758073008,271.6400233158929,left,1,1,0.6032334270566935,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
V,right,Target,0,7,7,7,273.1390990854561,275.1373673965136,right,1,1,0.5338940095971338,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
K,left,Distractor,0,8,8,8,276.63742674487,278.63942758666235,left,1,1,0.44370471079309937,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
G,left,Pretarget,0,9,9,9,280.13733627872716,282.1381912159268,left,1,1,0.5484696463536238,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
G,right,Target,0,10,10,10,283.6364614517952,285.6356851110759,right,1,1,0.3971598761563655,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
G,right,Target,0,11,11,11,287.1362657626014,289.1357511962706,right,1,1,0.4019978903961601,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
P,left,Pretarget,0,12,12,12,290.63513236930885,292.6352170610189,left,1,1,0.43286481277027633,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
P,right,Target,0,13,13,13,294.13485872524325,296.13445964761195,right,1,1,0.3936721173085971,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
G,left,Lure,0,14,14,14,297.6334436678153,299.6342893017718,left,1,1,0.4238820372702321,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
Y,left,Distractor,0,15,15,15,301.1336640587688,303.1350839282095,left,1,1,0.4124723949935287,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
B,left,Distractor,0,16,16,16,304.63298524182756,306.63449365261476,left,1,1,0.4186009955155896,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
T,left,Pretarget,0,17,17,17,308.1327869862289,310.1340852717258,left,1,1,0.5548349987220718,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
T,right,Target,0,18,18,18,311.63119516693405,313.6305198788177,right,1,1,0.5231503521790728,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
S,left,Distractor,0,19,19,19,315.1321036780573,317.1309574526822,left,1,1,0.45459882431896403,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
T,left,Lure,0,20,20,20,318.6303739139257,320.6308958587033,left,1,1,0.7866089565359289,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
J,left,Distractor,0,21,21,21,322.1299177335459,324.13231380334764,left,1,1,0.5054549164196942,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
