Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2796.079135105101,2798.0826539817353,None,0,3,3.0,,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
P,left,Pretarget,0,1,1,1,2799.5800509946857,2801.579997420762,None,0,3,3.0,,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
B,left,Distractor,0,2,2,2,2803.0797244182904,2805.0801206087053,None,0,3,3.0,,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
K,left,Pretarget,0,3,3,3,2806.5794921576744,2808.581169310288,None,0,3,3.0,,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
H,left,Distractor,0,4,4,4,2810.0790407893364,2812.0794382629538,left,1,3,3.0,0.6616594828519737,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
P,right,Target,0,5,5,5,2813.57853135583,2815.578763937243,right,1,3,3.0,0.518048317899229,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
L,left,Distractor,0,6,6,6,2817.077941080235,2819.079789541094,left,1,3,3.0,0.49931829584238585,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
K,right,Target,0,7,7,7,2820.5772308247106,2822.578740839497,right,1,3,3.0,0.5685194476682227,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
Z,left,Pretarget,0,8,8,8,2824.076739035314,2826.076693481431,left,1,3,3.0,0.6917372323950985,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
S,left,Pretarget,0,9,9,9,2827.5761936719937,2829.5759283687803,left,1,3,3.0,0.8479029817826813,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
N,left,Distractor,0,10,10,10,2831.0755565593136,2833.0752700831654,left,1,3,3.0,0.713369549732306,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
M,left,Distractor,0,11,11,11,2834.5749435067846,2836.5765641982434,left,1,3,3.0,0.6289280595228774,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
Z,right,Target,0,12,12,12,2838.074246083328,2840.0751658225345,left,0,3,3.0,0.6775423875660636,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
S,right,Target,0,13,13,13,2841.573791186165,2843.573307737621,right,1,3,3.0,1.0167840374051593,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
Q,left,Distractor,0,14,14,14,2845.072919888058,2847.0728980735294,left,1,3,3.0,0.5999227508873446,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
V,left,Lure,0,15,15,15,2848.5725371713197,2850.572999446944,left,1,3,3.0,0.6880874685884919,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
Z,right,Target,0,16,16,16,2852.0719436877116,2854.073582023295,right,1,3,3.0,1.2247204852465075,D17S02,2022-11-18_10h40.04.704,t1_Paradigm,2021.1.4,59.704921865874,
