Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,95.2620781094738,97.21278818833525,None,0,1,,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
Q,left,Pretarget,0,1,1,1,98.71186957223108,100.71396569152421,left,1,1,0.8666346506361151,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
Q,right,Target,0,2,2,2,102.20979574866942,104.20972068104311,right,1,1,0.9390787661541253,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
T,left,Distractor,0,3,3,3,105.70976318728935,107.71233890534495,left,1,1,0.8123164812859613,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
Q,left,Lure,0,4,4,4,109.20982654564432,111.21224667481147,left,1,1,0.6085396169364685,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
L,left,Distractor,0,5,5,5,112.70977184893854,114.71168126154225,left,1,1,0.5651540538528934,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
V,left,Pretarget,0,6,6,6,116.209835848902,118.21227169735357,left,1,1,0.6004650343675166,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
V,right,Target,0,7,7,7,119.70946644556534,121.7096595682815,right,1,1,0.44725007048691623,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
K,left,Distractor,0,8,8,8,123.21002030996897,125.21216519114387,left,1,1,0.46468468866078183,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
G,left,Pretarget,0,9,9,9,126.70987707194581,128.71206846938003,left,1,1,0.6608239025663352,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
G,right,Target,0,10,10,10,130.20986022985016,132.20977617976314,right,1,1,0.4431678669498069,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
G,right,Target,0,11,11,11,133.7098966408521,135.70959989914263,right,1,1,0.3992850609938614,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
P,left,Pretarget,0,12,12,12,137.20983713210444,139.21175648958888,left,1,1,0.545088539714925,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
P,right,Target,0,13,13,13,140.70976414969482,142.7097975130746,right,1,1,0.4389435481862165,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
G,left,Lure,0,14,14,14,144.20974377877428,146.21113028436957,left,1,1,0.5057733105059015,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
