Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
T,left,Distractor,0,0,0,0,2648.272661683339,2650.276494623846,left,1,0.43895990907913074,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
F,left,Distractor,0,1,1,1,2651.7746604392596,2653.7763407993625,left,1,0.8910207241133321,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
G,left,Distractor,0,2,2,2,2655.2748091309186,2657.276856809127,left,1,0.41444519405195024,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
V,left,Distractor,0,3,3,3,2658.7748535619758,2660.776609310502,left,1,0.7229632210219279,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
H,left,Distractor,0,4,4,4,2662.2745650007128,2664.2762995763187,left,1,0.4071469519549282,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
C,left,Pretarget,0,5,5,5,2665.7747464141576,2667.7764453807613,left,1,0.4110886442795163,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
C,right,Target,0,6,6,6,2669.2748052812967,2671.274837040677,right,1,0.4004973711853381,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
C,right,Target,0,7,7,7,2672.774756038212,2674.7748914166004,right,1,0.6767103309975937,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
W,left,Distractor,0,8,8,8,2676.2747411209275,2678.2764147441776,left,1,0.5990024987258948,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
R,left,Pretarget,0,9,9,9,2679.7747589254286,2681.776897390562,left,1,0.4106067999091465,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
R,right,Target,0,10,10,10,2683.274827737434,2685.2745816824026,right,1,0.4489009168173652,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
Z,left,Distractor,0,11,11,11,2686.7749106647098,2688.7770812100207,left,1,0.4503435627411818,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
R,left,Lure,0,12,12,12,2690.274760689834,2692.2764112153673,left,1,0.42303755081957206,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
H,left,Pretarget,0,13,13,13,2693.774888850181,2695.776664809222,left,1,0.47490607724466827,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
H,right,Target,0,14,14,14,2697.2746958878706,2699.274823887812,right,1,0.44897245563333854,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
K,left,Distractor,0,15,15,15,2700.7748041584855,2702.776753029728,left,1,0.547659445728641,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
J,left,Distractor,0,16,16,16,2704.274557301469,2706.276540819308,left,1,0.45494097405753564,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
H,left,Lure,0,17,17,17,2707.7748484291515,2709.7768691600068,left,1,0.5066898413933814,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
S,left,Distractor,0,18,18,18,2711.2746285194735,2713.276648608735,left,1,0.3827432343678083,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
T,left,Pretarget,0,19,19,19,2714.774720108413,2716.773782083794,left,1,0.437660661584232,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
T,right,Target,0,20,20,20,2718.2747308552644,2720.2746734317334,right,1,0.5368692754855147,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
X,left,Pretarget,0,21,21,21,2721.7747640582675,2723.776673470871,left,1,0.4748977363924496,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
X,right,Target,0,22,22,22,2725.274808168513,2727.2747308552644,right,1,0.528616006282391,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
W,left,Distractor,0,23,23,23,2728.774761812645,2730.77687942567,left,1,0.7066635998053243,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
K,left,Distractor,0,24,24,24,2732.2747289304534,2734.276723355564,left,1,0.438814906636253,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
F,left,Pretarget,0,25,25,25,2735.7748670356523,2737.776797621191,left,1,0.3627960960875498,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
F,right,Target,0,26,26,26,2739.2747247600346,2741.274856930395,right,1,0.5445027555251727,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
Z,left,Distractor,0,27,27,27,2742.7748041584855,2744.7762384635716,left,1,0.6431265476712724,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
F,left,Lure,0,28,28,28,2746.2746978126816,2748.27662839822,left,1,0.4868257908092346,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
P,left,Distractor,0,29,29,29,2749.7747361484944,2751.776310002373,left,1,0.6831100071285618,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
F,left,Lure,0,30,30,30,2753.2748110557295,2755.276806122434,left,1,0.4307486649049679,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
R,left,Distractor,0,31,31,31,2756.774697652276,2758.776438323126,left,1,0.40294412689399906,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
V,left,Distractor,0,32,32,32,2760.2747770507412,2762.2766495711403,left,1,0.470747522849706,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
M,left,Pretarget,0,33,33,33,2763.7748654316383,2765.77629364148,left,1,0.36329365977144334,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
M,right,Target,0,34,34,34,2767.274711286358,2769.274686584613,right,1,0.4006985139567405,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
M,right,Target,0,35,35,35,2770.774711767561,2772.7746334919066,right,1,0.5007431374979205,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
D,left,Distractor,0,36,36,36,2774.274700699898,2776.276944708836,left,1,0.3583680681476835,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
M,left,Lure,0,37,37,37,2777.7746553064353,2779.777177450582,left,1,0.3783771211892599,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
F,left,Distractor,0,38,38,38,2781.273863727867,2783.276167085147,left,1,0.4150697952572955,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
T,left,Pretarget,0,39,39,39,2784.774682895397,2786.776903164995,right,0,0.48245711119670887,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
T,right,Target,0,40,40,40,2788.2747244392376,2790.274695567059,right,1,0.5367922830482712,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
Z,left,Distractor,0,41,41,41,2791.7748080081074,2793.776322513644,left,1,0.4113635714747943,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
S,left,Distractor,0,42,42,42,2795.274686263816,2797.2766765184933,left,1,0.4307717626361409,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
D,left,Distractor,0,43,43,43,2798.774757963023,2800.776101801981,left,1,0.3712771346181398,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
Y,left,Pretarget,0,44,44,44,2802.274713531966,2804.27678430792,left,1,0.3906019173155073,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
Y,right,Target,0,45,45,45,2805.7746966898703,2807.7747772111325,right,1,0.4927295072557172,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
Z,left,Pretarget,0,46,46,46,2809.2746121585806,2811.2767958567856,left,1,0.41445642210601363,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
Z,right,Target,0,47,47,47,2812.773727868276,2814.7746565896377,right,1,0.40470564986753743,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
H,left,Pretarget,0,48,48,48,2816.2746403891506,2818.2763037467375,left,1,0.3910943481459981,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
H,right,Target,0,49,49,49,2819.773672369556,2821.774632208704,right,1,0.38081329042324796,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
Z,left,Lure,0,50,50,50,2823.2737540136295,2825.276691596184,left,1,0.38263897376600653,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
R,left,Distractor,0,51,51,51,2826.774640228745,2828.776360047472,left,1,0.35506637550133746,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
H,left,Lure,0,52,52,52,2830.274774163525,2832.2760220827186,left,1,0.45536988612730056,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
L,left,Distractor,0,53,53,53,2833.774640228745,2835.776631766639,left,1,0.394954236006015,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
N,left,Pretarget,0,54,54,54,2837.2746817725856,2839.275797200622,left,1,0.3675301690091146,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
N,right,Target,0,55,55,55,2840.774675837747,2842.774709521953,right,1,0.5489926982263569,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
W,left,Distractor,0,56,56,56,2844.274729572062,2846.2764753757365,left,1,0.45487424726889003,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
R,left,Pretarget,0,57,57,57,2847.774509341587,2849.7737057329505,left,1,0.4141022568655899,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
R,right,Target,0,58,58,58,2851.2747103239526,2853.2747071159247,right,1,0.4326596815226367,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
Q,left,Distractor,0,59,59,59,2854.7746068653505,2856.7768733304256,left,1,0.3545851727249101,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
R,left,Lure,0,60,60,60,2858.2747388753196,2860.2759008196153,left,1,0.4715848156774882,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
Z,left,Distractor,0,61,61,61,2861.7747133715748,2863.7765708142833,left,1,0.395025133213494,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
K,left,Pretarget,0,62,62,62,2865.274709682344,2867.275435656935,left,1,0.4158429277158575,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
K,right,Target,0,63,63,63,2868.774484639842,2870.7746742337476,right,1,0.46867097246285994,0,2.5300000000000002,D18R04,2022-10-07_14h39.42.909,t1_Paradigm,2021.1.4,60.00860514057195,
