vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
0,0,0,0,0,2487.8683575929194,VS1leftbutton,1,0,1,3,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
1,0,1,1,1,2494.181796600589,VS1leftbutton,1,0,4,2,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
2,0,2,2,2,2499.852571565325,VS1rightbutton,0,1,4,3,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
3,0,3,3,3,2514.5773384785707,VS1rightbutton,0,1,2,1,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
4,0,4,4,4,2517.6248556791747,VS1leftbutton,1,0,1,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
5,0,5,5,5,2519.8204563922536,VS1leftbutton,1,0,1,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
6,0,6,6,6,2522.124867709252,VS1rightbutton,0,1,3,2,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
7,0,7,7,7,2525.0936767669054,VS1leftbutton,1,0,4,3,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
8,0,8,8,8,2529.722721479334,VS1leftbutton,1,0,2,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
9,0,9,9,9,2534.1284504266187,VS1rightbutton,0,1,3,1,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
10,0,10,10,10,2536.7570851540186,VS1leftbutton,1,0,4,3,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
11,0,11,11,11,2540.276653277458,VS1leftbutton,1,0,2,3,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
12,0,12,12,12,2543.223927855467,VS1leftbutton,1,0,1,2,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
13,0,13,13,13,2545.1578878649243,VS1leftbutton,1,0,1,3,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
14,0,14,14,14,2547.325197044643,VS1rightbutton,0,1,2,1,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
15,0,15,15,15,2549.136241746164,VS1leftbutton,1,0,2,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
16,0,16,16,16,2552.5600052226578,VS1rightbutton,0,1,3,2,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
17,0,17,17,17,2555.777288305129,VS1leftbutton,1,0,1,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
