Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
0,0,0,0,0,2675.953818939961,EDrightbutton,0,1,1.00,2.00,1,3,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
1,0,1,1,1,2711.3758898648043,EDrightbutton,0,1,1.50,2.00,1,3,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
2,0,2,2,2,2715.197964382631,EDrightbutton,0,1,1.75,2.00,1,3,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
3,0,3,3,3,2720.261993265082,EDrightbutton,0,1,1.88,2.00,1,3,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
4,0,4,4,4,2723.199639931772,EDrightbutton,0,1,1.94,2.00,1,3,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
5,0,5,5,5,2728.4440115398916,EDrightbutton,0,1,1.97,2.00,1,3,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
0,0,0,0,0,2733.802458755282,EDleftbutton,1,0,1.00,2.00,1,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
1,0,1,1,1,2738.162374923288,EDleftbutton,1,0,0.50,2.00,1,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
2,0,2,2,2,2741.4433230986783,EDleftbutton,1,0,0.25,2.00,1,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
3,0,3,3,3,2745.5768316113213,EDrightbutton,0,1,0.12,2.00,1,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
4,0,4,4,4,2747.5847124346406,EDleftbutton,1,0,0.18,2.00,1,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
5,0,5,5,5,2756.0112957612105,EDrightbutton,0,1,0.15,2.00,1,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
0,0,0,0,0,2760.44529667293,EDleftbutton,1,0,2.00,1.00,3,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
1,0,1,1,1,2767.629014877837,EDleftbutton,1,0,2.00,1.50,3,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
2,0,2,2,2,2770.6740214815472,EDleftbutton,1,0,2.00,1.75,3,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
3,0,3,3,3,2772.7451432974667,EDleftbutton,1,0,2.00,1.88,3,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
4,0,4,4,4,2774.307913192247,EDleftbutton,1,0,2.00,1.94,3,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
5,0,5,5,5,2775.8533716456536,EDleftbutton,1,0,2.00,1.97,3,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
0,0,0,0,0,2777.295348017299,EDleftbutton,1,0,1.00,2.00,2,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
1,0,1,1,1,2780.7595646331133,EDleftbutton,1,0,0.50,2.00,2,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
2,0,2,2,2,2782.783844215955,EDrightbutton,0,1,0.25,2.00,2,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
3,0,3,3,3,2784.5342964666543,EDrightbutton,0,1,0.38,2.00,2,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
4,0,4,4,4,2786.4948602698523,EDrightbutton,0,1,0.44,2.00,2,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
5,0,5,5,5,2787.959831091301,EDrightbutton,0,1,0.47,2.00,2,4,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
0,0,0,0,0,2789.461222891023,EDleftbutton,1,0,1.00,2.00,1,2,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
1,0,1,1,1,2792.8002647900175,EDleftbutton,1,0,0.50,2.00,1,2,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
2,0,2,2,2,2794.83672939737,EDleftbutton,1,0,0.25,2.00,1,2,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
3,0,3,3,3,2796.5612704659684,EDleftbutton,1,0,0.12,2.00,1,2,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
4,0,4,4,4,2798.301306915498,EDrightbutton,0,1,0.06,2.00,1,2,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
5,0,5,5,5,2800.6089220826343,EDrightbutton,0,1,0.09,2.00,1,2,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
0,0,0,0,0,2802.557321392653,EDleftbutton,1,0,1.00,2.00,2,3,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
1,0,1,1,1,2805.6448435721054,EDrightbutton,0,1,0.50,2.00,2,3,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
2,0,2,2,2,2811.2123167458353,EDrightbutton,0,1,0.75,2.00,2,3,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
3,0,3,3,3,2813.7449658939295,EDrightbutton,0,1,0.88,2.00,2,3,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
4,0,4,4,4,2816.1799320990367,EDleftbutton,1,0,0.94,2.00,2,3,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
5,0,5,5,5,2817.694556662786,EDleftbutton,1,0,0.91,2.00,2,3,D22E01,2023-01-24_12h12.05.972,t1_Paradigm,2021.1.4,60.0037151178417,
