vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
0,0,0,0,0,2930.7913103761384,VS1leftbutton,1,0,3,1,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
1,0,1,1,1,2941.7332327298936,VS1leftbutton,1,0,3,4,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
2,0,2,2,2,2947.8734083817108,VS1leftbutton,1,0,4,2,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
3,0,3,3,3,2953.068996778864,VS1leftbutton,1,0,4,1,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
4,0,4,4,4,2957.603423789842,VS1rightbutton,0,1,2,1,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
5,0,5,5,5,2963.9801118893083,VS1rightbutton,0,1,3,4,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
6,0,6,6,6,2967.685333163943,VS1rightbutton,0,1,3,4,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
7,0,7,7,7,2970.866362931498,VS1leftbutton,1,0,3,2,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
8,0,8,8,8,2989.304189126822,VS1leftbutton,1,0,3,1,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
9,0,9,9,9,2996.884229028132,VS1leftbutton,1,0,4,1,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
10,0,10,10,10,3002.0942098795203,VS1rightbutton,0,1,2,4,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
11,0,11,11,11,3007.3354868761962,VS1rightbutton,0,1,2,4,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
12,0,12,12,12,3010.384623774851,VS1rightbutton,0,1,2,3,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
13,0,13,13,13,3016.6696770712733,VS1leftbutton,1,0,3,2,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
14,0,14,14,14,3019.43699211051,VS1leftbutton,1,0,2,1,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
15,0,15,15,15,3026.721140424954,VS1leftbutton,1,0,3,1,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
16,0,16,16,16,3032.5378798013553,VS1leftbutton,1,0,1,2,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
17,0,17,17,17,3038.6385252867476,VS1rightbutton,0,1,1,4,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
