Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
T,left,Distractor,0,0,0,0,3274.635315664229,3276.629566253454,left,1,0.3054203643114306,0,3.0,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
F,left,Distractor,0,1,1,1,3278.1287990558194,3280.1291285193292,left,1,0.4538560222135857,0,3.0,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
G,left,Distractor,0,2,2,2,3281.6293400881696,3283.629568819888,left,1,0.39350164524512365,0,3.0,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
V,left,Distractor,0,3,3,3,3285.1292940530693,3287.1291272361414,left,1,0.39807275077328086,0,3.0,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
H,left,Distractor,0,4,4,4,3288.629436328716,3290.6294064941467,left,1,0.40157237817766145,0,3.0,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
C,left,Pretarget,0,5,5,5,3292.1294595868676,3294.1291384641663,left,1,0.5018624151707627,0,3.0,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
C,right,Target,0,6,6,6,3295.629283947812,3297.6292836270295,right,1,0.3616412094561383,0,3.0,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
C,right,Target,0,7,7,7,3299.129365912697,3301.129436809919,right,1,0.49364764214260504,0,3.0,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
W,left,Distractor,0,8,8,8,3302.629329822492,3304.629786965146,left,1,0.38517074193805456,0,3.0,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
R,left,Pretarget,0,9,9,9,3306.129439055512,3308.129195246147,left,1,0.3257511815754697,0,3.0,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
R,right,Target,0,10,10,10,3309.6293487498187,3311.6130404669093,right,1,0.45801682223100215,0,3.0,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
Z,left,Distractor,0,11,11,11,3313.112640908221,3315.1128908128594,left,1,0.3982337933848612,0,3.0,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
R,left,Lure,0,12,12,12,3316.612766502134,3318.6128896900336,left,1,0.4022210395196453,0,3.0,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
H,left,Pretarget,0,13,13,13,3320.1128638655064,3322.114085478941,left,1,0.4210254815989174,0,3.0,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
H,right,Target,0,14,14,14,3323.629398794903,3325.629283306247,right,1,0.3615671041770838,0,3.0,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
K,left,Distractor,0,15,15,15,3327.129136218573,3329.1307174509275,left,1,0.44460698403418064,0,3.0,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
J,left,Distractor,0,16,16,16,3330.6294029653072,3332.629574915103,left,1,0.35336580488365144,0,3.0,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
H,left,Lure,0,17,17,17,3334.129371366347,3336.129614213365,left,1,0.3734136749408208,0,3.0,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
S,left,Distractor,0,18,18,18,3337.629425742256,3339.629784398712,left,1,0.32930662849685177,0,3.0,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
T,left,Pretarget,0,19,19,19,3341.1292712761788,3343.129583416332,left,1,0.38153669860912487,0,3.0,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
T,right,Target,0,20,20,20,3344.6292534716777,3346.6296939325985,right,1,0.38546844612574205,0,3.0,D22N08,2022-10-11_12h24.55.725,t1_Paradigm,2021.1.4,59.97373783084976,
