Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,40.856718985247426,42.80205390637275,None,0,1,,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
Q,left,Pretarget,0,1,1,1,44.3010651927907,46.3045090084197,left,1,1,0.5664911449421197,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
Q,right,Target,0,2,2,2,47.801016109995544,49.80123970936984,right,1,1,0.6538591586286202,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
T,left,Distractor,0,3,3,3,51.30124131345656,53.303203342016786,left,1,1,0.5438925285125151,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
Q,left,Lure,0,4,4,4,54.8011264661327,56.80301855970174,right,0,1,0.7880717263324186,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
L,left,Distractor,0,5,5,5,58.301297133089975,60.30317479057703,left,1,1,0.8878920127172023,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
V,left,Pretarget,0,6,6,6,61.8012345766183,63.80117522808723,left,1,1,0.7018149725627154,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
V,right,Target,0,7,7,7,65.30094136309344,67.30116239597555,right,1,1,0.6419769522035494,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
K,left,Distractor,0,8,8,8,68.80111203005072,70.8032168156933,left,1,1,0.5639670703094453,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
G,left,Pretarget,0,9,9,9,72.30117137846537,74.30062858050223,left,1,1,0.714603767148219,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
G,right,Target,0,10,10,10,75.80117747373879,77.8011322405655,right,1,1,0.9580204171361402,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
G,right,Target,0,11,11,11,79.30106904241256,81.30126216565259,right,1,1,0.3857862646691501,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
P,left,Pretarget,0,12,12,12,82.80120345868636,84.80357226496562,left,1,1,0.4674609951907769,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
P,right,Target,0,13,13,13,86.30119415547233,88.30129200022202,left,0,1,0.4418978424509987,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
G,left,Lure,0,14,14,14,89.80127788498066,91.80281613324769,left,1,1,0.8603052372345701,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
Y,left,Distractor,0,15,15,15,93.3002814721549,95.30316677049268,left,1,1,0.9120792433386669,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
B,left,Distractor,0,16,16,16,96.80028115131427,98.80322643974796,left,1,1,0.4838376456173137,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
T,left,Pretarget,0,17,17,17,100.30031900608446,102.30305833916645,left,1,1,0.5360110509209335,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
T,right,Target,0,18,18,18,103.80117971939035,105.80121500766836,right,1,1,0.9260062454268336,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
S,left,Distractor,0,19,19,19,107.30030585313216,109.30385136313271,left,1,1,0.4473431451478973,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
T,left,Lure,0,20,20,20,110.80117939854972,112.80242250848096,left,1,1,0.6128798382123932,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
J,left,Distractor,0,21,21,21,114.30106583447196,116.30330760276411,left,1,1,0.4718713889596984,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
P,left,Distractor,0,22,22,22,117.80124805029482,119.80329412908759,left,1,1,0.5078320739557967,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
F,left,Distractor,0,23,23,23,121.30034691584297,123.30356937774923,left,1,1,0.527747176703997,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
L,left,Distractor,0,24,24,24,124.80139048665296,126.8030297877267,left,1,1,0.45192260190378875,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
W,left,Pretarget,0,25,25,25,128.30120570433792,130.30372047575656,left,1,1,0.455540934111923,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
W,right,Target,0,26,26,26,131.80108508258127,133.80127178970724,right,1,1,0.4779236502945423,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
V,left,Distractor,0,27,27,27,135.3013779753819,137.30309426912572,left,1,1,0.6081528124632314,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
W,left,Lure,0,28,28,28,138.80126120324712,140.8028748400975,left,1,1,0.7564065877813846,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
R,left,Pretarget,0,29,29,29,142.30136097280774,144.30305577279069,left,1,1,0.47224223683588207,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
R,right,Target,0,30,30,30,145.80130386992823,147.80126184481196,right,1,1,0.6539740059524775,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
G,left,Distractor,0,31,31,31,149.30122687737457,151.30288093537092,left,1,1,0.4806677954038605,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
R,left,Lure,0,32,32,32,152.801274356083,154.8035748313414,left,1,1,0.7237501692725345,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
S,left,Distractor,0,33,33,33,156.3003603896359,158.3034461895004,left,1,1,0.5357130253687501,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
R,left,Lure,0,34,34,34,159.8014116595732,161.8033557231538,left,1,1,0.6198528029490262,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
P,left,Pretarget,0,35,35,35,163.30128782975953,165.30315361754037,left,1,1,0.4962251160759479,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
P,right,Target,0,36,36,36,166.801332421368,168.80136835121084,right,1,1,0.630006525083445,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
Y,left,Pretarget,0,37,37,37,170.3014347574208,172.30365278641693,left,1,1,0.4876568003091961,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
