Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
T,left,Distractor,0,0,0,0,2314.8351774134208,2316.840160760563,None,0,0,3.0,,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
F,left,Distractor,0,1,1,1,2318.3380216490477,2320.3399182338035,left,1,0,3.0,0.4551652742084116,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
G,left,Distractor,0,2,2,2,2321.8376626708778,2323.839983998332,left,1,0,3.0,0.4114196733571589,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
V,left,Distractor,0,3,3,3,2325.337252364494,2327.3401697430527,left,1,0,3.0,0.5274186750175431,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
H,left,Distractor,0,4,4,4,2328.838164085406,2330.8399458228378,left,1,0,3.0,0.40308682643808424,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
C,left,Pretarget,0,5,5,5,2332.337754741311,2334.34013670031,left,1,0,3.0,0.35889659309759736,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
C,right,Target,0,6,6,6,2335.8380684861913,2337.838176596677,right,1,0,3.0,0.5249555527698249,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
C,right,Target,0,7,7,7,2339.3381056992803,2341.3382872735383,right,1,0,3.0,0.48090839735232294,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
W,left,Distractor,0,8,8,8,2342.837942410726,2344.8398425243795,left,1,0,3.0,0.499166875728406,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
R,left,Pretarget,0,9,9,9,2346.337370099034,2348.3405511772726,left,1,0,3.0,0.40661308844573796,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
R,right,Target,0,10,10,10,2349.8381313635036,2351.838230170659,right,1,0,3.0,0.5407987086800858,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
Z,left,Distractor,0,11,11,11,2353.3382571181282,2355.3403590165544,left,1,0,3.0,0.49489731423091143,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
R,left,Lure,0,12,12,12,2356.838162160595,2358.8397517373087,left,1,0,3.0,0.7554130621720105,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
H,left,Pretarget,0,13,13,13,2360.3379372779746,2362.3402348659,left,1,0,3.0,0.4069168883142993,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
H,right,Target,0,14,14,14,2363.8382083560573,2365.8382689878345,right,1,0,3.0,0.6686269842321053,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
K,left,Distractor,0,15,15,15,2367.338116606581,2369.3401437579887,left,1,0,3.0,0.4951709589222446,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
J,left,Distractor,0,16,16,16,2370.838119814638,2372.839887436712,left,1,0,3.0,0.5153699719812721,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
H,left,Lure,0,17,17,17,2374.338162481319,2376.3402643797453,left,1,0,3.0,0.39094124117400497,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
S,left,Distractor,0,18,18,18,2377.838250702014,2379.840729864314,left,1,0,3.0,0.4105477319099009,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
T,left,Pretarget,0,19,19,19,2381.3379744910635,2383.3407985160593,left,1,0,3.0,0.49451812566258013,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
T,right,Target,0,20,20,20,2384.8381422708044,2386.8384544117143,right,1,0,3.0,0.6287252396577969,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
X,left,Pretarget,0,21,21,21,2388.338165689376,2390.340051046107,left,1,0,3.0,0.40719726984389126,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
X,right,Target,0,22,22,22,2391.838266100618,2393.8384159153793,right,1,0,3.0,0.6846497894730419,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
W,left,Distractor,0,23,23,23,2395.338276687078,2397.3406567213824,left,1,0,3.0,0.4147358094342053,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
K,left,Distractor,0,24,24,24,2398.8371991112363,2400.8374881542986,left,1,0,3.0,0.5177612343104556,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
F,left,Pretarget,0,25,25,25,2402.3374573573237,2404.3401209809817,left,1,0,3.0,0.8071148876333609,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
F,right,Target,0,26,26,26,2405.838261609315,2407.838197448873,right,1,0,3.0,0.4609570439206436,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
Z,left,Distractor,0,27,27,27,2409.3384018000215,2411.3399888103595,left,1,0,3.0,0.46326618071179837,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
F,left,Lure,0,28,28,28,2412.8382619301556,2414.8400651613483,left,1,0,3.0,0.6433246438391507,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
P,left,Distractor,0,29,29,29,2416.3382580805337,2418.340870696702,left,1,0,3.0,0.42244726174976677,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
F,left,Lure,0,30,30,30,2419.8381894287886,2421.8399307450745,left,1,0,3.0,0.42753936094231904,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
R,left,Distractor,0,31,31,31,2423.338366832584,2425.337475322187,left,1,0,3.0,0.4016785031417385,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
V,left,Distractor,0,32,32,32,2426.838324807468,2428.8401225850685,left,1,0,3.0,0.41913786227814853,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
M,left,Pretarget,0,33,33,33,2430.337490720791,2432.340449482901,left,1,0,3.0,0.6469381640199572,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
M,right,Target,0,34,34,34,2433.8381842959207,2435.837358550052,right,1,0,3.0,0.6216877937549725,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
M,right,Target,0,35,35,35,2437.3381666517816,2439.3381788423285,right,1,0,3.0,0.4972170377150178,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
D,left,Distractor,0,36,36,36,2440.8383029928664,2442.8374284850433,left,1,0,3.0,0.4218326039845124,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
M,left,Lure,0,37,37,37,2444.338234661962,2446.3402056728955,left,1,0,3.0,0.4391148800496012,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
F,left,Distractor,0,38,38,38,2447.838112756959,2449.8407045209315,left,1,0,3.0,0.394711633794941,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
T,left,Pretarget,0,39,39,39,2451.3374195025535,2453.340223637875,left,1,0,3.0,0.5589975175680593,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
T,right,Target,0,40,40,40,2454.8384544117143,2456.8383995544864,right,1,0,3.0,0.6289584630867466,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
Z,left,Distractor,0,41,41,41,2458.338228887529,2460.3376761446707,left,1,0,3.0,0.5375938909128308,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
S,left,Distractor,0,42,42,42,2461.8384114241926,2463.8399307450745,left,1,0,3.0,0.4592837376985699,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
D,left,Distractor,0,43,43,43,2465.338472697418,2467.3403625453357,left,1,0,3.0,0.4311246504075825,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
Y,left,Pretarget,0,44,44,44,2468.8382356243674,2470.840996772051,left,1,0,3.0,0.41829158505424857,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
Y,right,Target,0,45,45,45,2472.3383103712695,2474.3383398851147,right,1,0,3.0,0.520916327717714,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
Z,left,Pretarget,0,46,46,46,2475.8383155041374,2477.84054540284,left,1,0,3.0,0.41091697569936514,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
Z,right,Target,0,47,47,47,2479.338414632133,2481.3380495588062,right,1,0,3.0,0.5133649558993056,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
H,left,Pretarget,0,48,48,48,2482.838373890263,2484.8400908255717,left,1,0,3.0,0.4192199878161773,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
H,right,Target,0,49,49,49,2486.338312296197,2488.3383799855364,right,1,0,3.0,0.5210244380868971,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
Z,left,Lure,0,50,50,50,2489.8384390131105,2491.8405473276507,left,1,0,3.0,0.3949679550714791,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
R,left,Distractor,0,51,51,51,2493.3383854391286,2495.340790495975,left,1,0,3.0,0.494685263838619,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
H,left,Lure,0,52,52,52,2496.838300747215,2498.840561122168,left,1,0,3.0,0.5471008750610054,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
L,left,Distractor,0,53,53,53,2500.3383450179826,2502.3408992480254,left,1,0,3.0,0.40654956945218146,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
N,left,Pretarget,0,54,54,54,2503.838389609591,2505.840759699,left,1,0,3.0,0.3787308536702767,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
N,right,Target,0,55,55,55,2507.338457619655,2509.338559634867,right,1,0,3.0,0.41688262030947953,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
W,left,Distractor,0,56,56,56,2510.838570542168,2512.8375369163696,left,1,0,3.0,0.51799959060736,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
R,left,Pretarget,0,57,57,57,2514.3384880959056,2516.339636569144,left,1,0,3.0,0.4717449927702546,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
R,right,Target,0,58,58,58,2517.8383658701787,2519.838347584475,right,1,0,3.0,0.7009856980293989,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
Q,left,Distractor,0,59,59,59,2521.3383697198005,2523.3405267962953,left,1,0,3.0,0.41483846632763743,D24O05,2022-11-04_10h42.41.050,t1_Paradigm,2021.1.4,59.902263378370556,
