Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
0,0,0,0,0,2509.7395558179005,EDleftbutton,1,0,1.00,2.00,3,4,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
1,0,1,1,1,2513.8563366365224,EDleftbutton,1,0,0.50,2.00,3,4,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
2,0,2,2,2,2521.5975949492977,EDrightbutton,0,1,0.25,2.00,3,4,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
3,0,3,3,3,2523.5901786544937,EDrightbutton,0,1,0.38,2.00,3,4,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
4,0,4,4,4,2528.8718839724243,EDrightbutton,0,1,0.44,2.00,3,4,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
5,0,5,5,5,2536.2842236116503,EDrightbutton,0,1,0.47,2.00,3,4,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
0,0,0,0,0,2541.583758769918,EDrightbutton,0,1,1.00,2.00,1,3,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
1,0,1,1,1,2544.800513603598,EDrightbutton,0,1,1.50,2.00,1,3,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
2,0,2,2,2,2548.0000962405247,EDrightbutton,0,1,1.75,2.00,1,3,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
3,0,3,3,3,2552.84863611137,EDrightbutton,0,1,1.88,2.00,1,3,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
4,0,4,4,4,2556.872992021661,EDrightbutton,0,1,1.94,2.00,1,3,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
5,0,5,5,5,2558.179028868949,EDrightbutton,0,1,1.97,2.00,1,3,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
0,0,0,0,0,2560.015016409009,EDleftbutton,1,0,1.00,2.00,2,3,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
1,0,1,1,1,2567.377497040604,EDrightbutton,0,1,0.50,2.00,2,3,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
2,0,2,2,2,2570.723687680251,EDrightbutton,0,1,0.75,2.00,2,3,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
3,0,3,3,3,2576.2054882763005,EDrightbutton,0,1,0.88,2.00,2,3,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
4,0,4,4,4,2578.458634539441,EDrightbutton,0,1,0.94,2.00,2,3,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
5,0,5,5,5,2580.4632675582816,EDleftbutton,1,0,0.97,2.00,2,3,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
0,0,0,0,0,2590.0163778916267,EDleftbutton,1,0,1.00,2.00,1,4,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
1,0,1,1,1,2593.223530487394,EDleftbutton,1,0,0.50,2.00,1,4,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
2,0,2,2,2,2594.338246625968,EDleftbutton,1,0,0.25,2.00,1,4,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
3,0,3,3,3,2595.354813469824,EDrightbutton,0,1,0.12,2.00,1,4,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
4,0,4,4,4,2599.500455538482,EDrightbutton,0,1,0.18,2.00,1,4,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
5,0,5,5,5,2602.4088919828437,EDleftbutton,1,0,0.21,2.00,1,4,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
0,0,0,0,0,2606.304877148971,EDleftbutton,1,0,1.00,2.00,2,4,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
1,0,1,1,1,2612.1672958658282,EDleftbutton,1,0,0.50,2.00,2,4,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
2,0,2,2,2,2613.2748298948736,EDleftbutton,1,0,0.25,2.00,2,4,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
3,0,3,3,3,2614.7343123133332,EDrightbutton,0,1,0.12,2.00,2,4,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
4,0,4,4,4,2616.9820360645326,EDrightbutton,0,1,0.18,2.00,2,4,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
5,0,5,5,5,2618.767503745361,EDrightbutton,0,1,0.21,2.00,2,4,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
0,0,0,0,0,2621.032309227221,EDleftbutton,1,0,2.00,1.00,1,2,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
1,0,1,1,1,2627.290620077698,EDleftbutton,1,0,2.00,1.50,1,2,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
2,0,2,2,2,2630.43107381969,EDleftbutton,1,0,2.00,1.75,1,2,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
3,0,3,3,3,2632.1796659812208,EDleftbutton,1,0,2.00,1.88,1,2,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
4,0,4,4,4,2633.7837417674255,EDrightbutton,0,1,2.00,1.94,1,2,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
5,0,5,5,5,2637.241703264799,EDleftbutton,1,0,2.00,1.91,1,2,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
