Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
T,left,Distractor,0,0,0,0,2676.0184582909606,2678.0242112287033,left,1,0.8846964734266294,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
F,left,Distractor,0,1,1,1,2679.5219659372706,2681.5239571537186,left,1,0.6969020175220066,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
G,left,Distractor,0,2,2,2,2683.0221657967595,2685.0237909784137,left,1,0.5411068943503778,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
V,left,Distractor,0,3,3,3,2686.5219755613234,2688.523960682538,left,1,0.5610440813679816,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
H,left,Distractor,0,4,4,4,2690.021982939763,2692.023734838108,left,1,0.5652029552256863,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
C,left,Pretarget,0,5,5,5,2693.522097465987,2695.523517655324,left,1,0.5373695539892651,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
C,right,Target,0,6,6,6,2697.0220576865704,2699.022008283101,right,1,0.6069934780998665,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
C,right,Target,0,7,7,7,2700.521944764355,2702.5222135962194,right,1,0.5946987511188127,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
W,left,Distractor,0,8,8,8,2704.0220416464826,2706.023517655324,left,1,0.5655423634743784,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
R,left,Pretarget,0,9,9,9,2707.521957275623,2709.523844873107,left,1,0.6330640737332942,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
R,right,Target,0,10,10,10,2711.021930007475,2713.0220932955644,right,1,0.6708564444252261,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
Z,left,Distractor,0,11,11,11,2714.5219114009733,2716.5236713193617,left,1,0.5454261690811109,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
R,left,Lure,0,12,12,12,2718.0219928846172,2720.0236337855567,left,1,0.533454810261901,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
H,left,Pretarget,0,13,13,13,2721.522024323189,2723.523512843298,left,1,0.5373547971084918,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
H,right,Target,0,14,14,14,2725.0218565438745,2727.021952463597,right,1,0.7349195910419439,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
K,left,Distractor,0,15,15,15,2728.521848523831,2730.5239353392,left,1,0.720800785323263,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
J,left,Distractor,0,16,16,16,2732.021909155361,2734.0242131535133,left,1,0.6767126803306382,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
H,left,Lure,0,17,17,17,2735.5220175863524,2737.52432992535,left,1,0.6483900564289797,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
S,left,Distractor,0,18,18,18,2739.0221173556956,2741.0234791591147,left,1,0.5734963220083955,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
T,left,Pretarget,0,19,19,19,2742.521765115376,2744.523683189026,left,1,0.5613988881004843,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
T,right,Target,0,20,20,20,2746.021804573991,2748.0219787693404,right,1,0.7110298056904867,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
X,left,Pretarget,0,21,21,21,2749.5219640124596,2751.523644372015,left,1,0.5691988617954848,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
X,right,Target,0,22,22,22,2753.021898889705,2755.021889265653,right,1,0.622985766027341,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
W,left,Distractor,0,23,23,23,2756.5219476515713,2758.5227531847595,left,1,0.5786936311233148,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
K,left,Distractor,0,24,24,24,2760.021979731746,2762.02375376541,left,1,0.7731835403037621,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
F,left,Pretarget,0,25,25,25,2763.521977165332,2765.522884071873,left,1,0.6819828114421398,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
F,right,Target,0,26,26,26,2767.021777947446,2769.0220252855943,right,1,0.5429155746041943,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
Z,left,Distractor,0,27,27,27,2770.521926799457,2772.523842948296,left,1,0.5775150055023914,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
F,left,Lure,0,28,28,28,2774.0217051254494,2776.024028692508,left,1,0.5007833978679628,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
P,left,Distractor,0,29,29,29,2777.521970107693,2779.5383996484015,left,1,0.5384137636783635,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
F,left,Lure,0,30,30,30,2781.021865847125,2783.0236626577143,left,1,1.1491811535388479,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
R,left,Distractor,0,31,31,31,2784.521851090245,2786.5230492847722,left,1,0.6098354607829606,0,1.21,D24T05,2023-01-19_14h48.36.368,t1_Paradigm,2021.1.4,59.980796539546944,
