Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2833.1865558786385,2835.190904996304,left,1,0.691473778897489,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
P,left,Pretarget,0,1,1,1,2836.689165926682,2838.6916489369887,left,1,0.5026148600791203,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
B,left,Distractor,0,2,2,2,2840.189269866649,2842.1914368866255,left,1,0.4427913142117177,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
K,left,Pretarget,0,3,3,3,2843.689216934258,2845.690664715333,left,1,0.4957859401301903,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
H,left,Distractor,0,4,4,4,2847.1890555706686,2849.191027542807,left,1,0.6113922052727503,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
P,right,Target,0,5,5,5,2850.6891678514967,2852.691018560341,right,1,0.439367069765467,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
L,left,Distractor,0,6,6,6,2854.1891181271294,2856.1882535647555,left,1,0.6700146670837057,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
K,right,Target,0,7,7,7,2857.6891640018684,2859.691292525561,None,0,,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
Z,left,Pretarget,0,8,8,8,2861.1890937461503,2863.1906194821986,left,1,0.8356041863426071,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
S,left,Pretarget,0,9,9,9,2864.689289114791,2866.690998670595,left,1,0.6794991890110396,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
N,left,Distractor,0,10,10,10,2868.189187420441,2870.191186981583,left,1,0.7792539676838715,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
M,left,Distractor,0,11,11,11,2871.6892894355933,2873.691379463002,left,1,0.6709767533775448,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
Z,right,Target,0,12,12,12,2875.2058309679505,2877.1910301092266,right,1,0.43519118537824397,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
S,right,Target,0,13,13,13,2878.6893523128565,2880.6914731372926,right,1,0.662847300640351,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
Q,left,Distractor,0,14,14,14,2882.189238107215,2884.1911680542435,left,1,0.7633007868635104,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
V,left,Lure,0,15,15,15,2885.689318628608,2887.6882699256767,left,1,0.8501753505724992,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
Z,right,Target,0,16,16,16,2889.188304251529,2891.1915032927154,right,1,0.6587747146140828,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
X,left,Distractor,0,17,17,17,2892.689292002012,2894.6909133371655,left,1,0.5991811840431183,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
V,left,Pretarget,0,18,18,18,2896.1893449344025,2898.190189286227,left,1,0.9082652804581812,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
E,left,Distractor,0,19,19,19,2899.6892881523836,2901.6946016019583,left,1,0.7158637411203017,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
R,left,Distractor,0,20,20,20,2903.189257355356,2905.191599854227,left,1,0.7388607794728159,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
G,left,Distractor,0,21,21,21,2906.689523942122,2908.690462609842,left,1,0.6484095901942055,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
V,right,Target,0,22,22,22,2910.1892586385657,2912.1912174578074,right,1,0.61913124153034,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
T,left,Pretarget,0,23,23,23,2913.6882564519765,2915.691575152445,left,1,0.734715692111422,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
B,left,Distractor,0,24,24,24,2917.188312271588,2919.1914420194635,left,1,0.8029147461302273,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
S,left,Pretarget,0,25,25,25,2920.68927820751,2922.691428545764,left,1,0.7750668552125717,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
G,left,Lure,0,26,26,26,2924.189385997105,2926.188386697737,left,1,0.9899916078102251,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
T,right,Target,0,27,27,27,2927.689425134993,2929.6919174485683,right,1,0.8145114308299526,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
H,left,Distractor,0,28,28,28,2931.189221104689,2933.1916585610597,left,1,0.7707231911881536,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
S,right,Target,0,29,29,29,2934.6892791699174,2936.691267502977,right,1,0.9671010758429475,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
D,left,Distractor,0,30,30,30,2938.189137054469,2940.190788865848,left,1,0.6675685490499745,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
Z,left,Distractor,0,31,31,31,2941.6893892051285,2943.690999953804,left,1,0.815378559623241,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
J,left,Pretarget,0,32,32,32,2945.189305475711,2947.1909303396906,left,1,0.8358682066891561,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
C,left,Pretarget,0,33,33,33,2948.6893022676877,2950.6909393221567,left,1,0.663588354103922,3,1.9100000000000001,D27A02,2022-09-19_09h14.32.986,t1_Paradigm,2021.1.4,59.970526332014295,
