Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,294.8377897002065,296.7778026221058,None,0,1,,D27N05,2023-01-27_08h58.07.423,t1_Paradigm,2021.1.4,59.972449352854916,
Q,left,Pretarget,0,1,1,1,298.27905342892336,300.27731019111525,left,1,1,1.4579444679111475,D27N05,2023-01-27_08h58.07.423,t1_Paradigm,2021.1.4,59.972449352854916,
Q,right,Target,0,2,2,2,301.7759387627593,303.77620438678423,right,1,1,1.0150635765312472,D27N05,2023-01-27_08h58.07.423,t1_Paradigm,2021.1.4,59.972449352854916,
T,left,Distractor,0,3,3,3,305.2757616800809,307.27784881759726,left,1,1,0.7615090908802813,D27N05,2023-01-27_08h58.07.423,t1_Paradigm,2021.1.4,59.972449352854916,
Q,left,Lure,0,4,4,4,308.7762428830174,310.776487013296,left,1,1,1.3269113059650408,D27N05,2023-01-27_08h58.07.423,t1_Paradigm,2021.1.4,59.972449352854916,
L,left,Distractor,0,5,5,5,312.2759644269245,314.2774770081305,left,1,1,0.6577219596656505,D27N05,2023-01-27_08h58.07.423,t1_Paradigm,2021.1.4,59.972449352854916,
V,left,Pretarget,0,6,6,6,315.7763009481714,317.77767622613464,left,1,1,0.8215638581896201,D27N05,2023-01-27_08h58.07.423,t1_Paradigm,2021.1.4,59.972449352854916,
V,right,Target,0,7,7,7,319.2757504520123,321.27574884799833,right,1,1,0.6996202988084406,D27N05,2023-01-27_08h58.07.423,t1_Paradigm,2021.1.4,59.972449352854916,
K,left,Distractor,0,8,8,8,322.77627945443965,324.77755688781326,left,1,1,0.5096150761528406,D27N05,2023-01-27_08h58.07.423,t1_Paradigm,2021.1.4,59.972449352854916,
G,left,Pretarget,0,9,9,9,326.2759650685184,328.2775126171473,left,1,1,0.7056616412010044,D27N05,2023-01-27_08h58.07.423,t1_Paradigm,2021.1.4,59.972449352854916,
G,right,Target,0,10,10,10,329.77598175022285,331.7759474244085,right,1,1,0.8393218503333628,D27N05,2023-01-27_08h58.07.423,t1_Paradigm,2021.1.4,59.972449352854916,
G,right,Target,0,11,11,11,333.27588807605207,335.2757911938679,right,1,1,0.6834252537810244,D27N05,2023-01-27_08h58.07.423,t1_Paradigm,2021.1.4,59.972449352854916,
P,left,Pretarget,0,12,12,12,336.7762566774909,338.7774308126536,left,1,1,0.6857010228559375,D27N05,2023-01-27_08h58.07.423,t1_Paradigm,2021.1.4,59.972449352854916,
P,right,Target,0,13,13,13,340.2759028329456,342.2756667227077,right,1,1,0.8997859609371517,D27N05,2023-01-27_08h58.07.423,t1_Paradigm,2021.1.4,59.972449352854916,
G,left,Lure,0,14,14,14,343.7759859206417,345.7761630033201,left,1,1,0.6152060767635703,D27N05,2023-01-27_08h58.07.423,t1_Paradigm,2021.1.4,59.972449352854916,
