Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2726.1348330611363,2728.129196891561,None,0,1,3.0,,D29N05,2023-01-30_12h16.58.275,t1_Paradigm,2021.1.4,60.01251387114412,
T,left,Pretarget,0,1,1,1,2729.6265945461346,2731.628824761312,None,0,1,3.0,,D29N05,2023-01-30_12h16.58.275,t1_Paradigm,2021.1.4,60.01251387114412,
B,left,Distractor,0,2,2,2,2733.1267321701744,2735.1286701347562,left,1,1,3.0,0.5351887662545778,D29N05,2023-01-30_12h16.58.275,t1_Paradigm,2021.1.4,60.01251387114412,
T,right,Target,0,3,3,3,2736.626674105006,2738.627900530875,left,0,1,3.0,0.668105035671033,D29N05,2023-01-30_12h16.58.275,t1_Paradigm,2021.1.4,60.01251387114412,
Z,left,Distractor,0,4,4,4,2740.126756230311,2742.12879460596,left,1,1,3.0,0.527447173546534,D29N05,2023-01-30_12h16.58.275,t1_Paradigm,2021.1.4,60.01251387114412,
T,right,Target,0,5,5,5,2743.62677387445,2745.6283875082736,left,0,1,3.0,0.5798184133018367,D29N05,2023-01-30_12h16.58.275,t1_Paradigm,2021.1.4,60.01251387114412,
L,left,Distractor,0,6,6,6,2747.1266503656516,2749.128191177442,left,1,1,3.0,0.6800154498196207,D29N05,2023-01-30_12h16.58.275,t1_Paradigm,2021.1.4,60.01251387114412,
T,right,Target,0,7,7,7,2750.6267366614193,2752.628438194981,right,1,1,3.0,0.7957623986294493,D29N05,2023-01-30_12h16.58.275,t1_Paradigm,2021.1.4,60.01251387114412,
Z,left,Lure,0,8,8,8,2754.1266862954944,2756.1287496936857,right,0,1,3.0,1.1832764017162845,D29N05,2023-01-30_12h16.58.275,t1_Paradigm,2021.1.4,60.01251387114412,
J,left,Distractor,0,9,9,9,2757.6267190172803,2759.627441142511,left,1,1,3.0,0.48452483455184847,D29N05,2023-01-30_12h16.58.275,t1_Paradigm,2021.1.4,60.01251387114412,
D,left,Pretarget,0,10,10,10,2761.1266593481414,2763.12836024008,left,1,1,3.0,0.5035955482744612,D29N05,2023-01-30_12h16.58.275,t1_Paradigm,2021.1.4,60.01251387114412,
H,left,Distractor,0,11,11,11,2764.6265040799626,2766.628276831587,left,1,1,3.0,0.587836537277326,D29N05,2023-01-30_12h16.58.275,t1_Paradigm,2021.1.4,60.01251387114412,
D,right,Target,0,12,12,12,2768.1265852428623,2770.1269843205228,left,0,1,3.0,0.609046679281164,D29N05,2023-01-30_12h16.58.275,t1_Paradigm,2021.1.4,60.01251387114412,
S,left,Distractor,0,13,13,13,2771.626623097516,2773.628572290181,left,1,1,3.0,0.5796515962574631,D29N05,2023-01-30_12h16.58.275,t1_Paradigm,2021.1.4,60.01251387114412,
R,left,Pretarget,0,14,14,14,2775.1266429872485,2777.1283002501004,left,1,1,3.0,0.5195939417462796,D29N05,2023-01-30_12h16.58.275,t1_Paradigm,2021.1.4,60.01251387114412,
Z,left,Distractor,0,15,15,15,2778.626712922065,2780.6279091925244,left,1,1,3.0,1.404148546687793,D29N05,2023-01-30_12h16.58.275,t1_Paradigm,2021.1.4,60.01251387114412,
R,right,Target,0,16,16,16,2782.126605453377,2784.1285280195298,right,1,1,3.0,0.8479571973439306,D29N05,2023-01-30_12h16.58.275,t1_Paradigm,2021.1.4,60.01251387114412,
T,left,Distractor,0,17,17,17,2785.626726074959,2787.6288007011754,left,1,1,3.0,0.5954305611085147,D29N05,2023-01-30_12h16.58.275,t1_Paradigm,2021.1.4,60.01251387114412,
M,left,Distractor,0,18,18,18,2789.126816541073,2791.1283265558886,left,1,1,3.0,0.4876292350818403,D29N05,2023-01-30_12h16.58.275,t1_Paradigm,2021.1.4,60.01251387114412,
R,left,Lure,0,19,19,19,2792.6267058644444,2794.6274353680783,right,0,1,3.0,0.5406597227556631,D29N05,2023-01-30_12h16.58.275,t1_Paradigm,2021.1.4,60.01251387114412,
J,left,Distractor,0,20,20,20,2796.1267533430946,2798.128345803998,left,1,1,3.0,0.5916457396815531,D29N05,2023-01-30_12h16.58.275,t1_Paradigm,2021.1.4,60.01251387114412,
