Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
0,0,0,0,0,2495.591319980682,EDrightbutton,0,1,1.00,2.00,1,3,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
1,0,1,1,1,2500.786302820954,EDrightbutton,0,1,1.50,2.00,1,3,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
2,0,2,2,2,2504.405335973308,EDrightbutton,0,1,1.75,2.00,1,3,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
3,0,3,3,3,2508.4771752178785,EDleftbutton,1,0,1.88,2.00,1,3,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
4,0,4,4,4,2513.3775259192334,EDrightbutton,0,1,1.82,2.00,1,3,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
5,0,5,5,5,2516.9269994501374,EDrightbutton,0,1,1.85,2.00,1,3,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
0,0,0,0,0,2522.0255509623676,EDleftbutton,1,0,2.00,1.00,2,3,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
1,0,1,1,1,2529.6603926238604,EDleftbutton,1,0,2.00,1.50,2,3,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
2,0,2,2,2,2531.8270585419377,EDleftbutton,1,0,2.00,1.75,2,3,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
3,0,3,3,3,2533.7435013419017,EDleftbutton,1,0,2.00,1.88,2,3,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
4,0,4,4,4,2535.34125886776,EDleftbutton,1,0,2.00,1.94,2,3,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
5,0,5,5,5,2537.143899201241,EDleftbutton,1,0,2.00,1.97,2,3,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
0,0,0,0,0,2538.3099478952354,EDleftbutton,1,0,2.00,1.00,1,2,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
1,0,1,1,1,2541.3472873896826,EDleftbutton,1,0,2.00,1.50,1,2,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
2,0,2,2,2,2544.5057940152474,EDleftbutton,1,0,2.00,1.75,1,2,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
3,0,3,3,3,2546.2427349445643,EDleftbutton,1,0,2.00,1.88,1,2,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
4,0,4,4,4,2547.9150957499514,EDleftbutton,1,0,2.00,1.94,1,2,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
5,0,5,5,5,2549.1266708199983,EDleftbutton,1,0,2.00,1.97,1,2,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
0,0,0,0,0,2550.6269229708123,EDleftbutton,1,0,1.00,2.00,1,4,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
1,0,1,1,1,2552.8604236133397,EDleftbutton,1,0,0.50,2.00,1,4,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
2,0,2,2,2,2555.2475838754326,EDleftbutton,1,0,0.25,2.00,1,4,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
3,0,3,3,3,2558.1124971208046,EDleftbutton,1,0,0.12,2.00,1,4,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
4,0,4,4,4,2559.39565030206,EDrightbutton,0,1,0.06,2.00,1,4,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
5,0,5,5,5,2562.1089448739076,EDrightbutton,0,1,0.09,2.00,1,4,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
0,0,0,0,0,2564.3880241833394,EDleftbutton,1,0,1.00,2.00,2,4,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
1,0,1,1,1,2566.5864697665675,EDleftbutton,1,0,0.50,2.00,2,4,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
2,0,2,2,2,2568.9633422109764,EDleftbutton,1,0,0.25,2.00,2,4,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
3,0,3,3,3,2572.9151781962137,EDrightbutton,0,1,0.12,2.00,2,4,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
4,0,4,4,4,2574.4741760346224,EDrightbutton,0,1,0.18,2.00,2,4,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
5,0,5,5,5,2575.963811545167,EDrightbutton,0,1,0.21,2.00,2,4,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
0,0,0,0,0,2577.5362593521713,EDleftbutton,1,0,1.00,2.00,3,4,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
1,0,1,1,1,2584.0782235364895,EDleftbutton,1,0,0.50,2.00,3,4,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
2,0,2,2,2,2587.109408112825,EDrightbutton,0,1,0.25,2.00,3,4,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
3,0,3,3,3,2590.5950367992627,EDrightbutton,0,1,0.38,2.00,3,4,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
4,0,4,4,4,2592.21055716346,EDrightbutton,0,1,0.44,2.00,3,4,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
5,0,5,5,5,2594.71342674247,EDrightbutton,0,1,0.47,2.00,3,4,D30N04,2022-11-02_14h41.43.230,t1_Paradigm,2021.1.4,59.88845297482621,
