Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
D,left,Distractor,0,0,0,0,2858.6128374922555,2860.6178827543044,None,0,2,2.21,,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
M,left,Pretarget,0,1,1,1,2862.1156916727778,2864.1174785430776,None,0,2,2.21,,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
T,left,Distractor,0,2,2,2,2865.6157333770534,2867.617638944299,None,0,2,2.21,,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
G,left,Pretarget,0,3,3,3,2869.1157061088597,2871.1171487580286,left,1,2,2.21,0.8283722285414115,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
M,right,Target,0,4,4,4,2872.615664404584,2874.617390001542,right,1,2,2.21,0.5598864615894854,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
P,left,Distractor,0,5,5,5,2876.115789838368,2878.117389359977,left,1,2,2.21,0.6760137842502445,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
G,right,Target,0,6,6,6,2879.6156640837435,2881.6174400467426,right,1,2,2.21,0.8559830641606823,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
J,left,Distractor,0,7,7,7,2883.1158196729375,2885.117473089369,left,1,2,2.21,0.6837990210624412,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
M,left,Lure,0,8,8,8,2886.6158847959014,2888.617537570768,left,1,2,2.21,0.9280083741759881,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
F,left,Pretarget,0,9,9,9,2890.115747492411,2892.1174856007565,left,1,2,2.21,0.8997572165681049,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
R,left,Distractor,0,10,10,10,2893.615908856038,2895.616478922311,left,1,2,2.21,0.777013661689125,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
G,left,Distractor,0,11,11,11,2897.115756474901,2899.1171824423363,left,1,2,2.21,0.7486255213152617,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
F,right,Target,0,12,12,12,2900.615695201559,2902.6174086080864,right,1,2,2.21,0.7839189369697124,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
F,left,Lure,0,13,13,13,2904.1157869511517,2906.115895061521,left,1,2,2.21,1.2054528738372028,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
S,left,Distractor,0,14,14,14,2907.615851753275,2909.6319271700922,left,1,2,2.21,0.9374239296885207,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
F,right,Target,0,15,15,15,2911.1157660989556,2913.117686423124,right,1,2,2.21,0.5078099385136738,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
T,left,Pretarget,0,16,16,16,2914.615695843124,2916.6175795958843,left,1,2,2.21,0.7039207207271829,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
Z,left,Distractor,0,17,17,17,2918.115756474901,2920.1177332602674,left,1,2,2.21,0.8035703401546925,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
W,left,Distractor,0,18,18,18,2921.6157962543657,2923.6179218922043,left,1,2,2.21,0.8715448761358857,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
T,right,Target,0,19,19,19,2925.1158087656368,2927.1173729989678,right,1,2,2.21,0.5241355814505368,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
V,left,Distractor,0,20,20,20,2928.6157965752063,2930.6171615901403,left,1,2,2.21,0.6882424574578181,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
N,left,Distractor,0,21,21,21,2932.115934199537,2934.1153631708585,left,1,2,2.21,0.9180513039464131,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
P,left,Pretarget,0,22,22,22,2935.615774439764,2937.6173739613732,left,1,2,2.21,1.0641832912806422,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
T,left,Lure,0,23,23,23,2939.1157927255845,2941.117603656021,left,1,2,2.21,0.8756216351175681,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
L,left,Pretarget,0,24,24,24,2942.615641627577,2944.617664929363,left,1,2,2.21,1.023874127306044,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
P,right,Target,0,25,25,25,2946.1157259986503,2948.1168526572874,right,1,2,2.21,0.7086965086637065,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
G,left,Pretarget,0,26,26,26,2949.6158158233156,2951.6178773007123,left,1,2,2.21,0.5835536712547764,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
L,right,Target,0,27,27,27,2953.1148922326975,2955.1176216210006,left,0,2,2.21,1.4198327207705006,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
F,left,Distractor,0,28,28,28,2956.6158017080743,2958.617768869386,left,1,2,2.21,1.1519381928956136,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
G,right,Target,0,29,29,29,2960.1159168761224,2962.1177130497526,right,1,2,2.21,0.43571629759389907,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
R,left,Pretarget,0,30,30,30,2963.61598071584,2965.616268475773,left,1,2,2.21,0.9052256173454225,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
X,left,Distractor,0,31,31,31,2967.115964675788,2969.1178416915936,left,1,2,2.21,0.715618465677835,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
W,left,Distractor,0,32,32,32,2970.6159528060816,2972.6178670349764,left,1,2,2.21,0.6395269830245525,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
R,right,Target,0,33,33,33,2974.116068615811,2976.116989639937,right,1,2,2.21,0.500461634946987,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
S,left,Distractor,0,34,34,34,2977.615949277184,2979.617451595608,left,1,2,2.21,0.648335900856182,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
D,left,Distractor,0,35,35,35,2981.1158238434,2983.11758216226,left,1,2,2.21,0.6359962299466133,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
R,right,Target,0,36,36,36,2984.615983923897,2986.617929270724,right,1,2,2.21,0.6875723008997738,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
T,left,Distractor,0,37,37,37,2988.1159075729083,2990.1176408692263,left,1,2,2.21,0.5640321931568906,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
G,left,Distractor,0,38,38,38,2991.6158985904185,2993.617759566172,left,1,2,2.21,0.9677413767203689,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
K,left,Pretarget,0,39,39,39,2995.115849828464,2997.117572859046,left,1,2,2.21,0.796100452193059,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
R,left,Lure,0,40,40,40,2998.615996435168,3000.6171580612427,left,1,2,2.21,1.008468546322547,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
Q,left,Pretarget,0,41,41,41,3002.1159175178036,3004.118033531471,left,1,2,2.21,0.7873601862229407,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
K,right,Target,0,42,42,42,3005.6160166457994,3007.61723986594,right,1,2,2.21,0.7124989815056324,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
Z,left,Distractor,0,43,43,43,3009.1157227905933,3011.1171099409694,left,1,2,2.21,0.7966191900195554,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
Q,right,Target,0,44,44,44,3012.6158985904185,3014.617589861504,right,1,2,2.21,0.6560547314584255,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
W,left,Distractor,0,45,45,45,3016.1160118336556,3018.1170586125227,left,1,2,2.21,0.7086034758249298,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
X,left,Distractor,0,46,46,46,3019.615945427562,3021.6178724885685,left,1,2,2.21,1.127838862244971,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
R,left,Distractor,0,47,47,47,3023.1149977768073,3025.1176729494473,left,1,2,2.21,0.764134400873445,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
P,left,Pretarget,0,48,48,48,3026.616236074711,3028.6177717566025,left,1,2,2.21,0.7038973021553829,E02L11,2022-11-04_09h07.58.402,t1_Paradigm,2021.1.4,59.98826094121495,
